,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
20202,63.0,2006-10-26,122,0.0,1.0,2.0,1.0,0.0,0.5625,16.0,14.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,0.0
20183,63.0,2006-10-24,122,0.0,1.0,14.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,28.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0
20048,59.0,2006-10-10,121,0.0,1.0,5.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,28.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,0.75,0.5714285714285714,42.0,0.0,0.0
20031,58.0,2006-10-05,130,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,28.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,0.75,0.5714285714285714,42.0,3.0,1.0,0.75,0.5238095238095238,42.0,2.0,0.0
20014,58.0,2006-10-04,130,1.0,3.0,2.0,1.0,0.6666666666666666,0.5333333333333333,30.0,28.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,0.75,0.5714285714285714,42.0,3.0,1.0,0.75,0.5238095238095238,42.0,3.0,1.0,1.0,0.625,32.0,1.0,1.0
19996,58.0,2006-10-02,130,1.0,3.0,28.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,0.75,0.5714285714285714,42.0,3.0,1.0,0.75,0.5238095238095238,42.0,3.0,1.0,1.0,0.625,32.0,34.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,1.0
19793,51.0,2006-09-04,179,1.0,3.0,1.0,1.0,0.75,0.5714285714285714,42.0,3.0,1.0,0.75,0.5238095238095238,42.0,3.0,1.0,1.0,0.625,32.0,34.0,0.0,0.3333333333333333,0.4722222222222222,36.0,6.0,0.0,0.0,0.25,16.0,3.0,0.0
19780,51.0,2006-09-03,179,1.0,3.0,3.0,1.0,0.75,0.5238095238095238,42.0,3.0,1.0,1.0,0.625,32.0,34.0,0.0,0.3333333333333333,0.4722222222222222,36.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,2.0,1.0
19758,51.0,2006-08-31,179,1.0,3.0,3.0,1.0,1.0,0.625,32.0,34.0,0.0,0.3333333333333333,0.4722222222222222,36.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0
19686,51.0,2006-08-28,179,1.0,3.0,34.0,0.0,0.3333333333333333,0.4722222222222222,36.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
19414,45.0,2006-07-25,130,1.0,0.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
19302,42.0,2006-07-19,131,1.0,0.0,1.0,1.0,1.0,0.65,20.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.36666666666666664,30.0,12.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,0.0
19285,42.0,2006-07-18,131,1.0,0.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.36666666666666664,30.0,12.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,1.0,1.0,0.65,20.0,0.0,1.0
19151,38.0,2006-07-12,131,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.36666666666666664,30.0,12.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,1.0,1.0,0.65,20.0,14.0,0.0,0.0,0.28,25.0,1.0,0.0
