,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
41270,51.0,2014-08-26,176,1.0,3.0,8.0,0.0,0.0,0.4090909090909091,22.0,41.0,0.0,0.0,0.4090909090909091,22.0,140.0,0.0,0.0,0.2,15.0,35.0,0.0,0.4,0.43137254901960786,51.0,203.0,0.0,0.4,0.4807692307692308,52.0,0.0,0.0
41210,50.0,2014-08-18,180,1.0,3.0,41.0,0.0,0.0,0.4090909090909091,22.0,140.0,0.0,0.0,0.2,15.0,35.0,0.0,0.4,0.43137254901960786,51.0,203.0,0.0,0.4,0.4807692307692308,52.0,108.0,0.0,0.3333333333333333,0.375,24.0,0.0,0.0
40810,39.0,2014-07-08,216,1.0,2.0,140.0,0.0,0.0,0.2,15.0,35.0,0.0,0.4,0.43137254901960786,51.0,203.0,0.0,0.4,0.4807692307692308,52.0,108.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,1.0,0.5833333333333334,24.0,0.0,0.0
39618,13.0,2014-02-18,118,1.0,3.0,35.0,0.0,0.4,0.43137254901960786,51.0,203.0,0.0,0.4,0.4807692307692308,52.0,108.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,1.0,0.5833333333333334,24.0,8.0,0.0,0.0,0.2,15.0,0.0,0.0
39365,6.0,2014-01-14,139,1.0,3.0,203.0,0.0,0.4,0.4807692307692308,52.0,108.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,1.0,0.5833333333333334,24.0,8.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
38059,37.0,2013-06-25,107,1.0,2.0,108.0,0.0,0.3333333333333333,0.375,24.0,1.0,1.0,1.0,0.5833333333333334,24.0,8.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.631578947368421,19.0,203.0,0.0,0.0,0.4,20.0,0.0,0.0
37190,19.0,2013-03-09,131,1.0,3.0,1.0,1.0,1.0,0.5833333333333334,24.0,8.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.631578947368421,19.0,203.0,0.0,0.0,0.4,20.0,12.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
37165,19.0,2013-03-08,131,1.0,3.0,8.0,0.0,0.0,0.2,15.0,2.0,1.0,1.0,0.631578947368421,19.0,203.0,0.0,0.0,0.4,20.0,12.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,1.0
37081,16.0,2013-02-28,155,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,203.0,0.0,0.0,0.4,20.0,12.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,4.0,1.0,0.6666666666666666,0.5483870967741935,31.0,1.0,0.0
37069,16.0,2013-02-26,155,1.0,0.0,203.0,0.0,0.0,0.4,20.0,12.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,4.0,1.0,0.6666666666666666,0.5483870967741935,31.0,9.0,0.0,0.0,0.25,16.0,0.0,1.0
35846,48.0,2012-08-07,133,1.0,3.0,12.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,4.0,1.0,0.6666666666666666,0.5483870967741935,31.0,9.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5,34.0,0.0,0.0
