,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
29940,32.0,2010-06-09,273,1.0,2.0,127.0,0.0,0.0,0.46153846153846156,26.0,483.0,0.0,0.3333333333333333,0.5,32.0,767.0,0.0,0.4,0.5306122448979592,49.0,2.0,1.0,0.75,0.6875,32.0,211.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
28865,7.0,2010-02-02,247,1.0,3.0,483.0,0.0,0.3333333333333333,0.5,32.0,767.0,0.0,0.4,0.5306122448979592,49.0,2.0,1.0,0.75,0.6875,32.0,211.0,0.0,0.0,0.3333333333333333,18.0,140.0,0.0,0.3333333333333333,0.5,32.0,0.0,0.0
25565,57.0,2008-10-07,521,0.0,1.0,767.0,0.0,0.4,0.5306122448979592,49.0,2.0,1.0,0.75,0.6875,32.0,211.0,0.0,0.0,0.3333333333333333,18.0,140.0,0.0,0.3333333333333333,0.5,32.0,15.0,0.0,0.25,0.40476190476190477,42.0,0.0,0.0
19766,51.0,2006-09-01,255,1.0,3.0,2.0,1.0,0.75,0.6875,32.0,211.0,0.0,0.0,0.3333333333333333,18.0,140.0,0.0,0.3333333333333333,0.5,32.0,15.0,0.0,0.25,0.40476190476190477,42.0,21.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
19725,51.0,2006-08-30,255,1.0,3.0,211.0,0.0,0.0,0.3333333333333333,18.0,140.0,0.0,0.3333333333333333,0.5,32.0,15.0,0.0,0.25,0.40476190476190477,42.0,21.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.2,15.0,0.0,1.0
17776,9.0,2006-01-31,197,0.0,1.0,140.0,0.0,0.3333333333333333,0.5,32.0,15.0,0.0,0.25,0.40476190476190477,42.0,21.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.2,15.0,5.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
16907,52.0,2005-09-13,172,1.0,3.0,15.0,0.0,0.25,0.40476190476190477,42.0,21.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.2,15.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
16780,51.0,2005-08-29,185,1.0,3.0,21.0,0.0,0.0,0.29411764705882354,17.0,12.0,0.0,0.0,0.2,15.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
16606,48.0,2005-08-08,164,1.0,3.0,12.0,0.0,0.0,0.2,15.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6666666666666666,18.0,29.0,0.0,0.25,0.47619047619047616,42.0,0.0,0.0
16474,44.0,2005-07-27,164,1.0,3.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6666666666666666,18.0,29.0,0.0,0.25,0.47619047619047616,42.0,61.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
