,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46201,45.0,2016-07-20,109,1.0,0.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,3.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.56,25.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0
46196,45.0,2016-07-19,109,1.0,0.0,3.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.56,25.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,78.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
46102,41.0,2016-07-16,153,1.0,0.0,1.0,1.0,0.6666666666666666,0.56,25.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,78.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,3.0,0.0
46100,41.0,2016-07-15,153,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,78.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,41.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0
46090,41.0,2016-07-13,153,1.0,0.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,78.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,41.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.0,0.25,16.0,1.0,1.0
46083,41.0,2016-07-12,153,1.0,0.0,78.0,0.0,0.0,0.4090909090909091,22.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,41.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.56,25.0,0.0,1.0
45416,27.0,2016-04-25,162,1.0,0.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,41.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.56,25.0,4.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
45332,24.0,2016-04-20,167,1.0,0.0,41.0,0.0,0.0,0.3333333333333333,18.0,28.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.56,25.0,4.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,0.0
45020,19.0,2016-03-10,167,1.0,3.0,28.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.56,25.0,4.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,0.0
44766,10.0,2016-02-11,151,1.0,0.0,2.0,1.0,1.0,0.56,25.0,4.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,12.0,0.0,0.4,0.4727272727272727,55.0,1.0,0.0
44755,10.0,2016-02-09,151,1.0,0.0,4.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,12.0,0.0,0.4,0.4727272727272727,55.0,2.0,1.0,0.6,0.4583333333333333,48.0,0.0,1.0
44717,8.0,2016-02-05,158,1.0,0.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,12.0,0.0,0.4,0.4727272727272727,55.0,2.0,1.0,0.6,0.4583333333333333,48.0,325.0,0.0,0.0,0.2,15.0,2.0,0.0
44713,8.0,2016-02-04,158,1.0,0.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,12.0,0.0,0.4,0.4727272727272727,55.0,2.0,1.0,0.6,0.4583333333333333,48.0,325.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0
44699,8.0,2016-02-01,158,1.0,0.0,12.0,0.0,0.4,0.4727272727272727,55.0,2.0,1.0,0.6,0.4583333333333333,48.0,325.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,20.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
44607,6.0,2016-01-20,174,1.0,3.0,2.0,1.0,0.6,0.4583333333333333,48.0,325.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,0.0
44557,6.0,2016-01-18,174,1.0,3.0,325.0,0.0,0.0,0.2,15.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,207.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
42343,17.0,2015-02-27,186,1.0,0.0,3.0,1.0,0.6666666666666666,0.5806451612903226,31.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,207.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
42327,17.0,2015-02-24,186,1.0,0.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5517241379310345,29.0,207.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.0,0.7142857142857143,7.0,0.0,1.0
