,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
37374,22.0,2013-04-09,156,1.0,0.0,84.0,0.0,0.0,0.40625,32.0,799.0,0.0,0.0,0.38095238095238093,21.0,166.0,0.0,0.0,0.21739130434782608,23.0,3.0,1.0,0.75,0.5681818181818182,44.0,17.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
36722,6.0,2013-01-15,118,1.0,3.0,799.0,0.0,0.0,0.38095238095238093,21.0,166.0,0.0,0.0,0.21739130434782608,23.0,3.0,1.0,0.75,0.5681818181818182,44.0,17.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
31210,64.0,2010-11-08,173,0.0,3.0,166.0,0.0,0.0,0.21739130434782608,23.0,3.0,1.0,0.75,0.5681818181818182,44.0,17.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.75,16.0,76.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
29868,31.0,2010-05-26,128,1.0,0.0,3.0,1.0,0.75,0.5681818181818182,44.0,17.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.75,16.0,76.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5,26.0,1.0,0.0
29808,31.0,2010-05-23,128,1.0,0.0,17.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.75,16.0,76.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5,26.0,12.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
29648,26.0,2010-05-06,129,1.0,0.0,2.0,1.0,1.0,0.75,16.0,76.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5,26.0,12.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
29636,26.0,2010-05-04,129,1.0,0.0,76.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5,26.0,12.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,99.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
29086,14.0,2010-02-17,121,0.0,3.0,1.0,1.0,0.6666666666666666,0.5,26.0,12.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,99.0,0.0,0.0,0.29411764705882354,17.0,52.0,0.0,0.25,0.42857142857142855,42.0,1.0,0.0
29078,14.0,2010-02-16,121,0.0,3.0,12.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,99.0,0.0,0.0,0.29411764705882354,17.0,52.0,0.0,0.25,0.42857142857142855,42.0,3.0,1.0,0.75,0.5365853658536586,41.0,0.0,1.0
28877,7.0,2010-02-04,121,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,99.0,0.0,0.0,0.29411764705882354,17.0,52.0,0.0,0.25,0.42857142857142855,42.0,3.0,1.0,0.75,0.5365853658536586,41.0,35.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
28862,7.0,2010-02-02,121,1.0,3.0,99.0,0.0,0.0,0.29411764705882354,17.0,52.0,0.0,0.25,0.42857142857142855,42.0,3.0,1.0,0.75,0.5365853658536586,41.0,35.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.35,20.0,0.0,1.0
28363,58.0,2009-10-26,137,0.0,3.0,52.0,0.0,0.25,0.42857142857142855,42.0,3.0,1.0,0.75,0.5365853658536586,41.0,35.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.35,20.0,52.0,0.0,0.0,0.3939393939393939,33.0,0.0,0.0
28036,49.0,2009-09-04,103,1.0,3.0,3.0,1.0,0.75,0.5365853658536586,41.0,35.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.35,20.0,52.0,0.0,0.0,0.3939393939393939,33.0,2.0,1.0,0.6,0.4827586206896552,58.0,1.0,0.0
27980,49.0,2009-09-01,103,1.0,3.0,35.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.35,20.0,52.0,0.0,0.0,0.3939393939393939,33.0,2.0,1.0,0.6,0.4827586206896552,58.0,3.0,1.0,0.6,0.5102040816326531,49.0,0.0,1.0
27692,43.0,2009-07-28,110,1.0,3.0,8.0,0.0,0.0,0.35,20.0,52.0,0.0,0.0,0.3939393939393939,33.0,2.0,1.0,0.6,0.4827586206896552,58.0,3.0,1.0,0.6,0.5102040816326531,49.0,208.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
27625,41.0,2009-07-20,110,1.0,3.0,52.0,0.0,0.0,0.3939393939393939,33.0,2.0,1.0,0.6,0.4827586206896552,58.0,3.0,1.0,0.6,0.5102040816326531,49.0,208.0,0.0,0.0,0.3684210526315789,19.0,4.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
27181,31.0,2009-05-29,134,1.0,0.0,2.0,1.0,0.6,0.4827586206896552,58.0,3.0,1.0,0.6,0.5102040816326531,49.0,208.0,0.0,0.0,0.3684210526315789,19.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,0.0
27158,31.0,2009-05-27,134,1.0,0.0,3.0,1.0,0.6,0.5102040816326531,49.0,208.0,0.0,0.0,0.3684210526315789,19.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,1.0,1.0
27088,31.0,2009-05-24,134,1.0,0.0,208.0,0.0,0.0,0.3684210526315789,19.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,97.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
25798,64.0,2008-10-28,152,0.0,1.0,4.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,97.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
25750,62.0,2008-10-24,182,0.0,1.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,97.0,0.0,0.0,0.3333333333333333,18.0,8.0,0.0,0.0,0.3684210526315789,19.0,43.0,0.0,0.0,0.3076923076923077,26.0,2.0,0.0
