,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
17981,15.0,2006-02-24,230,0.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,0.6666666666666666,0.5,38.0,510.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.29411764705882354,17.0,43.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,0.0
17973,15.0,2006-02-22,230,0.0,3.0,1.0,1.0,0.6666666666666666,0.5,38.0,510.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.29411764705882354,17.0,43.0,0.0,0.3333333333333333,0.4482758620689655,29.0,42.0,0.0,0.0,0.46153846153846156,39.0,1.0,1.0
17964,15.0,2006-02-21,230,0.0,3.0,510.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.29411764705882354,17.0,43.0,0.0,0.3333333333333333,0.4482758620689655,29.0,42.0,0.0,0.0,0.46153846153846156,39.0,5.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
14067,54.0,2004-09-29,179,0.0,3.0,15.0,0.0,0.0,0.29411764705882354,17.0,43.0,0.0,0.3333333333333333,0.4482758620689655,29.0,42.0,0.0,0.0,0.46153846153846156,39.0,5.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,0.0,0.0
13963,51.0,2004-09-14,185,1.0,3.0,43.0,0.0,0.3333333333333333,0.4482758620689655,29.0,42.0,0.0,0.0,0.46153846153846156,39.0,5.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,8.0,0.0,0.3333333333333333,0.53125,32.0,0.0,0.0
13683,46.0,2004-08-02,181,1.0,3.0,42.0,0.0,0.0,0.46153846153846156,39.0,5.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,8.0,0.0,0.3333333333333333,0.53125,32.0,230.0,0.0,0.3333333333333333,0.375,24.0,0.0,0.0
13166,35.0,2004-06-21,162,1.0,2.0,5.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,8.0,0.0,0.3333333333333333,0.53125,32.0,230.0,0.0,0.3333333333333333,0.375,24.0,120.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
13146,34.0,2004-06-16,163,1.0,2.0,1.0,1.0,0.6666666666666666,0.4827586206896552,29.0,8.0,0.0,0.3333333333333333,0.53125,32.0,230.0,0.0,0.3333333333333333,0.375,24.0,120.0,0.0,0.0,0.3076923076923077,26.0,5.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
13142,34.0,2004-06-15,163,1.0,2.0,8.0,0.0,0.3333333333333333,0.53125,32.0,230.0,0.0,0.3333333333333333,0.375,24.0,120.0,0.0,0.0,0.3076923076923077,26.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
13047,32.0,2004-06-07,158,1.0,2.0,230.0,0.0,0.3333333333333333,0.375,24.0,120.0,0.0,0.0,0.3076923076923077,26.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,0.0
