,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
30416,44.0,2010-07-27,199,1.0,0.0,65.0,0.0,0.25,0.43902439024390244,41.0,435.0,0.0,0.3333333333333333,0.41935483870967744,31.0,18.0,0.0,0.0,0.43478260869565216,23.0,224.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
29798,31.0,2010-05-23,294,1.0,0.0,435.0,0.0,0.3333333333333333,0.41935483870967744,31.0,18.0,0.0,0.0,0.43478260869565216,23.0,224.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.38095238095238093,21.0,27.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
26528,19.0,2009-03-14,135,1.0,3.0,18.0,0.0,0.0,0.43478260869565216,23.0,224.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.38095238095238093,21.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,0.0
26408,16.0,2009-02-24,139,1.0,0.0,224.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.38095238095238093,21.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,15.0,0.0,0.25,0.46511627906976744,43.0,0.0,0.0
25028,45.0,2008-07-15,170,1.0,0.0,7.0,0.0,0.0,0.38095238095238093,21.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,15.0,0.0,0.25,0.46511627906976744,43.0,6.0,0.0,0.0,0.35,20.0,0.0,0.0
24859,39.0,2008-07-08,161,1.0,0.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,15.0,0.0,0.25,0.46511627906976744,43.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,0.0
24580,33.0,2008-06-11,158,1.0,2.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,15.0,0.0,0.25,0.46511627906976744,43.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,12.0,0.0,0.0,0.2,15.0,1.0,0.0
24571,33.0,2008-06-10,158,1.0,2.0,15.0,0.0,0.25,0.46511627906976744,43.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,12.0,0.0,0.0,0.2,15.0,21.0,0.0,0.0,0.35,20.0,0.0,1.0
24419,31.0,2008-05-26,128,1.0,0.0,6.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,12.0,0.0,0.0,0.2,15.0,21.0,0.0,0.0,0.35,20.0,62.0,0.0,0.3333333333333333,0.32,25.0,0.0,0.0
24346,29.0,2008-05-20,133,1.0,0.0,2.0,1.0,0.6666666666666666,0.5277777777777778,36.0,12.0,0.0,0.0,0.2,15.0,21.0,0.0,0.0,0.35,20.0,62.0,0.0,0.3333333333333333,0.32,25.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
24331,29.0,2008-05-18,133,1.0,0.0,12.0,0.0,0.0,0.2,15.0,21.0,0.0,0.0,0.35,20.0,62.0,0.0,0.3333333333333333,0.32,25.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
24242,27.0,2008-05-06,130,1.0,0.0,21.0,0.0,0.0,0.35,20.0,62.0,0.0,0.3333333333333333,0.32,25.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.2692307692307692,26.0,0.0,0.0
23993,21.0,2008-04-15,119,1.0,0.0,62.0,0.0,0.3333333333333333,0.32,25.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.2692307692307692,26.0,166.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
23474,8.0,2008-02-13,110,1.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.2692307692307692,26.0,166.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
23468,8.0,2008-02-12,110,1.0,0.0,14.0,0.0,0.0,0.29411764705882354,17.0,15.0,0.0,0.0,0.2692307692307692,26.0,166.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
23435,7.0,2008-01-29,105,1.0,0.0,15.0,0.0,0.0,0.2692307692307692,26.0,166.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
23310,6.0,2008-01-14,110,1.0,3.0,166.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,51.0,0.0,0.4,0.5192307692307693,52.0,0.0,0.0
22302,46.0,2007-08-01,111,1.0,0.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,51.0,0.0,0.4,0.5192307692307693,52.0,2.0,1.0,0.6,0.5,48.0,1.0,0.0
22294,46.0,2007-07-31,111,1.0,0.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.7058823529411765,17.0,51.0,0.0,0.4,0.5192307692307693,52.0,2.0,1.0,0.6,0.5,48.0,2.0,1.0,0.75,0.6176470588235294,34.0,0.0,1.0
22229,44.0,2007-07-25,113,1.0,0.0,2.0,1.0,1.0,0.7058823529411765,17.0,51.0,0.0,0.4,0.5192307692307693,52.0,2.0,1.0,0.6,0.5,48.0,2.0,1.0,0.75,0.6176470588235294,34.0,26.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,0.0
22207,44.0,2007-07-23,113,1.0,0.0,51.0,0.0,0.4,0.5192307692307693,52.0,2.0,1.0,0.6,0.5,48.0,2.0,1.0,0.75,0.6176470588235294,34.0,26.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0
21694,31.0,2007-06-02,129,1.0,0.0,2.0,1.0,0.6,0.5,48.0,2.0,1.0,0.75,0.6176470588235294,34.0,26.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.6842105263157895,19.0,79.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
21668,31.0,2007-05-31,129,1.0,0.0,2.0,1.0,0.75,0.6176470588235294,34.0,26.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.6842105263157895,19.0,79.0,0.0,0.0,0.3684210526315789,19.0,10.0,0.0,0.3333333333333333,0.39285714285714285,28.0,1.0,1.0
21622,31.0,2007-05-29,129,1.0,0.0,26.0,0.0,0.3333333333333333,0.48148148148148145,27.0,1.0,1.0,1.0,0.6842105263157895,19.0,79.0,0.0,0.0,0.3684210526315789,19.0,10.0,0.0,0.3333333333333333,0.39285714285714285,28.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
21403,26.0,2007-05-03,123,1.0,0.0,1.0,1.0,1.0,0.6842105263157895,19.0,79.0,0.0,0.0,0.3684210526315789,19.0,10.0,0.0,0.3333333333333333,0.39285714285714285,28.0,3.0,1.0,1.0,0.6666666666666666,18.0,15.0,0.0,0.4,0.37209302325581395,43.0,1.0,0.0
21397,26.0,2007-05-02,123,1.0,0.0,79.0,0.0,0.0,0.3684210526315789,19.0,10.0,0.0,0.3333333333333333,0.39285714285714285,28.0,3.0,1.0,1.0,0.6666666666666666,18.0,15.0,0.0,0.4,0.37209302325581395,43.0,13.0,0.0,0.0,0.4,20.0,0.0,1.0
20712,10.0,2007-02-12,112,1.0,0.0,10.0,0.0,0.3333333333333333,0.39285714285714285,28.0,3.0,1.0,1.0,0.6666666666666666,18.0,15.0,0.0,0.4,0.37209302325581395,43.0,13.0,0.0,0.0,0.4,20.0,70.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
20672,8.0,2007-02-02,116,1.0,0.0,3.0,1.0,1.0,0.6666666666666666,18.0,15.0,0.0,0.4,0.37209302325581395,43.0,13.0,0.0,0.0,0.4,20.0,70.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,0.0
20656,8.0,2007-01-30,116,1.0,0.0,15.0,0.0,0.4,0.37209302325581395,43.0,13.0,0.0,0.0,0.4,20.0,70.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.3333333333333333,0.4411764705882353,34.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,1.0
20512,6.0,2007-01-15,115,1.0,3.0,13.0,0.0,0.0,0.4,20.0,70.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.3333333333333333,0.4411764705882353,34.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,28.0,0.0,0.0,0.18181818181818182,22.0,0.0,0.0
20374,2.0,2007-01-02,117,1.0,3.0,70.0,0.0,0.0,0.4090909090909091,22.0,21.0,0.0,0.3333333333333333,0.4411764705882353,34.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,28.0,0.0,0.0,0.18181818181818182,22.0,92.0,0.0,0.0,0.46153846153846156,39.0,0.0,0.0
20218,64.0,2006-10-24,95,0.0,1.0,21.0,0.0,0.3333333333333333,0.4411764705882353,34.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,28.0,0.0,0.0,0.18181818181818182,22.0,92.0,0.0,0.0,0.46153846153846156,39.0,35.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
19972,57.0,2006-10-03,105,0.0,3.0,6.0,0.0,0.3333333333333333,0.4666666666666667,30.0,28.0,0.0,0.0,0.18181818181818182,22.0,92.0,0.0,0.0,0.46153846153846156,39.0,35.0,0.0,0.0,0.3684210526315789,19.0,60.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
19945,56.0,2006-09-27,101,1.0,0.0,28.0,0.0,0.0,0.18181818181818182,22.0,92.0,0.0,0.0,0.46153846153846156,39.0,35.0,0.0,0.0,0.3684210526315789,19.0,60.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,0.0
19710,51.0,2006-08-30,103,1.0,3.0,92.0,0.0,0.0,0.46153846153846156,39.0,35.0,0.0,0.0,0.3684210526315789,19.0,60.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
18747,31.0,2006-05-30,132,1.0,0.0,35.0,0.0,0.0,0.3684210526315789,19.0,60.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
18463,25.0,2006-04-25,124,1.0,0.0,60.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.5909090909090909,22.0,20.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
