,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
39559,11.0,2014-02-11,223,0.0,3.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.631578947368421,19.0,328.0,0.0,0.0,0.35,20.0,0.0,0.0
39516,9.0,2014-02-08,358,0.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.631578947368421,19.0,328.0,0.0,0.0,0.35,20.0,3.0,1.0,0.6666666666666666,0.5384615384615384,26.0,3.0,0.0
39512,9.0,2014-02-07,358,0.0,3.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.631578947368421,19.0,328.0,0.0,0.0,0.35,20.0,3.0,1.0,0.6666666666666666,0.5384615384615384,26.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0
39506,9.0,2014-02-06,358,0.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,328.0,0.0,0.0,0.35,20.0,3.0,1.0,0.6666666666666666,0.5384615384615384,26.0,2.0,1.0,1.0,0.6190476190476191,21.0,10.0,0.0,0.0,0.35,20.0,1.0,1.0
39495,9.0,2014-02-04,358,0.0,3.0,328.0,0.0,0.0,0.35,20.0,3.0,1.0,0.6666666666666666,0.5384615384615384,26.0,2.0,1.0,1.0,0.6190476190476191,21.0,10.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
37233,19.0,2013-03-13,121,1.0,3.0,3.0,1.0,0.6666666666666666,0.5384615384615384,26.0,2.0,1.0,1.0,0.6190476190476191,21.0,10.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.3684210526315789,19.0,37.0,0.0,0.0,0.3076923076923077,26.0,2.0,0.0
37204,19.0,2013-03-10,121,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,10.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.3684210526315789,19.0,37.0,0.0,0.0,0.3076923076923077,26.0,6.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0
37180,19.0,2013-03-08,121,1.0,3.0,10.0,0.0,0.0,0.35,20.0,6.0,0.0,0.0,0.3684210526315789,19.0,37.0,0.0,0.0,0.3076923076923077,26.0,6.0,0.0,0.0,0.07692307692307693,13.0,8.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0
37103,17.0,2013-02-26,121,1.0,3.0,6.0,0.0,0.0,0.3684210526315789,19.0,37.0,0.0,0.0,0.3076923076923077,26.0,6.0,0.0,0.0,0.07692307692307693,13.0,8.0,0.0,0.3333333333333333,0.4642857142857143,28.0,77.0,0.0,0.3333333333333333,0.41935483870967744,31.0,0.0,0.0
37045,15.0,2013-02-20,122,0.0,3.0,37.0,0.0,0.0,0.3076923076923077,26.0,6.0,0.0,0.0,0.07692307692307693,13.0,8.0,0.0,0.3333333333333333,0.4642857142857143,28.0,77.0,0.0,0.3333333333333333,0.41935483870967744,31.0,45.0,0.0,0.0,0.28,25.0,0.0,0.0
