,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
19712,51.0,2006-08-30,113,1.0,3.0,43.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.6666666666666666,0.6666666666666666,27.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
19240,41.0,2006-07-18,125,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.6666666666666666,0.6666666666666666,27.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
19195,39.0,2006-07-16,214,1.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,27.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.25,0.4444444444444444,45.0,4.0,1.0
19193,39.0,2006-07-15,214,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.25,0.4444444444444444,45.0,1.0,1.0,0.75,0.5319148936170213,47.0,3.0,1.0
19192,39.0,2006-07-14,214,1.0,2.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.25,0.4444444444444444,45.0,1.0,1.0,0.75,0.5319148936170213,47.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,2.0,1.0
19181,39.0,2006-07-12,214,1.0,2.0,1.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.25,0.4444444444444444,45.0,1.0,1.0,0.75,0.5319148936170213,47.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0
19174,39.0,2006-07-11,214,1.0,2.0,13.0,0.0,0.25,0.4444444444444444,45.0,1.0,1.0,0.75,0.5319148936170213,47.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
19049,36.0,2006-06-28,210,1.0,2.0,1.0,1.0,0.75,0.5319148936170213,47.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0,1.0,0.631578947368421,19.0,80.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
18994,36.0,2006-06-27,210,1.0,2.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0,1.0,0.631578947368421,19.0,80.0,0.0,0.0,0.43478260869565216,23.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,1.0
18900,33.0,2006-06-15,176,1.0,2.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0,1.0,0.631578947368421,19.0,80.0,0.0,0.0,0.43478260869565216,23.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
