,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
8632,62.0,2002-10-21,120,0.0,1.0,14.0,0.0,0.3333333333333333,0.34615384615384615,26.0,28.0,0.0,0.3333333333333333,0.375,24.0,28.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.631578947368421,19.0,49.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
8521,59.0,2002-10-07,124,0.0,1.0,28.0,0.0,0.3333333333333333,0.375,24.0,28.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.631578947368421,19.0,49.0,0.0,0.0,0.36666666666666664,30.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
8288,52.0,2002-09-09,123,1.0,0.0,28.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.631578947368421,19.0,49.0,0.0,0.0,0.36666666666666664,30.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,0.0,0.5,14.0,0.0,0.0
8083,49.0,2002-08-12,125,1.0,3.0,0.0,1.0,1.0,0.631578947368421,19.0,49.0,0.0,0.0,0.36666666666666664,30.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,0.0,0.5,14.0,0.0,1.0,0.0,0.4444444444444444,9.0,1.0,0.0
8061,49.0,2002-08-12,125,1.0,3.0,49.0,0.0,0.0,0.36666666666666664,30.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,0.0,0.5,14.0,0.0,1.0,0.0,0.4444444444444444,9.0,7.0,0.0,0.0,0.4,20.0,0.0,1.0
7491,36.0,2002-06-24,93,1.0,2.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,0.0,0.5,14.0,0.0,1.0,0.0,0.4444444444444444,9.0,7.0,0.0,0.0,0.4,20.0,14.0,0.0,0.4,0.4897959183673469,49.0,0.0,0.0
7436,35.0,2002-06-17,98,1.0,2.0,0.0,1.0,0.0,0.5,14.0,0.0,1.0,0.0,0.4444444444444444,9.0,7.0,0.0,0.0,0.4,20.0,14.0,0.0,0.4,0.4897959183673469,49.0,28.0,0.0,0.0,0.25,16.0,2.0,0.0
7433,35.0,2002-06-17,98,1.0,2.0,0.0,1.0,0.0,0.4444444444444444,9.0,7.0,0.0,0.0,0.4,20.0,14.0,0.0,0.4,0.4897959183673469,49.0,28.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5625,32.0,1.0,1.0
7422,35.0,2002-06-17,98,1.0,2.0,7.0,0.0,0.0,0.4,20.0,14.0,0.0,0.4,0.4897959183673469,49.0,28.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5625,32.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
7327,33.0,2002-06-10,93,1.0,2.0,14.0,0.0,0.4,0.4897959183673469,49.0,28.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5625,32.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
