,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
24960,43.0,2008-07-14,128,1.0,3.0,7.0,0.0,0.3333333333333333,0.46875,32.0,314.0,0.0,0.25,0.4318181818181818,44.0,63.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.3333333333333333,0.5,32.0,7.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
24880,40.0,2008-07-07,129,1.0,2.0,314.0,0.0,0.25,0.4318181818181818,44.0,63.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.3333333333333333,0.5,32.0,7.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.0,0.3870967741935484,31.0,0.0,0.0
22559,51.0,2007-08-28,99,1.0,3.0,63.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.3333333333333333,0.5,32.0,7.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6333333333333333,30.0,0.0,0.0
21903,36.0,2007-06-26,80,1.0,2.0,7.0,0.0,0.3333333333333333,0.5,32.0,7.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6333333333333333,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
21809,34.0,2007-06-19,82,1.0,2.0,7.0,0.0,0.0,0.3157894736842105,19.0,12.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6333333333333333,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
21759,33.0,2007-06-12,79,1.0,2.0,12.0,0.0,0.0,0.3870967741935484,31.0,2.0,1.0,1.0,0.6333333333333333,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,27.0,0.0,0.0,0.25,16.0,0.0,0.0
21667,31.0,2007-05-31,81,1.0,0.0,2.0,1.0,1.0,0.6333333333333333,30.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,27.0,0.0,0.0,0.25,16.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,1.0,0.0
21635,31.0,2007-05-29,81,1.0,0.0,6.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,27.0,0.0,0.0,0.25,16.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,32.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
21573,30.0,2007-05-23,81,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,27.0,0.0,0.0,0.25,16.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,32.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.3333333333333333,0.4838709677419355,31.0,1.0,0.0
21561,30.0,2007-05-21,81,1.0,0.0,27.0,0.0,0.0,0.25,16.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,32.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.3333333333333333,0.4838709677419355,31.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
21362,25.0,2007-04-24,83,1.0,0.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,32.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.3333333333333333,0.4838709677419355,31.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
21216,22.0,2007-04-10,79,1.0,0.0,32.0,0.0,0.0,0.43478260869565216,23.0,11.0,0.0,0.3333333333333333,0.4838709677419355,31.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,0.0
20995,19.0,2007-03-09,84,1.0,3.0,11.0,0.0,0.3333333333333333,0.4838709677419355,31.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.75,16.0,5.0,0.0,0.3333333333333333,0.3793103448275862,29.0,3.0,1.0,1.0,0.6842105263157895,19.0,0.0,0.0
