,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46289,47.0,2016-07-27,247,1.0,3.0,2.0,1.0,0.6666666666666666,0.64,25.0,135.0,0.0,0.0,0.4090909090909091,22.0,584.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
46264,47.0,2016-07-25,247,1.0,3.0,135.0,0.0,0.0,0.4090909090909091,22.0,584.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0
45040,19.0,2016-03-12,542,1.0,3.0,584.0,0.0,0.0,0.14285714285714285,14.0,1.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,8.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
41109,48.0,2014-08-06,129,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,8.0,0.0,0.0,0.3333333333333333,18.0,44.0,0.0,0.0,0.3793103448275862,29.0,1.0,0.0
41095,48.0,2014-08-05,129,1.0,3.0,19.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,8.0,0.0,0.0,0.3333333333333333,18.0,44.0,0.0,0.0,0.3793103448275862,29.0,47.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,1.0
40874,41.0,2014-07-17,130,1.0,0.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,8.0,0.0,0.0,0.3333333333333333,18.0,44.0,0.0,0.0,0.3793103448275862,29.0,47.0,0.0,0.3333333333333333,0.4827586206896552,29.0,33.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,0.0
40864,41.0,2014-07-16,130,1.0,0.0,8.0,0.0,0.0,0.3333333333333333,18.0,44.0,0.0,0.0,0.3793103448275862,29.0,47.0,0.0,0.3333333333333333,0.4827586206896552,29.0,33.0,0.0,0.3333333333333333,0.45454545454545453,33.0,212.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,1.0
40806,39.0,2014-07-08,133,1.0,2.0,44.0,0.0,0.0,0.3793103448275862,29.0,47.0,0.0,0.3333333333333333,0.4827586206896552,29.0,33.0,0.0,0.3333333333333333,0.45454545454545453,33.0,212.0,0.0,0.3333333333333333,0.42857142857142855,28.0,365.0,0.0,0.3333333333333333,0.52,25.0,0.0,0.0
40383,32.0,2014-05-25,135,1.0,0.0,47.0,0.0,0.3333333333333333,0.4827586206896552,29.0,33.0,0.0,0.3333333333333333,0.45454545454545453,33.0,212.0,0.0,0.3333333333333333,0.42857142857142855,28.0,365.0,0.0,0.3333333333333333,0.52,25.0,704.0,0.0,0.25,0.4,40.0,0.0,0.0
40010,22.0,2014-04-08,135,1.0,0.0,33.0,0.0,0.3333333333333333,0.45454545454545453,33.0,212.0,0.0,0.3333333333333333,0.42857142857142855,28.0,365.0,0.0,0.3333333333333333,0.52,25.0,704.0,0.0,0.25,0.4,40.0,2.0,1.0,1.0,0.6333333333333333,30.0,0.0,0.0
