,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
17344,65.0,2005-10-25,241,0.0,1.0,15.0,0.0,0.0,0.29411764705882354,17.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,29.0,0.0,0.0,0.28,25.0,0.0,0.0
17134,59.0,2005-10-10,253,0.0,1.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,29.0,0.0,0.0,0.28,25.0,27.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
17106,58.0,2005-10-05,276,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,29.0,0.0,0.0,0.28,25.0,27.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,30.0,1.0,0.0
17099,58.0,2005-10-04,276,1.0,3.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,29.0,0.0,0.0,0.28,25.0,27.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,30.0,14.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0
17007,55.0,2005-09-28,283,0.0,3.0,29.0,0.0,0.0,0.28,25.0,27.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,30.0,14.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
16819,51.0,2005-08-30,294,1.0,3.0,27.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,30.0,14.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.3333333333333333,0.4074074074074074,27.0,9.0,0.0,0.25,0.4146341463414634,41.0,0.0,0.0
16577,47.0,2005-08-03,286,1.0,3.0,2.0,1.0,0.6666666666666666,0.5,30.0,14.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.3333333333333333,0.4074074074074074,27.0,9.0,0.0,0.25,0.4146341463414634,41.0,2.0,1.0,0.6,0.5142857142857142,70.0,1.0,0.0
16552,47.0,2005-08-01,286,1.0,3.0,14.0,0.0,0.0,0.3157894736842105,19.0,14.0,0.0,0.3333333333333333,0.4074074074074074,27.0,9.0,0.0,0.25,0.4146341463414634,41.0,2.0,1.0,0.6,0.5142857142857142,70.0,2.0,1.0,0.75,0.5714285714285714,35.0,0.0,1.0
16320,41.0,2005-07-18,299,1.0,3.0,14.0,0.0,0.3333333333333333,0.4074074074074074,27.0,9.0,0.0,0.25,0.4146341463414634,41.0,2.0,1.0,0.6,0.5142857142857142,70.0,2.0,1.0,0.75,0.5714285714285714,35.0,8.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
16257,39.0,2005-07-04,176,1.0,2.0,9.0,0.0,0.25,0.4146341463414634,41.0,2.0,1.0,0.6,0.5142857142857142,70.0,2.0,1.0,0.75,0.5714285714285714,35.0,8.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
16171,36.0,2005-06-25,134,1.0,2.0,2.0,1.0,0.6,0.5142857142857142,70.0,2.0,1.0,0.75,0.5714285714285714,35.0,8.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.25,0.38461538461538464,39.0,2.0,0.0
16152,36.0,2005-06-23,134,1.0,2.0,2.0,1.0,0.75,0.5714285714285714,35.0,8.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.25,0.38461538461538464,39.0,35.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
16117,36.0,2005-06-21,134,1.0,2.0,8.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.25,0.38461538461538464,39.0,35.0,0.0,0.0,0.4090909090909091,22.0,232.0,0.0,0.25,0.45714285714285713,35.0,0.0,1.0
16041,35.0,2005-06-13,136,1.0,2.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.25,0.38461538461538464,39.0,35.0,0.0,0.0,0.4090909090909091,22.0,232.0,0.0,0.25,0.45714285714285713,35.0,6.0,0.0,0.0,0.25,16.0,0.0,0.0
15924,32.0,2005-06-06,132,1.0,2.0,13.0,0.0,0.25,0.38461538461538464,39.0,35.0,0.0,0.0,0.4090909090909091,22.0,232.0,0.0,0.25,0.45714285714285713,35.0,6.0,0.0,0.0,0.25,16.0,41.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
15841,31.0,2005-05-24,125,1.0,0.0,35.0,0.0,0.0,0.4090909090909091,22.0,232.0,0.0,0.25,0.45714285714285713,35.0,6.0,0.0,0.0,0.25,16.0,41.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5909090909090909,22.0,0.0,0.0
15547,25.0,2005-04-19,126,1.0,0.0,232.0,0.0,0.25,0.45714285714285713,35.0,6.0,0.0,0.0,0.25,16.0,41.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5909090909090909,22.0,2.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
13847,50.0,2004-08-30,81,1.0,3.0,6.0,0.0,0.0,0.25,16.0,41.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5909090909090909,22.0,2.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
13809,49.0,2004-08-24,82,1.0,3.0,41.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,0.6666666666666666,0.5909090909090909,22.0,2.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
13467,41.0,2004-07-14,84,1.0,0.0,1.0,1.0,0.6666666666666666,0.5909090909090909,22.0,2.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.75,16.0,1.0,0.0
13456,41.0,2004-07-13,84,1.0,0.0,2.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
13378,38.0,2004-07-11,111,1.0,2.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.40625,32.0,4.0,0.0
13376,38.0,2004-07-10,111,1.0,2.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.40625,32.0,1.0,1.0,1.0,0.59375,32.0,3.0,1.0
13373,38.0,2004-07-09,111,1.0,2.0,1.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.40625,32.0,1.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.9,20.0,2.0,1.0
13368,38.0,2004-07-08,111,1.0,2.0,2.0,1.0,1.0,0.631578947368421,19.0,8.0,0.0,0.0,0.40625,32.0,1.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.9,20.0,1.0,1.0,1.0,0.6428571428571429,28.0,1.0,1.0
13352,38.0,2004-07-06,111,1.0,2.0,8.0,0.0,0.0,0.40625,32.0,1.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.9,20.0,1.0,1.0,1.0,0.6428571428571429,28.0,9.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0
13277,35.0,2004-06-28,90,1.0,2.0,1.0,1.0,1.0,0.59375,32.0,2.0,1.0,1.0,0.9,20.0,1.0,1.0,1.0,0.6428571428571429,28.0,9.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0
13269,35.0,2004-06-27,90,1.0,2.0,2.0,1.0,1.0,0.9,20.0,1.0,1.0,1.0,0.6428571428571429,28.0,9.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.48148148148148145,27.0,2.0,1.0
13241,35.0,2004-06-25,90,1.0,2.0,1.0,1.0,1.0,0.6428571428571429,28.0,9.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.48148148148148145,27.0,14.0,0.0,0.25,0.40540540540540543,37.0,1.0,1.0
13202,35.0,2004-06-24,90,1.0,2.0,9.0,0.0,0.3333333333333333,0.41379310344827586,29.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.48148148148148145,27.0,14.0,0.0,0.25,0.40540540540540543,37.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
13110,33.0,2004-06-15,82,1.0,2.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.48148148148148145,27.0,14.0,0.0,0.25,0.40540540540540543,37.0,7.0,0.0,0.0,0.3333333333333333,18.0,19.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
13027,31.0,2004-06-09,84,1.0,2.0,2.0,1.0,0.6666666666666666,0.48148148148148145,27.0,14.0,0.0,0.25,0.40540540540540543,37.0,7.0,0.0,0.0,0.3333333333333333,18.0,19.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
13018,31.0,2004-06-07,84,1.0,2.0,14.0,0.0,0.25,0.40540540540540543,37.0,7.0,0.0,0.0,0.3333333333333333,18.0,19.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.25,16.0,0.0,1.0
12904,30.0,2004-05-24,84,1.0,0.0,7.0,0.0,0.0,0.3333333333333333,18.0,19.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.25,16.0,54.0,0.0,0.3333333333333333,0.44,25.0,0.0,0.0
12853,29.0,2004-05-17,81,1.0,0.0,19.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.25,16.0,54.0,0.0,0.3333333333333333,0.44,25.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
12649,24.0,2004-04-28,84,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.25,16.0,54.0,0.0,0.3333333333333333,0.44,25.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.25,16.0,1.0,0.0
