,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46536,52.0,2016-08-31,123,1.0,3.0,2.0,1.0,1.0,0.72,25.0,13.0,0.0,0.0,0.4166666666666667,24.0,20.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,1.0,0.5384615384615384,13.0,8.0,0.0,0.3333333333333333,0.5,28.0,1.0,0.0
46490,52.0,2016-08-29,123,1.0,3.0,13.0,0.0,0.0,0.4166666666666667,24.0,20.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,1.0,0.5384615384615384,13.0,8.0,0.0,0.3333333333333333,0.5,28.0,21.0,0.0,0.25,0.4473684210526316,38.0,0.0,1.0
46385,50.0,2016-08-16,109,1.0,3.0,20.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,1.0,0.5384615384615384,13.0,8.0,0.0,0.3333333333333333,0.5,28.0,21.0,0.0,0.25,0.4473684210526316,38.0,6.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
46297,47.0,2016-07-27,101,1.0,3.0,0.0,1.0,1.0,0.5384615384615384,13.0,8.0,0.0,0.3333333333333333,0.5,28.0,21.0,0.0,0.25,0.4473684210526316,38.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,0.0
46283,47.0,2016-07-27,101,1.0,3.0,8.0,0.0,0.3333333333333333,0.5,28.0,21.0,0.0,0.25,0.4473684210526316,38.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46217,46.0,2016-07-19,98,1.0,3.0,21.0,0.0,0.25,0.4473684210526316,38.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
45962,39.0,2016-06-28,44,1.0,2.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.25,24.0,0.0,0.0
45910,38.0,2016-06-22,44,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.25,24.0,15.0,0.0,0.0,0.46153846153846156,26.0,1.0,0.0
45901,38.0,2016-06-21,44,1.0,2.0,7.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.25,24.0,15.0,0.0,0.0,0.46153846153846156,26.0,7.0,0.0,0.3333333333333333,0.4,30.0,0.0,1.0
45847,37.0,2016-06-14,46,1.0,2.0,7.0,0.0,0.0,0.38095238095238093,21.0,14.0,0.0,0.0,0.25,24.0,15.0,0.0,0.0,0.46153846153846156,26.0,7.0,0.0,0.3333333333333333,0.4,30.0,5.0,0.0,0.3333333333333333,0.4,30.0,0.0,0.0
