,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46624,53.0,2016-09-25,18,0.0,3.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,16.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.6,0.5106382978723404,47.0,3.0,1.0
46623,53.0,2016-09-24,18,0.0,3.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,16.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.6,0.5106382978723404,47.0,2.0,1.0,0.6,0.5208333333333334,48.0,2.0,1.0
46620,53.0,2016-09-23,18,0.0,3.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,16.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.6,0.5106382978723404,47.0,2.0,1.0,0.6,0.5208333333333334,48.0,2.0,1.0,0.6,0.5652173913043478,46.0,1.0,1.0
46616,53.0,2016-09-22,18,0.0,3.0,16.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.6,0.5106382978723404,47.0,2.0,1.0,0.6,0.5208333333333334,48.0,2.0,1.0,0.6,0.5652173913043478,46.0,2.0,1.0,0.75,0.6,35.0,0.0,1.0
46591,52.0,2016-09-06,25,1.0,3.0,2.0,1.0,0.6,0.5106382978723404,47.0,2.0,1.0,0.6,0.5208333333333334,48.0,2.0,1.0,0.6,0.5652173913043478,46.0,2.0,1.0,0.75,0.6,35.0,13.0,0.0,0.0,0.35,20.0,4.0,0.0
46585,52.0,2016-09-04,25,1.0,3.0,2.0,1.0,0.6,0.5208333333333334,48.0,2.0,1.0,0.6,0.5652173913043478,46.0,2.0,1.0,0.75,0.6,35.0,13.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.43478260869565216,23.0,3.0,1.0
46572,52.0,2016-09-02,25,1.0,3.0,2.0,1.0,0.6,0.5652173913043478,46.0,2.0,1.0,0.75,0.6,35.0,13.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,2.0,1.0
46548,52.0,2016-08-31,25,1.0,3.0,2.0,1.0,0.75,0.6,35.0,13.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,20.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0
46494,52.0,2016-08-29,25,1.0,3.0,13.0,0.0,0.0,0.35,20.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.6,0.5087719298245614,57.0,0.0,1.0
46377,50.0,2016-08-16,26,1.0,3.0,20.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.6,0.5087719298245614,57.0,1.0,1.0,0.75,0.5777777777777777,45.0,0.0,0.0
46288,47.0,2016-07-27,23,1.0,3.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.6,0.5087719298245614,57.0,1.0,1.0,0.75,0.5777777777777777,45.0,2.0,1.0,1.0,0.6428571428571429,28.0,1.0,0.0
46277,47.0,2016-07-26,23,1.0,3.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,0.6,0.5087719298245614,57.0,1.0,1.0,0.75,0.5777777777777777,45.0,2.0,1.0,1.0,0.6428571428571429,28.0,1.0,1.0,0.75,0.5945945945945946,37.0,0.0,1.0
46042,39.0,2016-07-06,30,1.0,2.0,2.0,1.0,0.6,0.5087719298245614,57.0,1.0,1.0,0.75,0.5777777777777777,45.0,2.0,1.0,1.0,0.6428571428571429,28.0,1.0,1.0,0.75,0.5945945945945946,37.0,17.0,0.0,0.3333333333333333,0.4,30.0,4.0,0.0
46036,39.0,2016-07-04,30,1.0,2.0,1.0,1.0,0.75,0.5777777777777777,45.0,2.0,1.0,1.0,0.6428571428571429,28.0,1.0,1.0,0.75,0.5945945945945946,37.0,17.0,0.0,0.3333333333333333,0.4,30.0,6.0,0.0,0.3333333333333333,0.4375,32.0,3.0,1.0
46027,39.0,2016-07-03,30,1.0,2.0,2.0,1.0,1.0,0.6428571428571429,28.0,1.0,1.0,0.75,0.5945945945945946,37.0,17.0,0.0,0.3333333333333333,0.4,30.0,6.0,0.0,0.3333333333333333,0.4375,32.0,13.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0
46012,39.0,2016-07-01,30,1.0,2.0,1.0,1.0,0.75,0.5945945945945946,37.0,17.0,0.0,0.3333333333333333,0.4,30.0,6.0,0.0,0.3333333333333333,0.4375,32.0,13.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,0.75,0.5476190476190477,42.0,1.0,1.0
45981,39.0,2016-06-30,30,1.0,2.0,17.0,0.0,0.3333333333333333,0.4,30.0,6.0,0.0,0.3333333333333333,0.4375,32.0,13.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,0.75,0.5476190476190477,42.0,10.0,0.0,0.0,0.2,15.0,0.0,1.0
45811,36.0,2016-06-13,29,1.0,2.0,6.0,0.0,0.3333333333333333,0.4375,32.0,13.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,0.75,0.5476190476190477,42.0,10.0,0.0,0.0,0.2,15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45762,34.0,2016-06-07,29,1.0,2.0,13.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0,0.75,0.5476190476190477,42.0,10.0,0.0,0.0,0.2,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
45708,33.0,2016-05-25,31,1.0,0.0,1.0,1.0,0.75,0.5476190476190477,42.0,10.0,0.0,0.0,0.2,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,0.0
45669,33.0,2016-05-24,31,1.0,0.0,10.0,0.0,0.0,0.2,15.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,6.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0
45573,30.0,2016-05-14,52,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,3.0,0.0
45569,30.0,2016-05-13,52,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,8.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0
45565,30.0,2016-05-12,52,1.0,0.0,2.0,1.0,0.6666666666666666,0.5161290322580645,31.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0
45547,30.0,2016-05-10,52,1.0,0.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0
45499,29.0,2016-05-04,58,1.0,0.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
45475,29.0,2016-05-02,58,1.0,0.0,8.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
45384,25.0,2016-04-24,72,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.0,0.4,20.0,4.0,0.0
45382,25.0,2016-04-23,72,1.0,0.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,3.0,1.0
45379,25.0,2016-04-22,72,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0
45372,25.0,2016-04-21,72,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0
45362,25.0,2016-04-19,72,1.0,0.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5263157894736842,38.0,0.0,1.0
45303,23.0,2016-04-14,82,1.0,0.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5263157894736842,38.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,0.0
45293,23.0,2016-04-13,82,1.0,0.0,2.0,1.0,1.0,0.5909090909090909,22.0,13.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5263157894736842,38.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0
45270,23.0,2016-04-11,82,1.0,0.0,13.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5263157894736842,38.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.35,20.0,0.0,1.0
45189,20.0,2016-03-29,88,1.0,3.0,1.0,1.0,0.6666666666666666,0.5263157894736842,38.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.35,20.0,17.0,0.0,0.3333333333333333,0.45161290322580644,31.0,3.0,0.0
45178,20.0,2016-03-28,88,1.0,3.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.35,20.0,17.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0
45142,20.0,2016-03-25,88,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,13.0,0.0,0.0,0.35,20.0,17.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.43478260869565216,23.0,28.0,0.0,0.0,0.3333333333333333,27.0,1.0,1.0
45111,20.0,2016-03-23,88,1.0,3.0,13.0,0.0,0.0,0.35,20.0,17.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.43478260869565216,23.0,28.0,0.0,0.0,0.3333333333333333,27.0,11.0,0.0,0.0,0.4,20.0,0.0,1.0
45013,19.0,2016-03-10,87,1.0,3.0,17.0,0.0,0.3333333333333333,0.45161290322580644,31.0,6.0,0.0,0.0,0.43478260869565216,23.0,28.0,0.0,0.0,0.3333333333333333,27.0,11.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
44957,17.0,2016-02-22,88,1.0,3.0,6.0,0.0,0.0,0.43478260869565216,23.0,28.0,0.0,0.0,0.3333333333333333,27.0,11.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
44871,14.0,2016-02-16,91,0.0,3.0,28.0,0.0,0.0,0.3333333333333333,27.0,11.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
44576,6.0,2016-01-19,90,1.0,3.0,11.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,11.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
44422,1.0,2016-01-08,78,1.0,3.0,1.0,1.0,0.6666666666666666,0.53125,32.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,2.0,0.0
44418,1.0,2016-01-07,78,1.0,3.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6470588235294118,17.0,1.0,1.0
44411,1.0,2016-01-05,78,1.0,3.0,63.0,0.0,0.3333333333333333,0.4230769230769231,26.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6470588235294118,17.0,22.0,0.0,0.0,0.2,15.0,0.0,1.0
44351,65.0,2015-11-03,84,0.0,3.0,11.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6470588235294118,17.0,22.0,0.0,0.0,0.2,15.0,4.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
44217,60.0,2015-10-23,70,0.0,3.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.6470588235294118,17.0,22.0,0.0,0.0,0.2,15.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,2.0,0.0
44212,60.0,2015-10-22,70,0.0,3.0,1.0,1.0,1.0,0.6470588235294118,17.0,22.0,0.0,0.0,0.2,15.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,1.0,1.0
44207,60.0,2015-10-21,70,0.0,3.0,22.0,0.0,0.0,0.2,15.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,23.0,0.0,0.25,0.38461538461538464,39.0,0.0,1.0
44056,56.0,2015-09-29,69,1.0,3.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,23.0,0.0,0.25,0.38461538461538464,39.0,30.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
44021,54.0,2015-09-25,75,0.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,23.0,0.0,0.25,0.38461538461538464,39.0,30.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
44013,54.0,2015-09-24,75,0.0,3.0,1.0,1.0,0.6666666666666666,0.4857142857142857,35.0,23.0,0.0,0.25,0.38461538461538464,39.0,30.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.6842105263157895,19.0,1.0,1.0
44004,54.0,2015-09-23,75,0.0,3.0,23.0,0.0,0.25,0.38461538461538464,39.0,30.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.6842105263157895,19.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
