,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
7646,39.0,2002-07-08,134,1.0,2.0,28.0,0.0,0.0,0.3157894736842105,19.0,105.0,0.0,0.0,0.2777777777777778,18.0,0.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,0.6666666666666666,0.6206896551724138,29.0,0.0,0.0
7297,32.0,2002-06-10,133,1.0,2.0,105.0,0.0,0.0,0.2777777777777778,18.0,0.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,0.6666666666666666,0.6206896551724138,29.0,28.0,0.0,0.25,0.3235294117647059,34.0,0.0,0.0
6477,15.0,2002-02-25,136,1.0,3.0,0.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,0.6666666666666666,0.6206896551724138,29.0,28.0,0.0,0.25,0.3235294117647059,34.0,14.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
6468,15.0,2002-02-25,136,1.0,3.0,14.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0,0.6666666666666666,0.6206896551724138,29.0,28.0,0.0,0.25,0.3235294117647059,34.0,14.0,0.0,0.0,0.29411764705882354,17.0,77.0,0.0,0.0,0.2,15.0,0.0,1.0
6260,8.0,2002-02-11,126,0.0,3.0,0.0,1.0,0.6666666666666666,0.6206896551724138,29.0,28.0,0.0,0.25,0.3235294117647059,34.0,14.0,0.0,0.0,0.29411764705882354,17.0,77.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,0.0
6247,8.0,2002-02-11,126,0.0,3.0,28.0,0.0,0.25,0.3235294117647059,34.0,14.0,0.0,0.0,0.29411764705882354,17.0,77.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
6118,6.0,2002-01-14,99,1.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,77.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5757575757575758,33.0,0.0,0.0
5960,2.0,2001-12-31,103,1.0,3.0,77.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5757575757575758,33.0,21.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
5746,64.0,2001-10-15,130,0.0,3.0,0.0,1.0,0.6666666666666666,0.5714285714285714,28.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5757575757575758,33.0,21.0,0.0,0.0,0.43478260869565216,23.0,119.0,0.0,0.0,0.35,20.0,1.0,0.0
5736,64.0,2001-10-15,130,0.0,3.0,14.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5757575757575758,33.0,21.0,0.0,0.0,0.43478260869565216,23.0,119.0,0.0,0.0,0.35,20.0,308.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0
