,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
13011,31.0,2004-06-07,368,1.0,2.0,251.0,0.0,0.0,0.14285714285714285,14.0,112.0,0.0,0.0,0.38095238095238093,21.0,148.0,0.0,0.25,0.4358974358974359,39.0,14.0,0.0,0.0,0.29411764705882354,17.0,140.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
11305,58.0,2003-09-30,255,0.0,1.0,112.0,0.0,0.0,0.38095238095238093,21.0,148.0,0.0,0.25,0.4358974358974359,39.0,14.0,0.0,0.0,0.29411764705882354,17.0,140.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.6,30.0,0.0,0.0
10161,32.0,2003-06-10,219,1.0,2.0,148.0,0.0,0.25,0.4358974358974359,39.0,14.0,0.0,0.0,0.29411764705882354,17.0,140.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.6,30.0,63.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
8940,6.0,2003-01-13,213,1.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,140.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.6,30.0,63.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
8842,3.0,2002-12-30,229,1.0,3.0,140.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.6,30.0,63.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.5909090909090909,22.0,231.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
8023,48.0,2002-08-12,259,1.0,3.0,0.0,1.0,0.6666666666666666,0.6,30.0,63.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.5909090909090909,22.0,231.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
8008,48.0,2002-08-12,259,1.0,3.0,63.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.5909090909090909,22.0,231.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,49.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0
7312,32.0,2002-06-10,206,1.0,2.0,0.0,1.0,1.0,0.5909090909090909,22.0,231.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,49.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
7305,32.0,2002-06-10,206,1.0,2.0,231.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,49.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
5811,66.0,2001-10-22,63,0.0,3.0,7.0,0.0,0.0,0.3333333333333333,18.0,49.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
5738,64.0,2001-10-15,63,0.0,3.0,49.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,0.0
5265,53.0,2001-08-27,64,1.0,3.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.35,20.0,0.0,0.0
5249,52.0,2001-08-20,67,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.35,20.0,35.0,0.0,0.4,0.5,50.0,1.0,0.0
5245,52.0,2001-08-20,67,1.0,3.0,7.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.35,20.0,35.0,0.0,0.4,0.5,50.0,0.0,1.0,0.6,0.5777777777777777,45.0,0.0,1.0
5186,51.0,2001-08-13,52,1.0,3.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.35,20.0,35.0,0.0,0.4,0.5,50.0,0.0,1.0,0.6,0.5777777777777777,45.0,0.0,1.0,0.75,0.5853658536585366,41.0,0.0,0.0
5086,49.0,2001-08-06,52,1.0,3.0,7.0,0.0,0.0,0.35,20.0,35.0,0.0,0.4,0.5,50.0,0.0,1.0,0.6,0.5777777777777777,45.0,0.0,1.0,0.75,0.5853658536585366,41.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
4997,48.0,2001-07-30,53,1.0,3.0,35.0,0.0,0.4,0.5,50.0,0.0,1.0,0.6,0.5777777777777777,45.0,0.0,1.0,0.75,0.5853658536585366,41.0,7.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.44,25.0,0.0,0.0
4667,38.0,2001-06-25,46,1.0,2.0,0.0,1.0,0.6,0.5777777777777777,45.0,0.0,1.0,0.75,0.5853658536585366,41.0,7.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5384615384615384,26.0,2.0,0.0
4642,38.0,2001-06-25,46,1.0,2.0,0.0,1.0,0.75,0.5853658536585366,41.0,7.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.25,0.42857142857142855,42.0,1.0,1.0
4601,38.0,2001-06-25,46,1.0,2.0,7.0,0.0,0.0,0.25,16.0,7.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.25,0.42857142857142855,42.0,14.0,0.0,0.0,0.4,20.0,0.0,1.0
4498,36.0,2001-06-18,46,1.0,2.0,7.0,0.0,0.0,0.44,25.0,0.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.25,0.42857142857142855,42.0,14.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
4429,34.0,2001-06-11,28,1.0,2.0,0.0,1.0,1.0,0.5384615384615384,26.0,14.0,0.0,0.25,0.42857142857142855,42.0,14.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.2,15.0,1.0,0.0
4422,34.0,2001-06-11,28,1.0,2.0,14.0,0.0,0.25,0.42857142857142855,42.0,14.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.2,15.0,28.0,0.0,0.0,0.25,16.0,0.0,1.0
4293,33.0,2001-05-28,29,1.0,0.0,14.0,0.0,0.0,0.4,20.0,7.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.2,15.0,28.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
4205,31.0,2001-05-14,29,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.2,15.0,28.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.4,20.0,0.0,0.0
4152,30.0,2001-05-07,29,1.0,0.0,21.0,0.0,0.0,0.2,15.0,28.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.35,20.0,0.0,0.0
3907,24.0,2001-04-16,29,1.0,0.0,28.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.35,20.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,0.0
3791,21.0,2001-03-19,30,1.0,3.0,0.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.35,20.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,21.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
3785,21.0,2001-03-19,30,1.0,3.0,7.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.35,20.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,21.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
3690,20.0,2001-03-12,32,1.0,3.0,14.0,0.0,0.0,0.35,20.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,21.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6,0.5681818181818182,44.0,0.0,0.0
3553,16.0,2001-02-26,32,1.0,3.0,7.0,0.0,0.3333333333333333,0.4857142857142857,35.0,21.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6,0.5681818181818182,44.0,0.0,1.0,0.6,0.5365853658536586,41.0,0.0,0.0
3490,14.0,2001-02-19,31,0.0,3.0,21.0,0.0,0.0,0.4090909090909091,22.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6,0.5681818181818182,44.0,0.0,1.0,0.6,0.5365853658536586,41.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
3287,8.0,2001-01-29,32,0.0,1.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,0.6,0.5681818181818182,44.0,0.0,1.0,0.6,0.5365853658536586,41.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
3214,6.0,2001-01-15,39,1.0,3.0,0.0,1.0,0.6,0.5681818181818182,44.0,0.0,1.0,0.6,0.5365853658536586,41.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.43478260869565216,23.0,49.0,0.0,0.3333333333333333,0.48484848484848486,33.0,2.0,0.0
3203,6.0,2001-01-15,39,1.0,3.0,0.0,1.0,0.6,0.5365853658536586,41.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.43478260869565216,23.0,49.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,0.6666666666666666,0.5151515151515151,33.0,1.0,1.0
3163,6.0,2001-01-15,39,1.0,3.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.43478260869565216,23.0,49.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,0.6666666666666666,0.5151515151515151,33.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
3099,5.0,2001-01-08,38,1.0,3.0,7.0,0.0,0.0,0.43478260869565216,23.0,49.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,0.6666666666666666,0.5151515151515151,33.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,0.0,0.0
3033,3.0,2001-01-01,38,1.0,3.0,49.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,0.6666666666666666,0.5151515151515151,33.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
2881,66.0,2000-11-13,44,0.0,1.0,0.0,1.0,0.6666666666666666,0.5151515151515151,33.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,3.0,0.0
2876,66.0,2000-11-13,44,0.0,1.0,0.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.0,0.35,20.0,2.0,1.0
2866,66.0,2000-11-13,44,0.0,1.0,0.0,1.0,1.0,0.8,15.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,1.0,1.0
2851,66.0,2000-11-13,44,0.0,1.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,1.0,0.6666666666666666,0.5,38.0,0.0,1.0
2830,65.0,2000-11-06,43,0.0,3.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,1.0,0.6666666666666666,0.5,38.0,0.0,1.0,1.0,0.8,15.0,1.0,0.0
2815,65.0,2000-11-06,43,0.0,3.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,1.0,0.6666666666666666,0.5,38.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,1.0
2729,62.0,2000-10-23,56,0.0,1.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,1.0,0.6666666666666666,0.5,38.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,4.0,0.0
2728,62.0,2000-10-23,56,0.0,1.0,0.0,1.0,0.6666666666666666,0.5,38.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,3.0,1.0
2724,62.0,2000-10-23,56,0.0,1.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.25,16.0,2.0,1.0
2718,62.0,2000-10-23,56,0.0,1.0,0.0,1.0,0.6666666666666666,0.5806451612903226,31.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.40625,32.0,1.0,1.0
2710,62.0,2000-10-23,56,0.0,1.0,14.0,0.0,0.3333333333333333,0.41379310344827586,29.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.40625,32.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0
2559,57.0,2000-10-09,60,1.0,3.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,7.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.40625,32.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.25,16.0,1.0,0.0
2535,57.0,2000-10-09,60,1.0,3.0,7.0,0.0,0.0,0.25,16.0,35.0,0.0,0.0,0.40625,32.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.52,25.0,0.0,1.0
2499,56.0,2000-10-02,61,1.0,3.0,35.0,0.0,0.0,0.40625,32.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.52,25.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,0.0
