,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46115,42.0,2016-07-12,315,1.0,2.0,259.0,0.0,0.3333333333333333,0.46875,32.0,27.0,0.0,0.0,0.25,16.0,363.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,5.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
44318,64.0,2015-10-27,167,0.0,3.0,27.0,0.0,0.0,0.25,16.0,363.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,0.0
44037,55.0,2015-09-30,159,0.0,3.0,363.0,0.0,0.0,0.43478260869565216,23.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
41501,56.0,2014-10-02,142,1.0,3.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5,32.0,1.0,0.0
41494,56.0,2014-09-30,142,1.0,3.0,5.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5,32.0,62.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
41414,53.0,2014-09-25,148,0.0,3.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,6.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5,32.0,62.0,0.0,0.3333333333333333,0.46875,32.0,9.0,0.0,0.0,0.35,20.0,1.0,0.0
41406,53.0,2014-09-24,148,0.0,3.0,6.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,0.6666666666666666,0.5,32.0,62.0,0.0,0.3333333333333333,0.46875,32.0,9.0,0.0,0.0,0.35,20.0,13.0,0.0,0.25,0.3684210526315789,38.0,0.0,1.0
41387,52.0,2014-09-18,136,0.0,3.0,2.0,1.0,0.6666666666666666,0.5,32.0,62.0,0.0,0.3333333333333333,0.46875,32.0,9.0,0.0,0.0,0.35,20.0,13.0,0.0,0.25,0.3684210526315789,38.0,15.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
41371,52.0,2014-09-16,136,0.0,3.0,62.0,0.0,0.3333333333333333,0.46875,32.0,9.0,0.0,0.0,0.35,20.0,13.0,0.0,0.25,0.3684210526315789,38.0,15.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.45454545454545453,55.0,0.0,1.0
40867,41.0,2014-07-16,144,1.0,0.0,9.0,0.0,0.0,0.35,20.0,13.0,0.0,0.25,0.3684210526315789,38.0,15.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.4,0.45454545454545453,55.0,5.0,0.0,0.0,0.4166666666666667,24.0,0.0,0.0
