,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
5554,59.0,2001-09-24,140,1.0,0.0,28.0,0.0,0.0,0.21739130434782608,23.0,35.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0,1.0,0.59375,32.0,0.0,0.0
5289,53.0,2001-08-27,116,1.0,3.0,35.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0,1.0,0.59375,32.0,56.0,0.0,0.0,0.4166666666666667,24.0,0.0,0.0
4898,45.0,2001-07-23,107,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0,1.0,0.59375,32.0,56.0,0.0,0.0,0.4166666666666667,24.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
4866,44.0,2001-07-16,105,1.0,0.0,21.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0,1.0,0.59375,32.0,56.0,0.0,0.0,0.4166666666666667,24.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
4627,38.0,2001-06-25,99,1.0,2.0,0.0,1.0,1.0,0.59375,32.0,56.0,0.0,0.0,0.4166666666666667,24.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.07692307692307693,13.0,1.0,0.0
4602,38.0,2001-06-25,99,1.0,2.0,56.0,0.0,0.0,0.4166666666666667,24.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.07692307692307693,13.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0
4069,28.0,2001-04-30,103,1.0,0.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.07692307692307693,13.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
4014,26.0,2001-04-23,105,1.0,0.0,0.0,1.0,1.0,0.6190476190476191,21.0,14.0,0.0,0.0,0.07692307692307693,13.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,35.0,0.0,0.0,0.3157894736842105,19.0,1.0,0.0
3996,26.0,2001-04-23,105,1.0,0.0,14.0,0.0,0.0,0.07692307692307693,13.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,35.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,0.0,1.0
3849,22.0,2001-04-09,116,1.0,0.0,0.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0,0.6666666666666666,0.5172413793103449,29.0,35.0,0.0,0.0,0.3157894736842105,19.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,7.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
