,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
17423,67.0,2005-11-18,10,0.0,3.0,2.0,0.0,0.3333333333333333,0.36,25.0,2.0,0.0,0.0,0.38095238095238093,21.0,13.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.46875,32.0,5.0,0.0,0.3333333333333333,0.4,30.0,2.0,0.0
17419,67.0,2005-11-16,10,0.0,3.0,2.0,0.0,0.0,0.38095238095238093,21.0,13.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.46875,32.0,5.0,0.0,0.3333333333333333,0.4,30.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,0.0
17415,67.0,2005-11-14,10,0.0,3.0,13.0,0.0,0.0,0.4090909090909091,22.0,7.0,0.0,0.3333333333333333,0.46875,32.0,5.0,0.0,0.3333333333333333,0.4,30.0,1.0,1.0,1.0,0.5384615384615384,26.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,0.0,0.0
17383,66.0,2005-11-01,9,0.0,1.0,7.0,0.0,0.3333333333333333,0.46875,32.0,5.0,0.0,0.3333333333333333,0.4,30.0,1.0,1.0,1.0,0.5384615384615384,26.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
17307,64.0,2005-10-25,9,0.0,1.0,5.0,0.0,0.3333333333333333,0.4,30.0,1.0,1.0,1.0,0.5384615384615384,26.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.07692307692307693,13.0,0.0,0.0
17262,62.0,2005-10-20,10,0.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,0.0
17252,62.0,2005-10-19,10,0.0,3.0,13.0,0.0,0.3333333333333333,0.42424242424242425,33.0,1.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,0.6666666666666666,0.5,36.0,0.0,1.0
17120,58.0,2005-10-06,10,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,4.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,0.6666666666666666,0.5,36.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,0.0
17105,58.0,2005-10-05,10,1.0,3.0,4.0,0.0,0.0,0.07692307692307693,13.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,0.6666666666666666,0.5,36.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,12.0,0.0,0.3333333333333333,0.3333333333333333,24.0,0.0,1.0
17021,55.0,2005-10-01,10,0.0,3.0,1.0,1.0,0.6666666666666666,0.5333333333333333,30.0,1.0,1.0,0.6666666666666666,0.5,36.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,12.0,0.0,0.3333333333333333,0.3333333333333333,24.0,2.0,1.0,1.0,0.6666666666666666,18.0,3.0,0.0
17017,55.0,2005-09-30,10,0.0,3.0,1.0,1.0,0.6666666666666666,0.5,36.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,12.0,0.0,0.3333333333333333,0.3333333333333333,24.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0
17015,55.0,2005-09-29,10,0.0,3.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,12.0,0.0,0.3333333333333333,0.3333333333333333,24.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.4,0.4375,48.0,1.0,1.0
17005,55.0,2005-09-28,10,0.0,3.0,12.0,0.0,0.3333333333333333,0.3333333333333333,24.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.4,0.4375,48.0,3.0,1.0,0.75,0.5952380952380952,42.0,0.0,1.0
16954,53.0,2005-09-16,10,1.0,0.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.4,0.4375,48.0,3.0,1.0,0.75,0.5952380952380952,42.0,13.0,0.0,0.0,0.35,20.0,2.0,0.0
16948,53.0,2005-09-14,10,1.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.4,0.4375,48.0,3.0,1.0,0.75,0.5952380952380952,42.0,13.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0
16940,53.0,2005-09-13,10,1.0,0.0,12.0,0.0,0.4,0.4375,48.0,3.0,1.0,0.75,0.5952380952380952,42.0,13.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
16843,51.0,2005-09-01,10,1.0,3.0,3.0,1.0,0.75,0.5952380952380952,42.0,13.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0
16780,51.0,2005-08-29,10,1.0,3.0,13.0,0.0,0.0,0.35,20.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0
16681,49.0,2005-08-16,9,1.0,3.0,4.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
16656,48.0,2005-08-12,11,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0
16653,48.0,2005-08-11,11,1.0,3.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0
16644,48.0,2005-08-11,11,1.0,3.0,2.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0
16613,48.0,2005-08-09,11,1.0,3.0,7.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
16530,46.0,2005-08-02,11,1.0,0.0,5.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
16447,43.0,2005-07-28,10,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.75,16.0,30.0,0.0,0.0,0.25,24.0,1.0,0.0
16442,43.0,2005-07-27,10,1.0,0.0,5.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.75,16.0,30.0,0.0,0.0,0.25,24.0,15.0,0.0,0.25,0.3902439024390244,41.0,0.0,1.0
16314,40.0,2005-07-22,12,1.0,0.0,1.0,1.0,1.0,0.75,16.0,1.0,1.0,1.0,0.75,16.0,30.0,0.0,0.0,0.25,24.0,15.0,0.0,0.25,0.3902439024390244,41.0,2.0,1.0,0.6,0.5102040816326531,49.0,2.0,0.0
