,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46511,52.0,2016-08-30,30,1.0,3.0,5.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,8.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.0,0.38461538461538464,13.0,0.0,0.0
46463,51.0,2016-08-25,31,1.0,3.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,8.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.0,0.38461538461538464,13.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
46450,51.0,2016-08-23,31,1.0,3.0,8.0,0.0,0.3333333333333333,0.46875,32.0,4.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.0,0.38461538461538464,13.0,1.0,1.0,1.0,0.5652173913043478,23.0,3.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,1.0
46373,50.0,2016-08-15,29,1.0,3.0,4.0,0.0,0.0,0.4090909090909091,22.0,15.0,0.0,0.0,0.38461538461538464,13.0,1.0,1.0,1.0,0.5652173913043478,23.0,3.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
46356,49.0,2016-08-11,29,1.0,3.0,15.0,0.0,0.0,0.38461538461538464,13.0,1.0,1.0,1.0,0.5652173913043478,23.0,3.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
46292,47.0,2016-07-27,29,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,3.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,14.0,0.0,0.25,0.45454545454545453,44.0,1.0,0.0
46272,47.0,2016-07-26,29,1.0,3.0,3.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,14.0,0.0,0.25,0.45454545454545453,44.0,2.0,1.0,1.0,0.5757575757575758,33.0,0.0,1.0
46255,46.0,2016-07-23,29,1.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,14.0,0.0,0.25,0.45454545454545453,44.0,2.0,1.0,1.0,0.5757575757575758,33.0,2.0,1.0,0.75,0.5476190476190477,42.0,2.0,0.0
46251,46.0,2016-07-22,29,1.0,3.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,14.0,0.0,0.25,0.45454545454545453,44.0,2.0,1.0,1.0,0.5757575757575758,33.0,2.0,1.0,0.75,0.5476190476190477,42.0,2.0,1.0,1.0,0.6666666666666666,27.0,1.0,1.0
46231,46.0,2016-07-20,29,1.0,3.0,14.0,0.0,0.25,0.45454545454545453,44.0,2.0,1.0,1.0,0.5757575757575758,33.0,2.0,1.0,0.75,0.5476190476190477,42.0,2.0,1.0,1.0,0.6666666666666666,27.0,3.0,1.0,0.6,0.5454545454545454,66.0,0.0,1.0
