,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
5918,69.0,2001-11-12,5,0.0,3.0,0.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.25,0.4,40.0,0.0,1.0,1.0,0.6551724137931034,29.0,0.0,1.0,1.0,0.7037037037037037,27.0,2.0,0.0
5915,69.0,2001-11-12,5,0.0,3.0,0.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.25,0.4,40.0,0.0,1.0,1.0,0.6551724137931034,29.0,0.0,1.0,1.0,0.7037037037037037,27.0,0.0,1.0,1.0,0.5882352941176471,34.0,1.0,0.0
5911,69.0,2001-11-12,5,0.0,3.0,77.0,0.0,0.25,0.4,40.0,0.0,1.0,1.0,0.6551724137931034,29.0,0.0,1.0,1.0,0.7037037037037037,27.0,0.0,1.0,1.0,0.5882352941176471,34.0,14.0,1.0,0.0,0.6666666666666666,6.0,0.0,0.0
5381,53.0,2001-08-27,6,1.0,3.0,0.0,1.0,1.0,0.6551724137931034,29.0,0.0,1.0,1.0,0.7037037037037037,27.0,0.0,1.0,1.0,0.5882352941176471,34.0,14.0,1.0,0.0,0.6666666666666666,6.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,3.0,0.0
5369,53.0,2001-08-27,6,1.0,3.0,0.0,1.0,1.0,0.7037037037037037,27.0,0.0,1.0,1.0,0.5882352941176471,34.0,14.0,1.0,0.0,0.6666666666666666,6.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0
5349,53.0,2001-08-27,6,1.0,3.0,0.0,1.0,1.0,0.5882352941176471,34.0,14.0,1.0,0.0,0.6666666666666666,6.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,1.0,0.6,20.0,1.0,1.0
5307,53.0,2001-08-27,6,1.0,3.0,14.0,1.0,0.0,0.6666666666666666,6.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,1.0,0.6,20.0,0.0,1.0,1.0,0.8571428571428571,14.0,0.0,1.0
5176,50.0,2001-08-13,6,1.0,3.0,0.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,1.0,0.6,20.0,0.0,1.0,1.0,0.8571428571428571,14.0,7.0,0.0,0.0,0.25,16.0,4.0,1.0
5175,50.0,2001-08-13,6,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0,1.0,0.6,20.0,0.0,1.0,1.0,0.8571428571428571,14.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0
5172,50.0,2001-08-13,6,1.0,3.0,0.0,1.0,1.0,0.6,20.0,0.0,1.0,1.0,0.8571428571428571,14.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,0.6666666666666666,0.5142857142857142,35.0,2.0,1.0
5168,50.0,2001-08-13,6,1.0,3.0,0.0,1.0,1.0,0.8571428571428571,14.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0
5158,50.0,2001-08-13,6,1.0,3.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0
5121,49.0,2001-08-06,7,1.0,3.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0
5120,49.0,2001-08-06,7,1.0,3.0,0.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.3333333333333333,0.5,30.0,4.0,1.0
5118,49.0,2001-08-06,7,1.0,3.0,0.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.3333333333333333,0.5,30.0,0.0,1.0,1.0,0.75,16.0,3.0,1.0
5113,49.0,2001-08-06,7,1.0,3.0,0.0,1.0,1.0,0.8,15.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.3333333333333333,0.5,30.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0,0.6666666666666666,0.5666666666666667,30.0,2.0,1.0
5105,49.0,2001-08-06,7,1.0,3.0,0.0,1.0,1.0,0.6190476190476191,21.0,7.0,0.0,0.3333333333333333,0.5,30.0,0.0,1.0,1.0,0.75,16.0,0.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
