,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46504,52.0,2016-08-30,104,1.0,3.0,8.0,0.0,0.0,0.44,25.0,25.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
46432,51.0,2016-08-22,105,1.0,3.0,25.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
46300,47.0,2016-07-28,118,1.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.42424242424242425,33.0,2.0,0.0
46288,47.0,2016-07-27,118,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.42424242424242425,33.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,1.0,1.0
46278,47.0,2016-07-26,118,1.0,3.0,13.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.42424242424242425,33.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,14.0,0.0,0.0,0.4,20.0,0.0,1.0
46122,42.0,2016-07-13,69,1.0,2.0,2.0,1.0,1.0,0.7058823529411765,17.0,13.0,0.0,0.0,0.42424242424242425,33.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,14.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.38461538461538464,39.0,1.0,0.0
46106,42.0,2016-07-11,69,1.0,2.0,13.0,0.0,0.0,0.42424242424242425,33.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,14.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.38461538461538464,39.0,6.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
45965,39.0,2016-06-28,72,1.0,2.0,8.0,0.0,0.3333333333333333,0.4411764705882353,34.0,14.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.38461538461538464,39.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
45882,38.0,2016-06-20,74,1.0,2.0,14.0,0.0,0.0,0.4,20.0,13.0,0.0,0.25,0.38461538461538464,39.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.53125,32.0,28.0,0.0,0.0,0.25,16.0,0.0,0.0
45784,35.0,2016-06-06,72,1.0,2.0,13.0,0.0,0.25,0.38461538461538464,39.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.53125,32.0,28.0,0.0,0.0,0.25,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0
45683,33.0,2016-05-24,70,1.0,0.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.53125,32.0,28.0,0.0,0.0,0.25,16.0,25.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.56,25.0,0.0,0.0
45592,31.0,2016-05-18,73,1.0,0.0,1.0,1.0,0.6666666666666666,0.53125,32.0,28.0,0.0,0.0,0.25,16.0,25.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.56,25.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
45585,31.0,2016-05-17,73,1.0,0.0,28.0,0.0,0.0,0.25,16.0,25.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.56,25.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,0.0,1.0
45322,24.0,2016-04-19,56,1.0,0.0,25.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.56,25.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,16.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
45139,20.0,2016-03-25,61,1.0,3.0,2.0,1.0,1.0,0.56,25.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,16.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
45109,20.0,2016-03-23,61,1.0,3.0,11.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5384615384615384,26.0,16.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
45051,19.0,2016-03-12,63,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,16.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0
45025,19.0,2016-03-11,63,1.0,3.0,16.0,0.0,0.0,0.38095238095238093,21.0,3.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,1.0
44935,16.0,2016-02-24,60,1.0,3.0,3.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
44864,13.0,2016-02-21,89,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0
44862,13.0,2016-02-20,89,1.0,3.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,3.0,1.0
44859,13.0,2016-02-19,89,1.0,3.0,2.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,2.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0
44852,13.0,2016-02-17,89,1.0,3.0,1.0,1.0,1.0,0.65,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,2.0,1.0,1.0,0.5652173913043478,23.0,12.0,0.0,0.4,0.4444444444444444,54.0,1.0,1.0
44845,13.0,2016-02-16,89,1.0,3.0,8.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,2.0,1.0,1.0,0.5652173913043478,23.0,12.0,0.0,0.4,0.4444444444444444,54.0,2.0,1.0,0.6666666666666666,0.5789473684210527,38.0,0.0,1.0
44776,11.0,2016-02-08,88,0.0,3.0,4.0,0.0,0.3333333333333333,0.4411764705882353,34.0,2.0,1.0,1.0,0.5652173913043478,23.0,12.0,0.0,0.4,0.4444444444444444,54.0,2.0,1.0,0.6666666666666666,0.5789473684210527,38.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
44712,8.0,2016-02-04,81,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,12.0,0.0,0.4,0.4444444444444444,54.0,2.0,1.0,0.6666666666666666,0.5789473684210527,38.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,77.0,0.0,0.3333333333333333,0.4,30.0,1.0,0.0
44702,8.0,2016-02-02,81,1.0,0.0,12.0,0.0,0.4,0.4444444444444444,54.0,2.0,1.0,0.6666666666666666,0.5789473684210527,38.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,77.0,0.0,0.3333333333333333,0.4,30.0,20.0,0.0,0.3333333333333333,0.4838709677419355,31.0,0.0,1.0
44624,6.0,2016-01-21,93,1.0,3.0,2.0,1.0,0.6666666666666666,0.5789473684210527,38.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,77.0,0.0,0.3333333333333333,0.4,30.0,20.0,0.0,0.3333333333333333,0.4838709677419355,31.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,1.0,0.0
44581,6.0,2016-01-19,93,1.0,3.0,14.0,0.0,0.3333333333333333,0.45454545454545453,33.0,77.0,0.0,0.3333333333333333,0.4,30.0,20.0,0.0,0.3333333333333333,0.4838709677419355,31.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,20.0,0.0,0.25,0.4634146341463415,41.0,0.0,1.0
44434,2.0,2016-01-05,89,1.0,3.0,77.0,0.0,0.3333333333333333,0.4,30.0,20.0,0.0,0.3333333333333333,0.4838709677419355,31.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,20.0,0.0,0.25,0.4634146341463415,41.0,1.0,1.0,1.0,0.6333333333333333,30.0,0.0,0.0
44256,62.0,2015-10-20,98,0.0,3.0,20.0,0.0,0.3333333333333333,0.4838709677419355,31.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,20.0,0.0,0.25,0.4634146341463415,41.0,1.0,1.0,1.0,0.6333333333333333,30.0,15.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
44036,55.0,2015-09-30,93,0.0,3.0,7.0,0.0,0.3333333333333333,0.4444444444444444,27.0,20.0,0.0,0.25,0.4634146341463415,41.0,1.0,1.0,1.0,0.6333333333333333,30.0,15.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
43980,53.0,2015-09-23,86,0.0,3.0,20.0,0.0,0.25,0.4634146341463415,41.0,1.0,1.0,1.0,0.6333333333333333,30.0,15.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
43927,52.0,2015-09-03,88,1.0,3.0,1.0,1.0,1.0,0.6333333333333333,30.0,15.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,1.0,0.6666666666666666,0.5,38.0,1.0,0.0
43908,52.0,2015-09-02,88,1.0,3.0,15.0,0.0,0.0,0.3333333333333333,18.0,26.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,1.0,0.6666666666666666,0.5,38.0,1.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
43765,50.0,2015-08-18,87,1.0,3.0,26.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,1.0,0.6666666666666666,0.5,38.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,0.0,0.0
43487,42.0,2015-07-23,86,1.0,0.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,1.0,0.6666666666666666,0.5,38.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
43482,42.0,2015-07-22,86,1.0,0.0,3.0,1.0,0.6666666666666666,0.5,38.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,1.0
43447,40.0,2015-07-19,161,1.0,2.0,1.0,1.0,1.0,0.5652173913043478,23.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,287.0,0.0,0.3333333333333333,0.47058823529411764,34.0,4.0,1.0
43445,40.0,2015-07-18,161,1.0,2.0,2.0,1.0,0.6666666666666666,0.47058823529411764,34.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,287.0,0.0,0.3333333333333333,0.47058823529411764,34.0,6.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0
43441,40.0,2015-07-16,161,1.0,2.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,287.0,0.0,0.3333333333333333,0.47058823529411764,34.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,2.0,1.0
43433,40.0,2015-07-15,161,1.0,2.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,287.0,0.0,0.3333333333333333,0.47058823529411764,34.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,54.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0
43430,40.0,2015-07-14,161,1.0,2.0,287.0,0.0,0.3333333333333333,0.47058823529411764,34.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,54.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,1.0
41493,56.0,2014-09-30,147,1.0,3.0,6.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,54.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,0.6666666666666666,0.5428571428571428,35.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
41410,53.0,2014-09-24,150,0.0,3.0,1.0,1.0,0.6666666666666666,0.5483870967741935,31.0,54.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,0.6666666666666666,0.5428571428571428,35.0,6.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.35,20.0,1.0,0.0
41399,53.0,2014-09-23,150,0.0,3.0,54.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,0.6666666666666666,0.5428571428571428,35.0,6.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.65,20.0,0.0,1.0
41067,47.0,2014-07-31,152,1.0,3.0,3.0,1.0,0.6666666666666666,0.5428571428571428,35.0,6.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.65,20.0,122.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
41042,47.0,2014-07-28,152,1.0,3.0,6.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.65,20.0,122.0,0.0,0.0,0.4090909090909091,22.0,24.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
40934,43.0,2014-07-22,157,1.0,3.0,13.0,0.0,0.0,0.35,20.0,2.0,1.0,1.0,0.65,20.0,122.0,0.0,0.0,0.4090909090909091,22.0,24.0,0.0,0.0,0.3684210526315789,19.0,139.0,0.0,0.0,0.2777777777777778,18.0,0.0,0.0
40817,39.0,2014-07-09,157,1.0,2.0,2.0,1.0,1.0,0.65,20.0,122.0,0.0,0.0,0.4090909090909091,22.0,24.0,0.0,0.0,0.3684210526315789,19.0,139.0,0.0,0.0,0.2777777777777778,18.0,26.0,0.0,0.4,0.4583333333333333,48.0,1.0,0.0
40803,39.0,2014-07-07,157,1.0,2.0,122.0,0.0,0.0,0.4090909090909091,22.0,24.0,0.0,0.0,0.3684210526315789,19.0,139.0,0.0,0.0,0.2777777777777778,18.0,26.0,0.0,0.4,0.4583333333333333,48.0,1.0,1.0,1.0,0.782608695652174,23.0,0.0,1.0
39811,19.0,2014-03-07,141,1.0,3.0,24.0,0.0,0.0,0.3684210526315789,19.0,139.0,0.0,0.0,0.2777777777777778,18.0,26.0,0.0,0.4,0.4583333333333333,48.0,1.0,1.0,1.0,0.782608695652174,23.0,30.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
39555,11.0,2014-02-11,150,0.0,3.0,139.0,0.0,0.0,0.2777777777777778,18.0,26.0,0.0,0.4,0.4583333333333333,48.0,1.0,1.0,1.0,0.782608695652174,23.0,30.0,0.0,0.3333333333333333,0.4074074074074074,27.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
38832,55.0,2013-09-25,126,0.0,3.0,26.0,0.0,0.4,0.4583333333333333,48.0,1.0,1.0,1.0,0.782608695652174,23.0,30.0,0.0,0.3333333333333333,0.4074074074074074,27.0,7.0,0.0,0.0,0.3684210526315789,19.0,13.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,0.0
