,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
40009,22.0,2014-04-08,165,1.0,0.0,55.0,0.0,0.0,0.35,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,298.0,0.0,0.3333333333333333,0.5333333333333333,30.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,0.0
39533,10.0,2014-02-12,165,1.0,0.0,8.0,0.0,0.0,0.3333333333333333,18.0,298.0,0.0,0.3333333333333333,0.5333333333333333,30.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6842105263157895,19.0,43.0,0.0,0.3333333333333333,0.4666666666666667,30.0,0.0,0.0
39473,8.0,2014-02-04,173,1.0,0.0,298.0,0.0,0.3333333333333333,0.5333333333333333,30.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6842105263157895,19.0,43.0,0.0,0.3333333333333333,0.4666666666666667,30.0,13.0,0.0,0.0,0.46153846153846156,13.0,0.0,0.0
37392,22.0,2013-04-12,117,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6842105263157895,19.0,43.0,0.0,0.3333333333333333,0.4666666666666667,30.0,13.0,0.0,0.0,0.46153846153846156,13.0,8.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
37386,22.0,2013-04-11,117,1.0,0.0,1.0,1.0,1.0,0.6842105263157895,19.0,43.0,0.0,0.3333333333333333,0.4666666666666667,30.0,13.0,0.0,0.0,0.46153846153846156,13.0,8.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.25,0.3125,32.0,1.0,1.0
37382,22.0,2013-04-10,117,1.0,0.0,43.0,0.0,0.3333333333333333,0.4666666666666667,30.0,13.0,0.0,0.0,0.46153846153846156,13.0,8.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.25,0.3125,32.0,14.0,0.0,0.0,0.2,15.0,0.0,1.0
37065,16.0,2013-02-26,96,1.0,0.0,13.0,0.0,0.0,0.46153846153846156,13.0,8.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.25,0.3125,32.0,14.0,0.0,0.0,0.2,15.0,124.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
36955,12.0,2013-02-13,52,0.0,0.0,8.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.25,0.3125,32.0,14.0,0.0,0.0,0.2,15.0,124.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.75,0.5833333333333334,36.0,0.0,0.0
36837,8.0,2013-02-05,91,1.0,0.0,21.0,0.0,0.25,0.3125,32.0,14.0,0.0,0.0,0.2,15.0,124.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.75,0.5833333333333334,36.0,26.0,0.0,0.0,0.25,16.0,0.0,0.0
36737,6.0,2013-01-15,91,1.0,3.0,14.0,0.0,0.0,0.2,15.0,124.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.75,0.5833333333333334,36.0,26.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
36608,3.0,2013-01-01,50,1.0,3.0,124.0,0.0,0.0,0.35714285714285715,28.0,2.0,1.0,0.75,0.5833333333333334,36.0,26.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
36055,51.0,2012-08-30,50,1.0,3.0,2.0,1.0,0.75,0.5833333333333334,36.0,26.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.46875,32.0,8.0,0.0,0.3333333333333333,0.5,26.0,1.0,0.0
36003,51.0,2012-08-28,50,1.0,3.0,26.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.46875,32.0,8.0,0.0,0.3333333333333333,0.5,26.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
35819,47.0,2012-08-02,97,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.46875,32.0,8.0,0.0,0.3333333333333333,0.5,26.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.4473684210526316,38.0,1.0,0.0
35806,47.0,2012-07-31,97,1.0,3.0,7.0,0.0,0.3333333333333333,0.46875,32.0,8.0,0.0,0.3333333333333333,0.5,26.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.4473684210526316,38.0,8.0,0.0,0.0,0.4,20.0,0.0,1.0
35753,45.0,2012-07-24,90,1.0,0.0,8.0,0.0,0.3333333333333333,0.5,26.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.4473684210526316,38.0,8.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.44,25.0,0.0,0.0
35716,44.0,2012-07-16,46,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,13.0,0.0,0.0,0.4473684210526316,38.0,8.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.44,25.0,15.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
35607,40.0,2012-07-09,46,1.0,0.0,13.0,0.0,0.0,0.4473684210526316,38.0,8.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.44,25.0,15.0,0.0,0.0,0.3076923076923077,26.0,35.0,0.0,0.3333333333333333,0.4166666666666667,24.0,0.0,0.0
35457,37.0,2012-06-26,82,1.0,2.0,8.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.44,25.0,15.0,0.0,0.0,0.3076923076923077,26.0,35.0,0.0,0.3333333333333333,0.4166666666666667,24.0,67.0,0.0,0.3333333333333333,0.5,26.0,0.0,0.0
35394,36.0,2012-06-18,80,1.0,2.0,6.0,0.0,0.0,0.44,25.0,15.0,0.0,0.0,0.3076923076923077,26.0,35.0,0.0,0.3333333333333333,0.4166666666666667,24.0,67.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,0.0,0.0
35313,34.0,2012-06-12,81,1.0,2.0,15.0,0.0,0.0,0.3076923076923077,26.0,35.0,0.0,0.3333333333333333,0.4166666666666667,24.0,67.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
35194,32.0,2012-05-28,74,1.0,0.0,35.0,0.0,0.3333333333333333,0.4166666666666667,24.0,67.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,14.0,0.0,0.0,0.3333333333333333,18.0,189.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
34865,24.0,2012-04-23,43,1.0,0.0,67.0,0.0,0.3333333333333333,0.5,26.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,14.0,0.0,0.0,0.3333333333333333,18.0,189.0,0.0,0.0,0.29411764705882354,17.0,11.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
34361,12.0,2012-02-16,128,0.0,0.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,14.0,0.0,0.0,0.3333333333333333,18.0,189.0,0.0,0.0,0.29411764705882354,17.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.6428571428571429,28.0,1.0,0.0
34350,12.0,2012-02-14,128,0.0,0.0,14.0,0.0,0.0,0.3333333333333333,18.0,189.0,0.0,0.0,0.29411764705882354,17.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.6428571428571429,28.0,22.0,0.0,0.0,0.28,25.0,0.0,1.0
34238,8.0,2012-01-31,66,1.0,0.0,189.0,0.0,0.0,0.29411764705882354,17.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.6428571428571429,28.0,22.0,0.0,0.0,0.28,25.0,27.0,0.0,0.25,0.3684210526315789,38.0,0.0,0.0
33098,44.0,2011-07-26,82,1.0,0.0,11.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.6428571428571429,28.0,22.0,0.0,0.0,0.28,25.0,27.0,0.0,0.25,0.3684210526315789,38.0,3.0,1.0,1.0,0.5757575757575758,33.0,0.0,0.0
32921,38.0,2011-07-15,142,1.0,0.0,2.0,1.0,0.6666666666666666,0.6428571428571429,28.0,22.0,0.0,0.0,0.28,25.0,27.0,0.0,0.25,0.3684210526315789,38.0,3.0,1.0,1.0,0.5757575757575758,33.0,26.0,0.0,0.3333333333333333,0.4375,32.0,1.0,0.0
32911,38.0,2011-07-13,142,1.0,0.0,22.0,0.0,0.0,0.28,25.0,27.0,0.0,0.25,0.3684210526315789,38.0,3.0,1.0,1.0,0.5757575757575758,33.0,26.0,0.0,0.3333333333333333,0.4375,32.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,0.0,1.0
32787,36.0,2011-06-21,121,1.0,2.0,27.0,0.0,0.25,0.3684210526315789,38.0,3.0,1.0,1.0,0.5757575757575758,33.0,26.0,0.0,0.3333333333333333,0.4375,32.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
32540,31.0,2011-05-25,117,1.0,0.0,3.0,1.0,1.0,0.5757575757575758,33.0,26.0,0.0,0.3333333333333333,0.4375,32.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6842105263157895,19.0,1.0,0.0
32469,31.0,2011-05-22,117,1.0,0.0,26.0,0.0,0.3333333333333333,0.4375,32.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6842105263157895,19.0,10.0,0.0,0.3333333333333333,0.3076923076923077,26.0,0.0,1.0
32251,25.0,2011-04-26,103,1.0,0.0,8.0,0.0,0.3333333333333333,0.4857142857142857,35.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6842105263157895,19.0,10.0,0.0,0.3333333333333333,0.3076923076923077,26.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,0.0,0.0
32193,24.0,2011-04-18,107,1.0,0.0,11.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6842105263157895,19.0,10.0,0.0,0.3333333333333333,0.3076923076923077,26.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,13.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
32099,21.0,2011-04-07,103,1.0,0.0,2.0,1.0,1.0,0.6842105263157895,19.0,10.0,0.0,0.3333333333333333,0.3076923076923077,26.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,13.0,0.0,0.0,0.3684210526315789,19.0,18.0,0.0,0.0,0.2777777777777778,18.0,1.0,0.0
32090,21.0,2011-04-05,103,1.0,0.0,10.0,0.0,0.3333333333333333,0.3076923076923077,26.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,13.0,0.0,0.0,0.3684210526315789,19.0,18.0,0.0,0.0,0.2777777777777778,18.0,7.0,0.0,0.0,0.35,20.0,0.0,1.0
32050,20.0,2011-03-26,111,1.0,3.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,13.0,0.0,0.0,0.3684210526315789,19.0,18.0,0.0,0.0,0.2777777777777778,18.0,7.0,0.0,0.0,0.35,20.0,5.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
32012,20.0,2011-03-24,111,1.0,3.0,13.0,0.0,0.0,0.3684210526315789,19.0,18.0,0.0,0.0,0.2777777777777778,18.0,7.0,0.0,0.0,0.35,20.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
31911,19.0,2011-03-11,76,1.0,3.0,18.0,0.0,0.0,0.2777777777777778,18.0,7.0,0.0,0.0,0.35,20.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,0.0
31801,16.0,2011-02-21,75,1.0,0.0,7.0,0.0,0.0,0.35,20.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.3333333333333333,0.4722222222222222,36.0,13.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
