,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
41023,46.0,2014-07-30,97,1.0,0.0,2.0,1.0,0.6666666666666666,0.5757575757575758,33.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.65,20.0,1.0,0.0
41013,46.0,2014-07-28,97,1.0,0.0,5.0,0.0,0.0,0.4,20.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.65,20.0,44.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0
40999,45.0,2014-07-23,95,1.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,12.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.65,20.0,44.0,0.0,0.0,0.36666666666666664,30.0,19.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,0.0
40994,45.0,2014-07-22,95,1.0,0.0,12.0,0.0,0.0,0.3157894736842105,19.0,2.0,1.0,1.0,0.65,20.0,44.0,0.0,0.0,0.36666666666666664,30.0,19.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.65,20.0,0.0,1.0
40788,38.0,2014-07-10,89,1.0,0.0,2.0,1.0,1.0,0.65,20.0,44.0,0.0,0.0,0.36666666666666664,30.0,19.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.65,20.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
40776,38.0,2014-07-08,89,1.0,0.0,44.0,0.0,0.0,0.36666666666666664,30.0,19.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.65,20.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.6923076923076923,26.0,0.0,1.0
40390,32.0,2014-05-25,115,1.0,0.0,19.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.65,20.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.6923076923076923,26.0,6.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
40237,28.0,2014-05-06,115,1.0,0.0,1.0,1.0,1.0,0.65,20.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.6923076923076923,26.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6,20.0,1.0,0.0
40224,28.0,2014-05-05,115,1.0,0.0,4.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.6923076923076923,26.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6,20.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,0.0,1.0
40174,26.0,2014-05-01,117,1.0,0.0,2.0,1.0,0.6666666666666666,0.6923076923076923,26.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6,20.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.65,20.0,1.0,0.0
40170,26.0,2014-04-29,117,1.0,0.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.6,20.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
40113,24.0,2014-04-23,103,1.0,0.0,1.0,1.0,1.0,0.6,20.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,1.0,0.0
40100,24.0,2014-04-22,103,1.0,0.0,6.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,40.0,0.0,0.3333333333333333,0.5151515151515151,33.0,0.0,1.0
40065,23.0,2014-04-16,101,1.0,0.0,2.0,1.0,1.0,0.65,20.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,40.0,0.0,0.3333333333333333,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,1.0,0.0
40039,23.0,2014-04-14,101,1.0,0.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,40.0,0.0,0.3333333333333333,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.3333333333333333,0.5,30.0,0.0,1.0
39995,21.0,2014-04-10,104,1.0,0.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,40.0,0.0,0.3333333333333333,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.3333333333333333,0.5,30.0,3.0,1.0,1.0,0.8571428571428571,14.0,1.0,0.0
39980,21.0,2014-04-08,104,1.0,0.0,40.0,0.0,0.3333333333333333,0.5151515151515151,33.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.3333333333333333,0.5,30.0,3.0,1.0,1.0,0.8571428571428571,14.0,4.0,0.0,0.0,0.2,15.0,0.0,1.0
39775,18.0,2014-02-27,86,0.0,0.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.3333333333333333,0.5,30.0,3.0,1.0,1.0,0.8571428571428571,14.0,4.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.8,15.0,1.0,0.0
39770,18.0,2014-02-25,86,0.0,0.0,4.0,0.0,0.3333333333333333,0.5,30.0,3.0,1.0,1.0,0.8571428571428571,14.0,4.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.8,15.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,1.0
39689,15.0,2014-02-21,87,1.0,0.0,3.0,1.0,1.0,0.8571428571428571,14.0,4.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.8,15.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,8.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
39673,15.0,2014-02-18,87,1.0,0.0,4.0,0.0,0.0,0.2,15.0,0.0,1.0,1.0,0.8,15.0,2.0,1.0,0.6666666666666666,0.5806451612903226,31.0,8.0,0.0,0.0,0.3684210526315789,19.0,22.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0
