,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46644,54.0,2016-09-22,6,0.0,3.0,22.0,0.0,0.25,0.4090909090909091,44.0,1.0,1.0,1.0,0.6129032258064516,31.0,9.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.6521739130434783,23.0,0.0,0.0
46540,52.0,2016-08-31,6,1.0,3.0,1.0,1.0,1.0,0.6129032258064516,31.0,9.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.6521739130434783,23.0,1.0,1.0,1.0,0.5384615384615384,26.0,1.0,0.0
46501,52.0,2016-08-30,6,1.0,3.0,9.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.6521739130434783,23.0,1.0,1.0,1.0,0.5384615384615384,26.0,18.0,0.0,0.0,0.4,20.0,0.0,1.0
46421,50.0,2016-08-21,6,1.0,3.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0,0.6666666666666666,0.6521739130434783,23.0,1.0,1.0,1.0,0.5384615384615384,26.0,18.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,3.0,0.0
46418,50.0,2016-08-19,6,1.0,3.0,1.0,1.0,0.6666666666666666,0.6521739130434783,23.0,1.0,1.0,1.0,0.5384615384615384,26.0,18.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0
46414,50.0,2016-08-18,6,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,18.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.4444444444444444,36.0,1.0,1.0
46397,50.0,2016-08-17,6,1.0,3.0,18.0,0.0,0.0,0.4,20.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.6,0.5471698113207547,53.0,0.0,1.0
46311,47.0,2016-07-30,7,1.0,3.0,2.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.6,0.5471698113207547,53.0,2.0,1.0,0.75,0.5454545454545454,44.0,2.0,0.0
46305,47.0,2016-07-28,7,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,17.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.6,0.5471698113207547,53.0,2.0,1.0,0.75,0.5454545454545454,44.0,2.0,1.0,0.6,0.5102040816326531,49.0,1.0,1.0
46298,47.0,2016-07-27,7,1.0,3.0,17.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.6,0.5471698113207547,53.0,2.0,1.0,0.75,0.5454545454545454,44.0,2.0,1.0,0.6,0.5102040816326531,49.0,2.0,1.0,1.0,0.5555555555555556,36.0,0.0,1.0
