,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38569,50.0,2013-08-19,133,1.0,3.0,53.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.6,0.5,52.0,107.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,11.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
38103,37.0,2013-06-27,156,1.0,2.0,2.0,1.0,0.6,0.5,52.0,107.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,11.0,0.0,0.0,0.38095238095238093,21.0,183.0,0.0,0.4,0.4888888888888889,45.0,1.0,0.0
38074,37.0,2013-06-25,156,1.0,2.0,107.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,11.0,0.0,0.0,0.38095238095238093,21.0,183.0,0.0,0.4,0.4888888888888889,45.0,76.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
37205,19.0,2013-03-10,166,1.0,3.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,11.0,0.0,0.0,0.38095238095238093,21.0,183.0,0.0,0.4,0.4888888888888889,45.0,76.0,0.0,0.0,0.38095238095238093,21.0,40.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,0.0
37183,19.0,2013-03-09,166,1.0,3.0,11.0,0.0,0.0,0.38095238095238093,21.0,183.0,0.0,0.4,0.4888888888888889,45.0,76.0,0.0,0.0,0.38095238095238093,21.0,40.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
37102,17.0,2013-02-26,172,1.0,3.0,183.0,0.0,0.4,0.4888888888888889,45.0,76.0,0.0,0.0,0.38095238095238093,21.0,40.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.631578947368421,19.0,20.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
35982,51.0,2012-08-27,151,1.0,3.0,76.0,0.0,0.0,0.38095238095238093,21.0,40.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.631578947368421,19.0,20.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5,30.0,0.0,0.0
35320,34.0,2012-06-12,127,1.0,2.0,40.0,0.0,0.3333333333333333,0.4482758620689655,29.0,1.0,1.0,1.0,0.631578947368421,19.0,20.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5,30.0,33.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
34980,27.0,2012-05-03,133,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,20.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5,30.0,33.0,0.0,0.0,0.3333333333333333,18.0,16.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
34975,27.0,2012-05-02,133,1.0,0.0,20.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5,30.0,33.0,0.0,0.0,0.3333333333333333,18.0,16.0,0.0,0.0,0.29411764705882354,17.0,41.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
