,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44698,8.0,2016-02-01,228,1.0,0.0,104.0,0.0,0.0,0.14285714285714285,7.0,90.0,0.0,0.0,0.4090909090909091,22.0,281.0,0.0,0.0,0.3333333333333333,18.0,49.0,0.0,0.25,0.42105263157894735,38.0,8.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
44200,60.0,2015-10-20,221,0.0,3.0,90.0,0.0,0.0,0.4090909090909091,22.0,281.0,0.0,0.0,0.3333333333333333,18.0,49.0,0.0,0.25,0.42105263157894735,38.0,8.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
43485,42.0,2015-07-22,261,1.0,0.0,281.0,0.0,0.0,0.3333333333333333,18.0,49.0,0.0,0.25,0.42105263157894735,38.0,8.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.56,25.0,0.0,0.0
41571,58.0,2014-10-14,115,0.0,3.0,49.0,0.0,0.25,0.42105263157894735,38.0,8.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.56,25.0,5.0,0.0,0.0,0.35,20.0,0.0,0.0
41277,51.0,2014-08-26,116,1.0,3.0,8.0,0.0,0.0,0.43478260869565216,23.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.56,25.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,0.0,0.0
41209,50.0,2014-08-18,116,1.0,3.0,18.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.56,25.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
41028,46.0,2014-07-31,103,1.0,0.0,3.0,1.0,1.0,0.56,25.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,7.0,0.0,0.0,0.25,16.0,8.0,0.0,0.0,1.0,1.0,1.0,0.0
41014,46.0,2014-07-28,103,1.0,0.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,7.0,0.0,0.0,0.25,16.0,8.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0
40997,45.0,2014-07-23,97,1.0,0.0,1.0,1.0,0.6666666666666666,0.5806451612903226,31.0,7.0,0.0,0.0,0.25,16.0,8.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.3333333333333333,27.0,28.0,0.0,0.0,0.3448275862068966,29.0,1.0,0.0
40995,45.0,2014-07-22,97,1.0,0.0,7.0,0.0,0.0,0.25,16.0,8.0,0.0,0.0,1.0,1.0,13.0,0.0,0.0,0.3333333333333333,27.0,28.0,0.0,0.0,0.3448275862068966,29.0,14.0,0.0,0.0,0.2,15.0,0.0,1.0
