,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
10052,31.0,2003-05-26,42,1.0,0.0,61.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.8571428571428571,14.0,10.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.0,1.0,4.0,0.0,0.0
9584,20.0,2003-03-26,31,1.0,3.0,3.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,1.0,0.8571428571428571,14.0,10.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
9563,20.0,2003-03-23,31,1.0,3.0,1.0,1.0,1.0,0.8571428571428571,14.0,10.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,1.0
9553,20.0,2003-03-22,31,1.0,3.0,10.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0,0.6666666666666666,0.5,30.0,0.0,1.0
9470,19.0,2003-03-12,29,1.0,3.0,1.0,1.0,0.0,1.0,4.0,2.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
9456,19.0,2003-03-11,29,1.0,3.0,2.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
9401,17.0,2003-03-09,30,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.75,16.0,3.0,0.0
9399,17.0,2003-03-08,30,1.0,3.0,3.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,2.0,1.0
9389,17.0,2003-03-05,30,1.0,3.0,1.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
9378,17.0,2003-03-04,30,1.0,3.0,5.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.52,25.0,0.0,1.0
9303,14.0,2003-02-27,32,1.0,0.0,0.0,1.0,1.0,0.75,16.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,0.0
9301,14.0,2003-02-27,32,1.0,0.0,1.0,1.0,0.6666666666666666,0.5833333333333334,24.0,7.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0
9294,14.0,2003-02-26,32,1.0,0.0,7.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,1.0,1.0,0.7058823529411765,17.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
