,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46481,52.0,2016-08-29,52,1.0,3.0,5.0,0.0,0.0,0.25,16.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,28.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
46456,51.0,2016-08-24,52,1.0,3.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,28.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0,0.0,0.3684210526315789,19.0,2.0,0.0
46441,51.0,2016-08-23,52,1.0,3.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,28.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0
46428,51.0,2016-08-22,52,1.0,3.0,28.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,0.0,1.0
46267,47.0,2016-07-25,58,1.0,3.0,6.0,0.0,0.0,0.4090909090909091,22.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
46223,46.0,2016-07-19,59,1.0,3.0,3.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.0,0.24,25.0,0.0,0.0
46103,41.0,2016-07-16,83,1.0,0.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.0,0.24,25.0,7.0,0.0,0.0,0.43478260869565216,23.0,3.0,0.0
46099,41.0,2016-07-15,83,1.0,0.0,1.0,1.0,0.6666666666666666,0.5862068965517241,29.0,2.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.0,0.24,25.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0
46094,41.0,2016-07-14,83,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,14.0,0.0,0.0,0.24,25.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,25.0,0.0,0.25,0.36363636363636365,33.0,1.0,1.0
46084,41.0,2016-07-12,83,1.0,0.0,14.0,0.0,0.0,0.24,25.0,7.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,1.0,0.5909090909090909,22.0,25.0,0.0,0.25,0.36363636363636365,33.0,2.0,1.0,0.75,0.5405405405405406,37.0,0.0,1.0
