,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46606,53.0,2016-09-21,251,0.0,3.0,212.0,0.0,0.0,0.2,15.0,13.0,0.0,0.3333333333333333,0.4,30.0,19.0,0.0,0.0,0.4473684210526316,38.0,2.0,1.0,0.6,0.5,58.0,6.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
44958,17.0,2016-02-22,41,1.0,3.0,13.0,0.0,0.3333333333333333,0.4,30.0,19.0,0.0,0.0,0.4473684210526316,38.0,2.0,1.0,0.6,0.5,58.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
44813,12.0,2016-02-09,39,0.0,3.0,19.0,0.0,0.0,0.4473684210526316,38.0,2.0,1.0,0.6,0.5,58.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5909090909090909,22.0,91.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,0.0
44625,6.0,2016-01-21,42,1.0,3.0,2.0,1.0,0.6,0.5,58.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5909090909090909,22.0,91.0,0.0,0.3333333333333333,0.3793103448275862,29.0,6.0,0.0,0.3333333333333333,0.30434782608695654,23.0,1.0,0.0
44586,6.0,2016-01-19,42,1.0,3.0,6.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,1.0,0.5909090909090909,22.0,91.0,0.0,0.3333333333333333,0.3793103448275862,29.0,6.0,0.0,0.3333333333333333,0.30434782608695654,23.0,2.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
44532,5.0,2016-01-13,43,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,91.0,0.0,0.3333333333333333,0.3793103448275862,29.0,6.0,0.0,0.3333333333333333,0.30434782608695654,23.0,2.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.52,25.0,1.0,0.0
44518,5.0,2016-01-11,43,1.0,3.0,91.0,0.0,0.3333333333333333,0.3793103448275862,29.0,6.0,0.0,0.3333333333333333,0.30434782608695654,23.0,2.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
44154,59.0,2015-10-12,30,1.0,3.0,6.0,0.0,0.3333333333333333,0.30434782608695654,23.0,2.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.2,15.0,0.0,0.0
44090,57.0,2015-10-06,29,1.0,3.0,2.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.65,20.0,0.0,0.0
44077,56.0,2015-10-04,30,1.0,3.0,2.0,1.0,0.6666666666666666,0.52,25.0,2.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.65,20.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,0.0
44073,56.0,2015-10-02,30,1.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.65,20.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,18.0,0.0,0.0,0.2962962962962963,27.0,1.0,1.0
44068,56.0,2015-09-30,30,1.0,3.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.65,20.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,18.0,0.0,0.0,0.2962962962962963,27.0,2.0,1.0,1.0,0.5757575757575758,33.0,0.0,1.0
44022,54.0,2015-09-25,27,0.0,3.0,1.0,1.0,1.0,0.65,20.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,18.0,0.0,0.0,0.2962962962962963,27.0,2.0,1.0,1.0,0.5757575757575758,33.0,2.0,1.0,1.0,0.6923076923076923,26.0,2.0,0.0
