,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
34330,11.0,2012-02-15,1502,0.0,3.0,576.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.3333333333333333,0.39285714285714285,28.0,22.0,0.0,0.3333333333333333,0.39285714285714285,28.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
30312,41.0,2010-07-19,160,1.0,0.0,13.0,0.0,0.0,0.4090909090909091,22.0,56.0,0.0,0.3333333333333333,0.39285714285714285,28.0,22.0,0.0,0.3333333333333333,0.39285714285714285,28.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,13.0,0.0,0.0,0.35,20.0,0.0,0.0
30211,37.0,2010-07-06,160,1.0,2.0,56.0,0.0,0.3333333333333333,0.39285714285714285,28.0,22.0,0.0,0.3333333333333333,0.39285714285714285,28.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,13.0,0.0,0.0,0.35,20.0,16.0,0.0,0.5,0.48148148148148145,27.0,0.0,0.0
29738,29.0,2010-05-11,140,1.0,0.0,22.0,0.0,0.3333333333333333,0.39285714285714285,28.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,13.0,0.0,0.0,0.35,20.0,16.0,0.0,0.5,0.48148148148148145,27.0,21.0,0.0,0.3333333333333333,0.3793103448275862,29.0,0.0,0.0
29524,24.0,2010-04-19,122,1.0,0.0,26.0,0.0,0.3333333333333333,0.4074074074074074,27.0,13.0,0.0,0.0,0.35,20.0,16.0,0.0,0.5,0.48148148148148145,27.0,21.0,0.0,0.3333333333333333,0.3793103448275862,29.0,14.0,0.0,0.25,0.4594594594594595,37.0,0.0,0.0
29317,20.0,2010-03-24,136,1.0,3.0,13.0,0.0,0.0,0.35,20.0,16.0,0.0,0.5,0.48148148148148145,27.0,21.0,0.0,0.3333333333333333,0.3793103448275862,29.0,14.0,0.0,0.25,0.4594594594594595,37.0,14.0,0.0,0.0,0.2,15.0,0.0,0.0
29230,19.0,2010-03-11,136,1.0,3.0,16.0,0.0,0.5,0.48148148148148145,27.0,21.0,0.0,0.3333333333333333,0.3793103448275862,29.0,14.0,0.0,0.25,0.4594594594594595,37.0,14.0,0.0,0.0,0.2,15.0,71.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
29173,17.0,2010-02-23,115,1.0,3.0,21.0,0.0,0.3333333333333333,0.3793103448275862,29.0,14.0,0.0,0.25,0.4594594594594595,37.0,14.0,0.0,0.0,0.2,15.0,71.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.0,0.38461538461538464,13.0,0.0,0.0
28924,9.0,2010-02-02,87,0.0,3.0,14.0,0.0,0.25,0.4594594594594595,37.0,14.0,0.0,0.0,0.2,15.0,71.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.0,0.38461538461538464,13.0,2.0,1.0,1.0,0.5833333333333334,12.0,0.0,0.0
28786,6.0,2010-01-19,85,1.0,3.0,14.0,0.0,0.0,0.2,15.0,71.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.0,0.38461538461538464,13.0,2.0,1.0,1.0,0.5833333333333334,12.0,20.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,0.0
28656,3.0,2010-01-05,86,1.0,3.0,71.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.0,0.38461538461538464,13.0,2.0,1.0,1.0,0.5833333333333334,12.0,20.0,0.0,0.3333333333333333,0.4444444444444444,27.0,6.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,0.0
28365,58.0,2009-10-26,91,0.0,3.0,4.0,0.0,0.0,0.38461538461538464,13.0,2.0,1.0,1.0,0.5833333333333334,12.0,20.0,0.0,0.3333333333333333,0.4444444444444444,27.0,6.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,0.0,0.0
28322,56.0,2009-10-22,84,0.0,3.0,2.0,1.0,1.0,0.5833333333333334,12.0,20.0,0.0,0.3333333333333333,0.4444444444444444,27.0,6.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,22.0,0.0,0.4,0.49019607843137253,51.0,1.0,0.0
28308,56.0,2009-10-20,84,0.0,3.0,20.0,0.0,0.3333333333333333,0.4444444444444444,27.0,6.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,22.0,0.0,0.4,0.49019607843137253,51.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
28168,52.0,2009-09-30,84,0.0,3.0,6.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,22.0,0.0,0.4,0.49019607843137253,51.0,7.0,0.0,0.0,0.3684210526315789,19.0,27.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
28122,50.0,2009-09-24,88,0.0,3.0,2.0,1.0,0.6666666666666666,0.4482758620689655,29.0,22.0,0.0,0.4,0.49019607843137253,51.0,7.0,0.0,0.0,0.3684210526315789,19.0,27.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
28111,50.0,2009-09-22,88,0.0,3.0,22.0,0.0,0.4,0.49019607843137253,51.0,7.0,0.0,0.0,0.3684210526315789,19.0,27.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,0.0,1.0
27954,49.0,2009-08-31,72,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,27.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,20.0,0.0,0.4,0.46938775510204084,49.0,0.0,0.0
27904,48.0,2009-08-24,72,1.0,3.0,27.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,20.0,0.0,0.4,0.46938775510204084,49.0,9.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
27713,44.0,2009-07-28,59,1.0,0.0,8.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,20.0,0.0,0.4,0.46938775510204084,49.0,9.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.25,16.0,0.0,0.0
27582,40.0,2009-07-20,58,1.0,0.0,7.0,0.0,0.3333333333333333,0.30434782608695654,23.0,20.0,0.0,0.4,0.46938775510204084,49.0,9.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.25,16.0,10.0,0.0,0.0,0.25,24.0,0.0,0.0
27518,38.0,2009-07-13,54,1.0,0.0,20.0,0.0,0.4,0.46938775510204084,49.0,9.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.25,16.0,10.0,0.0,0.0,0.25,24.0,2.0,1.0,0.75,0.6052631578947368,38.0,0.0,0.0
27408,36.0,2009-06-23,60,1.0,2.0,9.0,0.0,0.0,0.3333333333333333,18.0,5.0,0.0,0.0,0.25,16.0,10.0,0.0,0.0,0.25,24.0,2.0,1.0,0.75,0.6052631578947368,38.0,1.0,1.0,0.75,0.6,35.0,0.0,0.0
27327,35.0,2009-06-14,59,1.0,2.0,5.0,0.0,0.0,0.25,16.0,10.0,0.0,0.0,0.25,24.0,2.0,1.0,0.75,0.6052631578947368,38.0,1.0,1.0,0.75,0.6,35.0,10.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
27224,32.0,2009-06-09,61,1.0,2.0,10.0,0.0,0.0,0.25,24.0,2.0,1.0,0.75,0.6052631578947368,38.0,1.0,1.0,0.75,0.6,35.0,10.0,0.0,0.0,0.3333333333333333,18.0,11.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
27192,31.0,2009-05-30,65,1.0,0.0,2.0,1.0,0.75,0.6052631578947368,38.0,1.0,1.0,0.75,0.6,35.0,10.0,0.0,0.0,0.3333333333333333,18.0,11.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,2.0,0.0
27168,31.0,2009-05-28,65,1.0,0.0,1.0,1.0,0.75,0.6,35.0,10.0,0.0,0.0,0.3333333333333333,18.0,11.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,1.0,0.6666666666666666,0.5588235294117647,34.0,6.0,0.0,0.3333333333333333,0.34615384615384615,26.0,1.0,1.0
