,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38052,37.0,2013-06-25,143,1.0,2.0,94.0,0.0,0.0,0.35,20.0,2.0,1.0,0.5,0.5416666666666666,24.0,66.0,0.0,0.0,0.3333333333333333,27.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,0.0,0.0
37301,20.0,2013-03-23,145,1.0,3.0,2.0,1.0,0.5,0.5416666666666666,24.0,66.0,0.0,0.0,0.3333333333333333,27.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,76.0,0.0,0.0,0.4166666666666667,24.0,1.0,0.0
37269,20.0,2013-03-21,145,1.0,3.0,66.0,0.0,0.0,0.3333333333333333,27.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,76.0,0.0,0.0,0.4166666666666667,24.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
36704,6.0,2013-01-14,126,1.0,3.0,6.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,76.0,0.0,0.0,0.4166666666666667,24.0,35.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
36638,4.0,2013-01-08,89,1.0,3.0,1.0,1.0,0.6666666666666666,0.6071428571428571,28.0,76.0,0.0,0.0,0.4166666666666667,24.0,35.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.36666666666666664,30.0,48.0,0.0,0.3333333333333333,0.41935483870967744,31.0,1.0,0.0
36628,4.0,2013-01-07,89,1.0,3.0,76.0,0.0,0.0,0.4166666666666667,24.0,35.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.36666666666666664,30.0,48.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0
36457,63.0,2012-10-23,104,0.0,3.0,35.0,0.0,0.0,0.29411764705882354,17.0,21.0,0.0,0.0,0.36666666666666664,30.0,48.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,13.0,0.0,0.4,0.4716981132075472,53.0,0.0,0.0
36113,52.0,2012-09-18,100,0.0,3.0,21.0,0.0,0.0,0.36666666666666664,30.0,48.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,13.0,0.0,0.4,0.4716981132075472,53.0,6.0,0.0,0.0,0.44,25.0,0.0,0.0
36018,51.0,2012-08-28,105,1.0,3.0,48.0,0.0,0.3333333333333333,0.41935483870967744,31.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,13.0,0.0,0.4,0.4716981132075472,53.0,6.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.7692307692307693,13.0,0.0,0.0
35594,39.0,2012-07-11,104,1.0,2.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,13.0,0.0,0.4,0.4716981132075472,53.0,6.0,0.0,0.0,0.44,25.0,2.0,1.0,1.0,0.7692307692307693,13.0,6.0,0.0,0.3333333333333333,0.4,30.0,1.0,0.0
