,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
36099,51.0,2012-09-05,22,1.0,3.0,3.0,1.0,0.75,0.5333333333333333,45.0,1.0,1.0,1.0,0.72,25.0,4.0,1.0,1.0,0.6206896551724138,29.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5384615384615384,26.0,3.0,0.0
36087,51.0,2012-09-02,22,1.0,3.0,1.0,1.0,1.0,0.72,25.0,4.0,1.0,1.0,0.6206896551724138,29.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0
36075,51.0,2012-09-01,22,1.0,3.0,4.0,1.0,1.0,0.6206896551724138,29.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.4090909090909091,22.0,23.0,1.0,0.6666666666666666,0.5,28.0,1.0,1.0
36012,51.0,2012-08-28,22,1.0,3.0,6.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.4090909090909091,22.0,23.0,1.0,0.6666666666666666,0.5,28.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,1.0
35966,50.0,2012-08-22,17,1.0,3.0,1.0,1.0,1.0,0.5384615384615384,26.0,7.0,0.0,0.0,0.4090909090909091,22.0,23.0,1.0,0.6666666666666666,0.5,28.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
35950,50.0,2012-08-21,17,1.0,3.0,7.0,0.0,0.0,0.4090909090909091,22.0,23.0,1.0,0.6666666666666666,0.5,28.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
35895,49.0,2012-08-14,21,1.0,3.0,23.0,1.0,0.6666666666666666,0.5,28.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,19.0,0.0,0.25,0.475,40.0,0.0,0.0
35687,42.0,2012-07-22,27,1.0,3.0,0.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,19.0,0.0,0.25,0.475,40.0,2.0,1.0,1.0,0.6129032258064516,31.0,3.0,1.0
35686,42.0,2012-07-22,27,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.5909090909090909,22.0,19.0,0.0,0.25,0.475,40.0,2.0,1.0,1.0,0.6129032258064516,31.0,1.0,1.0,1.0,0.5714285714285714,35.0,2.0,1.0
35683,42.0,2012-07-21,27,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,19.0,0.0,0.25,0.475,40.0,2.0,1.0,1.0,0.6129032258064516,31.0,1.0,1.0,1.0,0.5714285714285714,35.0,4.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0
35673,42.0,2012-07-19,27,1.0,3.0,19.0,0.0,0.25,0.475,40.0,2.0,1.0,1.0,0.6129032258064516,31.0,1.0,1.0,1.0,0.5714285714285714,35.0,4.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6923076923076923,13.0,0.0,1.0
35531,37.0,2012-06-30,25,1.0,2.0,2.0,1.0,1.0,0.6129032258064516,31.0,1.0,1.0,1.0,0.5714285714285714,35.0,4.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6923076923076923,13.0,0.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,0.0
35511,37.0,2012-06-28,25,1.0,2.0,1.0,1.0,1.0,0.5714285714285714,35.0,4.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6923076923076923,13.0,0.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0
35485,37.0,2012-06-27,25,1.0,2.0,4.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6923076923076923,13.0,0.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.0,0.7142857142857143,7.0,0.0,1.0
35390,35.0,2012-06-23,33,1.0,2.0,1.0,1.0,1.0,0.6923076923076923,13.0,0.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.0,0.7142857142857143,7.0,6.0,0.0,0.3333333333333333,0.46875,32.0,4.0,1.0
35388,35.0,2012-06-22,33,1.0,2.0,0.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.0,0.7142857142857143,7.0,6.0,0.0,0.3333333333333333,0.46875,32.0,17.0,0.0,0.25,0.3888888888888889,36.0,3.0,1.0
35385,35.0,2012-06-22,33,1.0,2.0,2.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0,0.0,0.7142857142857143,7.0,6.0,0.0,0.3333333333333333,0.46875,32.0,17.0,0.0,0.25,0.3888888888888889,36.0,61.0,0.0,0.0,0.2777777777777778,18.0,2.0,1.0
35382,35.0,2012-06-20,33,1.0,2.0,1.0,1.0,0.0,0.7142857142857143,7.0,6.0,0.0,0.3333333333333333,0.46875,32.0,17.0,0.0,0.25,0.3888888888888889,36.0,61.0,0.0,0.0,0.2777777777777778,18.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,1.0,1.0
35375,35.0,2012-06-19,33,1.0,2.0,6.0,0.0,0.3333333333333333,0.46875,32.0,17.0,0.0,0.25,0.3888888888888889,36.0,61.0,0.0,0.0,0.2777777777777778,18.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
35336,34.0,2012-06-13,32,1.0,2.0,17.0,0.0,0.25,0.3888888888888889,36.0,61.0,0.0,0.0,0.2777777777777778,18.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,3.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
35168,32.0,2012-05-27,33,1.0,0.0,61.0,0.0,0.0,0.2777777777777778,18.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,3.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.3333333333333333,0.4074074074074074,27.0,3.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
