,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
27712,44.0,2009-07-28,121,1.0,0.0,36.0,0.0,0.0,0.2727272727272727,22.0,28.0,0.0,0.0,0.3448275862068966,29.0,20.0,0.0,0.0,0.35,20.0,27.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
27370,36.0,2009-06-22,124,1.0,2.0,28.0,0.0,0.0,0.3448275862068966,29.0,20.0,0.0,0.0,0.35,20.0,27.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,49.0,0.0,0.0,0.0,12.0,0.0,0.0
27123,31.0,2009-05-25,100,1.0,0.0,20.0,0.0,0.0,0.35,20.0,27.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,49.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
26916,26.0,2009-05-05,106,1.0,0.0,27.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.6666666666666666,18.0,49.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.3333333333333333,18.0,161.0,0.0,0.0,0.28,25.0,0.0,0.0
26731,22.0,2009-04-08,98,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,49.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.3333333333333333,18.0,161.0,0.0,0.0,0.28,25.0,38.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
26717,22.0,2009-04-07,98,1.0,0.0,49.0,0.0,0.0,0.0,12.0,15.0,0.0,0.0,0.3333333333333333,18.0,161.0,0.0,0.0,0.28,25.0,38.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
26309,13.0,2009-02-17,101,1.0,0.0,15.0,0.0,0.0,0.3333333333333333,18.0,161.0,0.0,0.0,0.28,25.0,38.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
26124,7.0,2009-02-02,105,1.0,3.0,161.0,0.0,0.0,0.28,25.0,38.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.21739130434782608,23.0,0.0,0.0
25278,51.0,2008-08-25,107,1.0,3.0,38.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.21739130434782608,23.0,14.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
25014,44.0,2008-07-18,103,1.0,0.0,3.0,1.0,1.0,0.6666666666666666,18.0,7.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.21739130434782608,23.0,14.0,0.0,0.3333333333333333,0.4,25.0,15.0,0.0,0.0,0.3870967741935484,31.0,1.0,0.0
