,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44999,18.0,2016-02-25,160,0.0,0.0,2.0,1.0,0.6666666666666666,0.4857142857142857,35.0,201.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,36.0,0.0,0.0,0.28,25.0,122.0,0.0,0.0,0.25,16.0,1.0,0.0
44989,18.0,2016-02-23,160,0.0,0.0,201.0,0.0,0.3333333333333333,0.4722222222222222,36.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,36.0,0.0,0.0,0.28,25.0,122.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,0.0,1.0
43666,48.0,2015-08-06,124,1.0,3.0,2.0,1.0,0.6666666666666666,0.4838709677419355,31.0,36.0,0.0,0.0,0.28,25.0,122.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
43653,48.0,2015-08-04,124,1.0,3.0,36.0,0.0,0.0,0.28,25.0,122.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
43308,39.0,2015-06-29,93,1.0,2.0,122.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.5,0.5357142857142857,28.0,0.0,0.0
42346,17.0,2015-02-27,85,1.0,0.0,1.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.5,0.5357142857142857,28.0,8.0,0.0,0.0,0.43478260869565216,23.0,2.0,0.0
42340,17.0,2015-02-26,85,1.0,0.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.5,0.5357142857142857,28.0,8.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0
42328,17.0,2015-02-24,85,1.0,0.0,6.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.5,0.5357142857142857,28.0,8.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.0,0.36666666666666664,30.0,148.0,0.0,0.4,0.5106382978723404,47.0,0.0,1.0
42280,15.0,2015-02-18,92,1.0,0.0,1.0,1.0,0.5,0.5357142857142857,28.0,8.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.0,0.36666666666666664,30.0,148.0,0.0,0.4,0.5106382978723404,47.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
42268,15.0,2015-02-17,92,1.0,0.0,8.0,0.0,0.0,0.43478260869565216,23.0,20.0,0.0,0.0,0.36666666666666664,30.0,148.0,0.0,0.4,0.5106382978723404,47.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,1.0
