,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46637,54.0,2016-09-21,85,0.0,3.0,2.0,1.0,1.0,0.6,20.0,19.0,0.0,0.0,0.28,25.0,7.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,34.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
46626,54.0,2016-09-19,85,0.0,3.0,19.0,0.0,0.0,0.28,25.0,7.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,34.0,0.0,0.0,0.43478260869565216,23.0,22.0,0.0,0.4,0.45454545454545453,66.0,0.0,1.0
46534,52.0,2016-08-31,81,1.0,3.0,7.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,34.0,0.0,0.0,0.43478260869565216,23.0,22.0,0.0,0.4,0.45454545454545453,66.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
46455,51.0,2016-08-24,82,1.0,3.0,2.0,1.0,0.6666666666666666,0.5416666666666666,24.0,34.0,0.0,0.0,0.43478260869565216,23.0,22.0,0.0,0.4,0.45454545454545453,66.0,7.0,0.0,0.0,0.3684210526315789,19.0,28.0,0.0,0.4,0.4444444444444444,45.0,1.0,0.0
46435,51.0,2016-08-22,82,1.0,3.0,34.0,0.0,0.0,0.43478260869565216,23.0,22.0,0.0,0.4,0.45454545454545453,66.0,7.0,0.0,0.0,0.3684210526315789,19.0,28.0,0.0,0.4,0.4444444444444444,45.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,1.0
46167,44.0,2016-07-19,79,1.0,0.0,22.0,0.0,0.4,0.45454545454545453,66.0,7.0,0.0,0.0,0.3684210526315789,19.0,28.0,0.0,0.4,0.4444444444444444,45.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.6666666666666666,21.0,0.0,0.0
45929,39.0,2016-06-27,73,1.0,2.0,7.0,0.0,0.0,0.3684210526315789,19.0,28.0,0.0,0.4,0.4444444444444444,45.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.6666666666666666,21.0,1.0,1.0,0.6666666666666666,0.5,38.0,0.0,0.0
45886,38.0,2016-06-20,75,1.0,2.0,28.0,0.0,0.4,0.4444444444444444,45.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.6666666666666666,21.0,1.0,1.0,0.6666666666666666,0.5,38.0,2.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
45635,33.0,2016-05-23,59,1.0,0.0,3.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,0.6666666666666666,0.6666666666666666,21.0,1.0,1.0,0.6666666666666666,0.5,38.0,2.0,1.0,1.0,0.631578947368421,19.0,18.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
45601,31.0,2016-05-20,68,1.0,0.0,1.0,1.0,0.6666666666666666,0.6666666666666666,21.0,1.0,1.0,0.6666666666666666,0.5,38.0,2.0,1.0,1.0,0.631578947368421,19.0,18.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,0.6666666666666666,0.5277777777777778,36.0,3.0,0.0
45599,31.0,2016-05-19,68,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,38.0,2.0,1.0,1.0,0.631578947368421,19.0,18.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,0.6666666666666666,0.5277777777777778,36.0,7.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0
