,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46639,54.0,2016-09-22,201,0.0,3.0,1.0,1.0,1.0,0.7142857142857143,14.0,149.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.25,16.0,19.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
46632,54.0,2016-09-21,201,0.0,3.0,149.0,0.0,0.0,0.29411764705882354,17.0,14.0,0.0,0.0,0.25,16.0,19.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,0.0,1.0
45414,27.0,2016-04-25,163,1.0,0.0,14.0,0.0,0.0,0.25,16.0,19.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,68.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
45258,23.0,2016-04-11,157,1.0,0.0,19.0,0.0,0.0,0.3333333333333333,18.0,77.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,68.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
45110,20.0,2016-03-23,154,1.0,3.0,77.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,68.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
44443,2.0,2016-01-06,185,1.0,3.0,1.0,1.0,0.6666666666666666,0.5555555555555556,27.0,68.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,27.0,0.0,0.3333333333333333,0.38461538461538464,26.0,1.0,0.0
44433,2.0,2016-01-05,185,1.0,3.0,68.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,27.0,0.0,0.3333333333333333,0.38461538461538464,26.0,22.0,0.0,0.25,0.44680851063829785,47.0,0.0,1.0
44331,64.0,2015-10-29,180,0.0,3.0,1.0,1.0,1.0,0.6,20.0,8.0,0.0,0.0,0.3333333333333333,18.0,27.0,0.0,0.3333333333333333,0.38461538461538464,26.0,22.0,0.0,0.25,0.44680851063829785,47.0,36.0,0.0,0.0,0.43478260869565216,23.0,1.0,0.0
44324,64.0,2015-10-28,180,0.0,3.0,8.0,0.0,0.0,0.3333333333333333,18.0,27.0,0.0,0.3333333333333333,0.38461538461538464,26.0,22.0,0.0,0.25,0.44680851063829785,47.0,36.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.3333333333333333,0.5,30.0,0.0,1.0
44204,60.0,2015-10-20,179,0.0,3.0,27.0,0.0,0.3333333333333333,0.38461538461538464,26.0,22.0,0.0,0.25,0.44680851063829785,47.0,36.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.3333333333333333,0.5,30.0,64.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,0.0
44007,54.0,2015-09-23,178,0.0,3.0,22.0,0.0,0.25,0.44680851063829785,47.0,36.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.3333333333333333,0.5,30.0,64.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,0.0
43893,52.0,2015-09-01,198,1.0,3.0,36.0,0.0,0.0,0.43478260869565216,23.0,5.0,0.0,0.3333333333333333,0.5,30.0,64.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,18.0,0.0,0.3333333333333333,0.5,26.0,0.0,0.0
43558,45.0,2015-07-27,193,1.0,0.0,5.0,0.0,0.3333333333333333,0.5,30.0,64.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,18.0,0.0,0.3333333333333333,0.5,26.0,1.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
43513,43.0,2015-07-22,190,1.0,0.0,64.0,0.0,0.3333333333333333,0.43333333333333335,30.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,18.0,0.0,0.3333333333333333,0.5,26.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
42959,31.0,2015-05-19,229,1.0,0.0,2.0,1.0,0.6666666666666666,0.5428571428571428,35.0,18.0,0.0,0.3333333333333333,0.5,26.0,1.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
