,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
38676,51.0,2013-08-29,91,1.0,3.0,3.0,1.0,0.6,0.5111111111111111,45.0,5.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,20.0,0.0,0.0,0.43478260869565216,23.0,34.0,0.0,0.25,0.4318181818181818,44.0,1.0,0.0
38614,51.0,2013-08-26,91,1.0,3.0,5.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,20.0,0.0,0.0,0.43478260869565216,23.0,34.0,0.0,0.25,0.4318181818181818,44.0,2.0,1.0,0.75,0.6111111111111112,36.0,0.0,1.0
38595,50.0,2013-08-21,95,1.0,3.0,2.0,1.0,0.6666666666666666,0.5357142857142857,28.0,20.0,0.0,0.0,0.43478260869565216,23.0,34.0,0.0,0.25,0.4318181818181818,44.0,2.0,1.0,0.75,0.6111111111111112,36.0,7.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
38578,50.0,2013-08-19,95,1.0,3.0,20.0,0.0,0.0,0.43478260869565216,23.0,34.0,0.0,0.25,0.4318181818181818,44.0,2.0,1.0,0.75,0.6111111111111112,36.0,7.0,0.0,0.3333333333333333,0.4642857142857143,28.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,0.0,1.0
38389,46.0,2013-07-30,96,1.0,0.0,34.0,0.0,0.25,0.4318181818181818,44.0,2.0,1.0,0.75,0.6111111111111112,36.0,7.0,0.0,0.3333333333333333,0.4642857142857143,28.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,13.0,0.0,0.0,0.3448275862068966,29.0,0.0,0.0
38082,37.0,2013-06-26,85,1.0,2.0,2.0,1.0,0.75,0.6111111111111112,36.0,7.0,0.0,0.3333333333333333,0.4642857142857143,28.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,13.0,0.0,0.0,0.3448275862068966,29.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
38019,37.0,2013-06-24,85,1.0,2.0,7.0,0.0,0.3333333333333333,0.4642857142857143,28.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,13.0,0.0,0.0,0.3448275862068966,29.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
37957,35.0,2013-06-17,89,1.0,2.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,13.0,0.0,0.0,0.3448275862068966,29.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,29.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
37911,34.0,2013-06-10,93,1.0,2.0,13.0,0.0,0.0,0.3448275862068966,29.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,29.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
37797,32.0,2013-05-28,98,1.0,0.0,6.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,29.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.43478260869565216,23.0,16.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
37737,31.0,2013-05-22,102,1.0,0.0,1.0,1.0,1.0,0.75,16.0,29.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.43478260869565216,23.0,16.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,1.0,0.0
37730,31.0,2013-05-21,102,1.0,0.0,29.0,0.0,0.0,0.3333333333333333,18.0,14.0,0.0,0.0,0.43478260869565216,23.0,16.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,41.0,0.0,0.0,0.0,0.0,0.0,1.0
37456,24.0,2013-04-22,88,1.0,0.0,14.0,0.0,0.0,0.43478260869565216,23.0,16.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,41.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
37346,21.0,2013-04-08,89,1.0,0.0,16.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,41.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
37312,20.0,2013-03-23,92,1.0,3.0,2.0,1.0,0.6666666666666666,0.5925925925925926,27.0,41.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.631578947368421,19.0,20.0,0.0,0.0,0.3076923076923077,26.0,1.0,0.0
37266,20.0,2013-03-21,92,1.0,3.0,41.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.631578947368421,19.0,20.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.6052631578947368,38.0,0.0,1.0
36854,8.0,2013-02-08,93,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,1.0,1.0,0.631578947368421,19.0,20.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.6052631578947368,38.0,13.0,0.0,0.3333333333333333,0.4,30.0,2.0,0.0
36846,8.0,2013-02-06,93,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,20.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.6052631578947368,38.0,13.0,0.0,0.3333333333333333,0.4,30.0,125.0,0.0,0.4,0.4318181818181818,44.0,1.0,1.0
