,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
41922,6.0,2015-01-19,156,1.0,3.0,166.0,0.0,0.3333333333333333,0.44,25.0,2.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.4,0.4727272727272727,55.0,15.0,0.0,0.3333333333333333,0.38461538461538464,26.0,0.0,0.0
41120,48.0,2014-08-06,143,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.4,0.4727272727272727,55.0,15.0,0.0,0.3333333333333333,0.38461538461538464,26.0,14.0,0.0,0.25,0.3684210526315789,38.0,1.0,0.0
41091,48.0,2014-08-04,143,1.0,3.0,6.0,0.0,0.0,0.3684210526315789,19.0,35.0,0.0,0.4,0.4727272727272727,55.0,15.0,0.0,0.3333333333333333,0.38461538461538464,26.0,14.0,0.0,0.25,0.3684210526315789,38.0,45.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
41050,47.0,2014-07-29,143,1.0,3.0,35.0,0.0,0.4,0.4727272727272727,55.0,15.0,0.0,0.3333333333333333,0.38461538461538464,26.0,14.0,0.0,0.25,0.3684210526315789,38.0,45.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
40704,37.0,2014-06-24,94,1.0,2.0,15.0,0.0,0.3333333333333333,0.38461538461538464,26.0,14.0,0.0,0.25,0.3684210526315789,38.0,45.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.5909090909090909,22.0,31.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
40537,34.0,2014-06-09,97,1.0,2.0,14.0,0.0,0.25,0.3684210526315789,38.0,45.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.5909090909090909,22.0,31.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.64,25.0,0.0,0.0
40404,32.0,2014-05-26,98,1.0,0.0,45.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,1.0,0.5909090909090909,22.0,31.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.64,25.0,9.0,0.0,0.3333333333333333,0.39285714285714285,28.0,0.0,0.0
40022,22.0,2014-04-11,97,1.0,0.0,3.0,1.0,1.0,0.5909090909090909,22.0,31.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.64,25.0,9.0,0.0,0.3333333333333333,0.39285714285714285,28.0,6.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,0.0
40007,22.0,2014-04-08,97,1.0,0.0,31.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,0.6666666666666666,0.64,25.0,9.0,0.0,0.3333333333333333,0.39285714285714285,28.0,6.0,0.0,0.3333333333333333,0.48484848484848486,33.0,4.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
39820,19.0,2014-03-08,107,1.0,3.0,2.0,1.0,0.6666666666666666,0.64,25.0,9.0,0.0,0.3333333333333333,0.39285714285714285,28.0,6.0,0.0,0.3333333333333333,0.48484848484848486,33.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,0.0
39790,19.0,2014-03-06,107,1.0,3.0,9.0,0.0,0.3333333333333333,0.39285714285714285,28.0,6.0,0.0,0.3333333333333333,0.48484848484848486,33.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,0.0,1.0
39736,17.0,2014-02-25,106,1.0,3.0,6.0,0.0,0.3333333333333333,0.48484848484848486,33.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.6,25.0,0.0,0.0
39622,13.0,2014-02-19,85,1.0,3.0,4.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.6,25.0,28.0,0.0,0.0,0.28,25.0,0.0,0.0
39574,11.0,2014-02-15,98,0.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.6,25.0,28.0,0.0,0.0,0.28,25.0,90.0,0.0,0.0,0.3684210526315789,19.0,3.0,0.0
39571,11.0,2014-02-14,98,0.0,3.0,2.0,1.0,1.0,0.6190476190476191,21.0,2.0,1.0,0.6666666666666666,0.6,25.0,28.0,0.0,0.0,0.28,25.0,90.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.25,16.0,2.0,1.0
39562,11.0,2014-02-12,98,0.0,3.0,2.0,1.0,0.6666666666666666,0.6,25.0,28.0,0.0,0.0,0.28,25.0,90.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.25,16.0,43.0,0.0,0.0,0.3333333333333333,27.0,1.0,1.0
39551,11.0,2014-02-10,98,0.0,3.0,28.0,0.0,0.0,0.28,25.0,90.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.25,16.0,43.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
39340,6.0,2014-01-13,92,1.0,3.0,90.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.25,16.0,43.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.3333333333333333,0.45454545454545453,33.0,25.0,0.0,0.5,0.4166666666666667,24.0,0.0,0.0
39023,61.0,2013-10-15,94,0.0,3.0,7.0,0.0,0.0,0.25,16.0,43.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.3333333333333333,0.45454545454545453,33.0,25.0,0.0,0.5,0.4166666666666667,24.0,0.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,0.0
38931,58.0,2013-10-08,101,1.0,3.0,43.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.3333333333333333,0.45454545454545453,33.0,25.0,0.0,0.5,0.4166666666666667,24.0,0.0,1.0,0.6666666666666666,0.5666666666666667,30.0,11.0,0.0,0.0,0.25,16.0,0.0,0.0
