,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
4341,33.0,2001-05-28,173,1.0,0.0,28.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,63.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
4051,27.0,2001-04-30,162,1.0,0.0,0.0,1.0,0.6666666666666666,0.5517241379310345,29.0,63.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.7058823529411765,17.0,98.0,0.0,0.0,0.2,15.0,1.0,0.0
4045,27.0,2001-04-30,162,1.0,0.0,63.0,0.0,0.0,0.4,20.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.7058823529411765,17.0,98.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0
3533,15.0,2001-02-26,146,1.0,0.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.7058823529411765,17.0,98.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.5833333333333334,24.0,2.0,0.0
3532,15.0,2001-02-26,146,1.0,0.0,0.0,1.0,1.0,0.7058823529411765,17.0,98.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.5833333333333334,24.0,14.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0
3521,15.0,2001-02-26,146,1.0,0.0,98.0,0.0,0.0,0.2,15.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.5833333333333334,24.0,14.0,0.0,0.0,0.29411764705882354,17.0,56.0,0.0,0.0,0.28,25.0,0.0,1.0
2925,68.0,2000-11-20,146,0.0,3.0,14.0,0.0,0.0,0.35,20.0,0.0,1.0,1.0,0.5833333333333334,24.0,14.0,0.0,0.0,0.29411764705882354,17.0,56.0,0.0,0.0,0.28,25.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
2827,65.0,2000-11-06,157,0.0,3.0,0.0,1.0,1.0,0.5833333333333334,24.0,14.0,0.0,0.0,0.29411764705882354,17.0,56.0,0.0,0.0,0.28,25.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.75,16.0,1.0,0.0
2816,65.0,2000-11-06,157,0.0,3.0,14.0,0.0,0.0,0.29411764705882354,17.0,56.0,0.0,0.0,0.28,25.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0
2705,62.0,2000-10-23,157,0.0,1.0,56.0,0.0,0.0,0.28,25.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
2319,52.0,2000-08-28,142,1.0,3.0,35.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.65,20.0,0.0,0.0
1908,44.0,2000-07-24,127,1.0,0.0,0.0,1.0,1.0,0.75,16.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
1889,44.0,2000-07-24,127,1.0,0.0,7.0,0.0,0.3333333333333333,0.46875,32.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.8571428571428571,14.0,0.0,1.0
1810,41.0,2000-07-17,120,1.0,0.0,0.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.8571428571428571,14.0,14.0,0.0,0.25,0.41025641025641024,39.0,2.0,0.0
1806,41.0,2000-07-17,120,1.0,0.0,0.0,1.0,1.0,0.65,20.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.8571428571428571,14.0,14.0,0.0,0.25,0.41025641025641024,39.0,14.0,0.0,0.3333333333333333,0.4375,32.0,1.0,1.0
1795,41.0,2000-07-17,120,1.0,0.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,1.0,0.8571428571428571,14.0,14.0,0.0,0.25,0.41025641025641024,39.0,14.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0
1713,38.0,2000-07-10,122,1.0,0.0,0.0,1.0,1.0,0.8571428571428571,14.0,14.0,0.0,0.25,0.41025641025641024,39.0,14.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.3870967741935484,31.0,7.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
1701,38.0,2000-07-10,122,1.0,0.0,14.0,0.0,0.25,0.41025641025641024,39.0,14.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.3870967741935484,31.0,7.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.25,16.0,0.0,1.0
1608,37.0,2000-06-26,111,1.0,2.0,14.0,0.0,0.3333333333333333,0.4375,32.0,14.0,0.0,0.0,0.3870967741935484,31.0,7.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,0.0
1428,33.0,2000-06-12,99,1.0,2.0,14.0,0.0,0.0,0.3870967741935484,31.0,7.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
1323,32.0,2000-05-29,87,1.0,0.0,7.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,0.0
1265,31.0,2000-05-22,87,1.0,0.0,14.0,0.0,0.0,0.25,16.0,7.0,0.0,0.3333333333333333,0.48484848484848486,33.0,0.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,0.0
