,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
19839,53.0,2006-09-11,163,1.0,0.0,49.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4166666666666667,24.0,13.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
19326,43.0,2006-07-24,170,1.0,0.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4166666666666667,24.0,13.0,0.0,0.0,0.3076923076923077,26.0,13.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
19243,41.0,2006-07-18,172,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4166666666666667,24.0,13.0,0.0,0.0,0.3076923076923077,26.0,13.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
19232,41.0,2006-07-17,172,1.0,3.0,7.0,0.0,0.0,0.4166666666666667,24.0,13.0,0.0,0.0,0.3076923076923077,26.0,13.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.28,25.0,0.0,1.0
19169,39.0,2006-07-10,168,1.0,2.0,13.0,0.0,0.0,0.3076923076923077,26.0,13.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.28,25.0,28.0,0.0,0.0,0.2,15.0,0.0,0.0
19017,36.0,2006-06-27,131,1.0,2.0,13.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.28,25.0,28.0,0.0,0.0,0.2,15.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,0.0
18885,33.0,2006-06-14,131,1.0,2.0,2.0,1.0,1.0,0.6666666666666666,18.0,13.0,0.0,0.0,0.28,25.0,28.0,0.0,0.0,0.2,15.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,40.0,0.0,0.3333333333333333,0.4230769230769231,26.0,1.0,0.0
18863,33.0,2006-06-12,131,1.0,2.0,13.0,0.0,0.0,0.28,25.0,28.0,0.0,0.0,0.2,15.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,40.0,0.0,0.3333333333333333,0.4230769230769231,26.0,3.0,1.0,0.6666666666666666,0.48148148148148145,27.0,0.0,1.0
18748,31.0,2006-05-30,121,1.0,0.0,28.0,0.0,0.0,0.2,15.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,40.0,0.0,0.3333333333333333,0.4230769230769231,26.0,3.0,1.0,0.6666666666666666,0.48148148148148145,27.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
18485,26.0,2006-05-02,99,1.0,0.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,40.0,0.0,0.3333333333333333,0.4230769230769231,26.0,3.0,1.0,0.6666666666666666,0.48148148148148145,27.0,6.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
18273,21.0,2006-04-11,103,1.0,0.0,40.0,0.0,0.3333333333333333,0.4230769230769231,26.0,3.0,1.0,0.6666666666666666,0.48148148148148145,27.0,6.0,0.0,0.0,0.4090909090909091,22.0,6.0,0.0,0.0,0.14285714285714285,14.0,14.0,0.0,0.0,0.44,25.0,0.0,0.0
