,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
28541,63.0,2009-11-11,65,0.0,3.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,9.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.6842105263157895,19.0,1.0,1.0,1.0,0.6,10.0,1.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
28526,63.0,2009-11-09,65,0.0,3.0,9.0,0.0,0.3333333333333333,0.4666666666666667,30.0,1.0,1.0,1.0,0.6842105263157895,19.0,1.0,1.0,1.0,0.6,10.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
28422,59.0,2009-10-31,77,0.0,3.0,1.0,1.0,1.0,0.6842105263157895,19.0,1.0,1.0,1.0,0.6,10.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,3.0,0.0
28420,59.0,2009-10-30,77,0.0,3.0,1.0,1.0,1.0,0.6,10.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0
28417,59.0,2009-10-29,77,0.0,3.0,1.0,1.0,1.0,0.5652173913043478,23.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0
28409,59.0,2009-10-28,77,0.0,3.0,6.0,0.0,0.0,0.43478260869565216,23.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,1.0,0.6,20.0,3.0,0.0,0.0,0.25,16.0,0.0,1.0
28324,56.0,2009-10-22,76,0.0,3.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,1.0,0.6,20.0,3.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
28316,56.0,2009-10-21,76,0.0,3.0,7.0,0.0,0.3333333333333333,0.4827586206896552,29.0,2.0,1.0,1.0,0.6,20.0,3.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,1.0
28276,55.0,2009-10-14,86,1.0,3.0,2.0,1.0,1.0,0.6,20.0,3.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
28259,55.0,2009-10-12,86,1.0,3.0,3.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.625,24.0,0.0,1.0
28211,53.0,2009-10-09,59,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.625,24.0,27.0,0.0,0.25,0.4722222222222222,36.0,2.0,0.0
28206,53.0,2009-10-08,59,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.625,24.0,27.0,0.0,0.25,0.4722222222222222,36.0,14.0,0.0,0.3333333333333333,0.38461538461538464,26.0,1.0,1.0
28190,53.0,2009-10-06,59,1.0,3.0,5.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,0.6666666666666666,0.625,24.0,27.0,0.0,0.25,0.4722222222222222,36.0,14.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.56,25.0,0.0,1.0
28147,51.0,2009-10-01,58,0.0,3.0,2.0,1.0,0.6666666666666666,0.625,24.0,27.0,0.0,0.25,0.4722222222222222,36.0,14.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.56,25.0,7.0,0.0,0.3333333333333333,0.4,25.0,1.0,0.0
28138,51.0,2009-09-29,58,0.0,3.0,27.0,0.0,0.25,0.4722222222222222,36.0,14.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.56,25.0,7.0,0.0,0.3333333333333333,0.4,25.0,9.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
27995,49.0,2009-09-02,58,1.0,3.0,14.0,0.0,0.3333333333333333,0.38461538461538464,26.0,2.0,1.0,1.0,0.56,25.0,7.0,0.0,0.3333333333333333,0.4,25.0,9.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,0.0
27873,47.0,2009-08-19,61,1.0,3.0,2.0,1.0,1.0,0.56,25.0,7.0,0.0,0.3333333333333333,0.4,25.0,9.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,1.0,0.0
27854,47.0,2009-08-17,61,1.0,3.0,7.0,0.0,0.3333333333333333,0.4,25.0,9.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,1.0,0.6666666666666666,0.5357142857142857,28.0,14.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
