,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
17029,56.0,2005-09-27,138,1.0,0.0,15.0,0.0,0.3333333333333333,0.391304347826087,23.0,48.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,2.0,1.0,1.0,0.75,16.0,0.0,0.0
16930,53.0,2005-09-12,116,1.0,0.0,48.0,0.0,0.0,0.3333333333333333,18.0,3.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
16420,43.0,2005-07-26,106,1.0,0.0,3.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,51.0,0.0,0.0,0.3076923076923077,26.0,0.0,0.0
16315,40.0,2005-07-23,128,1.0,0.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,51.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.5098039215686274,51.0,3.0,0.0
16311,40.0,2005-07-22,128,1.0,0.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,51.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.5098039215686274,51.0,2.0,1.0,0.75,0.6875,32.0,2.0,1.0
16306,40.0,2005-07-20,128,1.0,0.0,2.0,1.0,1.0,0.5909090909090909,22.0,51.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.5098039215686274,51.0,2.0,1.0,0.75,0.6875,32.0,5.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0
16287,40.0,2005-07-18,128,1.0,0.0,51.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.5098039215686274,51.0,2.0,1.0,0.75,0.6875,32.0,5.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,1.0,0.6,20.0,0.0,1.0
15900,31.0,2005-05-28,138,1.0,0.0,2.0,1.0,0.6,0.5098039215686274,51.0,2.0,1.0,0.75,0.6875,32.0,5.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5,32.0,2.0,0.0
15882,31.0,2005-05-26,138,1.0,0.0,2.0,1.0,0.75,0.6875,32.0,5.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5,32.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0
15852,31.0,2005-05-24,138,1.0,0.0,5.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,1.0,0.6,20.0,1.0,1.0,0.6666666666666666,0.5,32.0,6.0,0.0,0.0,0.25,16.0,34.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0
