,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
28747,6.0,2010-01-19,67,1.0,3.0,72.0,0.0,0.0,0.3684210526315789,19.0,12.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,12.0,0.0,0.3333333333333333,0.4,25.0,0.0,0.0
28518,63.0,2009-11-08,54,0.0,3.0,12.0,0.0,0.0,0.4,20.0,6.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,12.0,0.0,0.3333333333333333,0.4,25.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,0.0,0.0
28370,58.0,2009-10-27,53,0.0,3.0,6.0,0.0,0.0,0.3157894736842105,19.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,12.0,0.0,0.3333333333333333,0.4,25.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,7.0,0.0,0.3333333333333333,0.5,36.0,0.0,0.0
28319,56.0,2009-10-21,50,0.0,3.0,1.0,1.0,0.6666666666666666,0.6153846153846154,26.0,12.0,0.0,0.3333333333333333,0.4,25.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,7.0,0.0,0.3333333333333333,0.5,36.0,7.0,0.0,0.3333333333333333,0.5517241379310345,29.0,1.0,0.0
28310,56.0,2009-10-20,50,0.0,3.0,12.0,0.0,0.3333333333333333,0.4,25.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,7.0,0.0,0.3333333333333333,0.5,36.0,7.0,0.0,0.3333333333333333,0.5517241379310345,29.0,20.0,0.0,0.0,0.35714285714285715,28.0,0.0,1.0
28233,54.0,2009-10-08,42,1.0,3.0,2.0,1.0,0.6666666666666666,0.5588235294117647,34.0,7.0,0.0,0.3333333333333333,0.5,36.0,7.0,0.0,0.3333333333333333,0.5517241379310345,29.0,20.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,0.0
28224,54.0,2009-10-06,42,1.0,3.0,7.0,0.0,0.3333333333333333,0.5,36.0,7.0,0.0,0.3333333333333333,0.5517241379310345,29.0,20.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7222222222222222,18.0,0.0,1.0
28134,51.0,2009-09-29,39,0.0,3.0,7.0,0.0,0.3333333333333333,0.5517241379310345,29.0,20.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7222222222222222,18.0,42.0,0.0,0.3333333333333333,0.4375,32.0,0.0,0.0
28111,50.0,2009-09-22,40,0.0,3.0,20.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7222222222222222,18.0,42.0,0.0,0.3333333333333333,0.4375,32.0,3.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
27997,49.0,2009-09-02,44,1.0,3.0,7.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.7222222222222222,18.0,42.0,0.0,0.3333333333333333,0.4375,32.0,3.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
