,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
26213,10.0,2009-02-09,543,1.0,0.0,718.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,4.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,0.0
20822,13.0,2007-02-22,133,1.0,0.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,4.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.8,15.0,1.0,0.0
20817,13.0,2007-02-21,133,1.0,0.0,4.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.8,15.0,170.0,0.0,0.0,0.21739130434782608,23.0,0.0,1.0
20739,10.0,2007-02-17,152,1.0,0.0,0.0,1.0,1.0,0.6,20.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.8,15.0,170.0,0.0,0.0,0.21739130434782608,23.0,42.0,0.0,0.3333333333333333,0.43333333333333335,30.0,3.0,0.0
20735,10.0,2007-02-17,152,1.0,0.0,2.0,1.0,0.6666666666666666,0.5517241379310345,29.0,1.0,1.0,1.0,0.8,15.0,170.0,0.0,0.0,0.21739130434782608,23.0,42.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.3333333333333333,0.41379310344827586,29.0,2.0,1.0
20731,10.0,2007-02-15,152,1.0,0.0,1.0,1.0,1.0,0.8,15.0,170.0,0.0,0.0,0.21739130434782608,23.0,42.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.3333333333333333,0.41379310344827586,29.0,12.0,0.0,0.0,0.4117647058823529,34.0,1.0,1.0
20724,10.0,2007-02-14,152,1.0,0.0,170.0,0.0,0.0,0.21739130434782608,23.0,42.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.3333333333333333,0.41379310344827586,29.0,12.0,0.0,0.0,0.4117647058823529,34.0,28.0,0.0,0.0,0.23076923076923078,13.0,0.0,1.0
19688,51.0,2006-08-28,121,1.0,3.0,42.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.3333333333333333,0.41379310344827586,29.0,12.0,0.0,0.0,0.4117647058823529,34.0,28.0,0.0,0.0,0.23076923076923078,13.0,2.0,1.0,0.6,0.5094339622641509,53.0,0.0,0.0
19277,42.0,2006-07-17,107,1.0,0.0,7.0,0.0,0.3333333333333333,0.41379310344827586,29.0,12.0,0.0,0.0,0.4117647058823529,34.0,28.0,0.0,0.0,0.23076923076923078,13.0,2.0,1.0,0.6,0.5094339622641509,53.0,12.0,0.0,0.0,0.35,20.0,0.0,0.0
19135,38.0,2006-07-10,103,1.0,0.0,12.0,0.0,0.0,0.4117647058823529,34.0,28.0,0.0,0.0,0.23076923076923078,13.0,2.0,1.0,0.6,0.5094339622641509,53.0,12.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,0.0,0.0
19039,36.0,2006-06-28,112,1.0,2.0,28.0,0.0,0.0,0.23076923076923078,13.0,2.0,1.0,0.6,0.5094339622641509,53.0,12.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,13.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
18767,31.0,2006-05-31,89,1.0,0.0,2.0,1.0,0.6,0.5094339622641509,53.0,12.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,13.0,0.0,0.0,0.3684210526315789,19.0,68.0,0.0,0.0,0.4166666666666667,24.0,1.0,0.0
18730,31.0,2006-05-29,89,1.0,0.0,12.0,0.0,0.0,0.35,20.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,13.0,0.0,0.0,0.3684210526315789,19.0,68.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.631578947368421,19.0,0.0,1.0
18646,29.0,2006-05-17,101,1.0,0.0,2.0,1.0,0.6666666666666666,0.6071428571428571,28.0,13.0,0.0,0.0,0.3684210526315789,19.0,68.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,0.0
18617,29.0,2006-05-15,101,1.0,0.0,13.0,0.0,0.0,0.3684210526315789,19.0,68.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,2.0,1.0,0.6666666666666666,0.64,25.0,0.0,1.0
18490,26.0,2006-05-02,89,1.0,0.0,68.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,2.0,1.0,0.6666666666666666,0.64,25.0,14.0,0.0,0.3333333333333333,0.5,28.0,0.0,0.0
17918,13.0,2006-02-23,85,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.3333333333333333,0.4074074074074074,27.0,2.0,1.0,0.6666666666666666,0.64,25.0,14.0,0.0,0.3333333333333333,0.5,28.0,195.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
