,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
18060,18.0,2006-02-28,391,1.0,3.0,28.0,0.0,0.0,0.25,16.0,209.0,0.0,0.0,0.4,20.0,1.0,1.0,0.0,0.125,8.0,15.0,0.0,0.0,0.40625,32.0,6.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
17717,7.0,2006-01-31,392,1.0,3.0,209.0,0.0,0.0,0.4,20.0,1.0,1.0,0.0,0.125,8.0,15.0,0.0,0.0,0.40625,32.0,6.0,0.0,0.0,0.14285714285714285,14.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0
16241,38.0,2005-07-06,107,1.0,0.0,1.0,1.0,0.0,0.125,8.0,15.0,0.0,0.0,0.40625,32.0,6.0,0.0,0.0,0.14285714285714285,14.0,8.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.21739130434782608,23.0,1.0,0.0
16226,38.0,2005-07-05,107,1.0,0.0,15.0,0.0,0.0,0.40625,32.0,6.0,0.0,0.0,0.14285714285714285,14.0,8.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.21739130434782608,23.0,61.0,0.0,0.0,0.2,15.0,0.0,1.0
16095,36.0,2005-06-20,92,1.0,2.0,6.0,0.0,0.0,0.14285714285714285,14.0,8.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.21739130434782608,23.0,61.0,0.0,0.0,0.2,15.0,12.0,0.0,0.0,0.0,12.0,0.0,0.0
16047,35.0,2005-06-14,91,1.0,2.0,8.0,0.0,0.0,0.0,3.0,13.0,0.0,0.0,0.21739130434782608,23.0,61.0,0.0,0.0,0.2,15.0,12.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
15958,33.0,2005-06-06,91,1.0,2.0,13.0,0.0,0.0,0.21739130434782608,23.0,61.0,0.0,0.0,0.2,15.0,12.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,0.7058823529411765,17.0,51.0,0.0,0.25,0.4523809523809524,42.0,0.0,0.0
15853,31.0,2005-05-24,93,1.0,0.0,61.0,0.0,0.0,0.2,15.0,12.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,0.7058823529411765,17.0,51.0,0.0,0.25,0.4523809523809524,42.0,2.0,1.0,0.6,0.5,48.0,0.0,0.0
15294,20.0,2005-03-24,79,1.0,3.0,12.0,0.0,0.0,0.0,12.0,1.0,1.0,1.0,0.7058823529411765,17.0,51.0,0.0,0.25,0.4523809523809524,42.0,2.0,1.0,0.6,0.5,48.0,13.0,0.0,0.0,0.14285714285714285,14.0,0.0,0.0
15208,19.0,2005-03-12,81,1.0,3.0,1.0,1.0,1.0,0.7058823529411765,17.0,51.0,0.0,0.25,0.4523809523809524,42.0,2.0,1.0,0.6,0.5,48.0,13.0,0.0,0.0,0.14285714285714285,14.0,62.0,0.0,0.0,0.25,16.0,1.0,0.0
15172,19.0,2005-03-11,81,1.0,3.0,51.0,0.0,0.25,0.4523809523809524,42.0,2.0,1.0,0.6,0.5,48.0,13.0,0.0,0.0,0.14285714285714285,14.0,62.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,0.0,1.0
14748,6.0,2005-01-19,79,1.0,3.0,2.0,1.0,0.6,0.5,48.0,13.0,0.0,0.0,0.14285714285714285,14.0,62.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
14692,6.0,2005-01-17,79,1.0,3.0,13.0,0.0,0.0,0.14285714285714285,14.0,62.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.64,25.0,0.0,1.0
14531,1.0,2005-01-04,75,1.0,3.0,62.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.64,25.0,14.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
14485,66.0,2004-11-03,78,0.0,1.0,1.0,1.0,1.0,0.65,20.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.64,25.0,14.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8,15.0,1.0,0.0
14471,66.0,2004-11-02,78,0.0,1.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.64,25.0,14.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.8,15.0,6.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
