,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
20765,11.0,2007-02-15,259,0.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,110.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.6,30.0,19.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,0.0
20745,11.0,2007-02-13,259,0.0,3.0,110.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,0.6666666666666666,0.6,30.0,19.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,84.0,0.0,0.0,0.25,16.0,0.0,1.0
20233,64.0,2006-10-26,250,0.0,1.0,2.0,1.0,0.6666666666666666,0.6,30.0,19.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,84.0,0.0,0.0,0.25,16.0,111.0,0.0,0.3333333333333333,0.375,24.0,1.0,0.0
20219,64.0,2006-10-24,250,0.0,1.0,19.0,0.0,0.3333333333333333,0.48717948717948717,39.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,84.0,0.0,0.0,0.25,16.0,111.0,0.0,0.3333333333333333,0.375,24.0,9.0,0.0,0.3333333333333333,0.4642857142857143,28.0,0.0,1.0
19983,57.0,2006-10-05,217,0.0,3.0,2.0,1.0,0.6666666666666666,0.5714285714285714,28.0,84.0,0.0,0.0,0.25,16.0,111.0,0.0,0.3333333333333333,0.375,24.0,9.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
19967,57.0,2006-10-03,217,0.0,3.0,84.0,0.0,0.0,0.25,16.0,111.0,0.0,0.3333333333333333,0.375,24.0,9.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,1.0
19178,39.0,2006-07-11,134,1.0,2.0,111.0,0.0,0.3333333333333333,0.375,24.0,9.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.3333333333333333,0.35714285714285715,28.0,3.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
18176,20.0,2006-03-22,123,1.0,3.0,9.0,0.0,0.3333333333333333,0.4642857142857143,28.0,2.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.3333333333333333,0.35714285714285715,28.0,3.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
18129,19.0,2006-03-13,122,1.0,3.0,2.0,1.0,1.0,0.5652173913043478,23.0,16.0,0.0,0.3333333333333333,0.35714285714285715,28.0,3.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.0,2.0,1.0,0.0
18103,19.0,2006-03-11,122,1.0,3.0,16.0,0.0,0.3333333333333333,0.35714285714285715,28.0,3.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,13.0,0.0,0.0,0.0,2.0,15.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0
