,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
14059,54.0,2004-09-28,592,0.0,3.0,168.0,0.0,0.3333333333333333,0.46875,32.0,259.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.2,15.0,53.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5306122448979592,49.0,0.0,0.0
12458,20.0,2004-04-13,253,1.0,0.0,259.0,0.0,0.0,0.14285714285714285,14.0,7.0,0.0,0.0,0.2,15.0,53.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5306122448979592,49.0,2.0,1.0,0.75,0.5853658536585366,41.0,0.0,0.0
10753,46.0,2003-07-29,158,1.0,0.0,7.0,0.0,0.0,0.2,15.0,53.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5306122448979592,49.0,2.0,1.0,0.75,0.5853658536585366,41.0,32.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
10697,44.0,2003-07-22,122,1.0,0.0,53.0,0.0,0.0,0.25,24.0,2.0,1.0,0.6,0.5306122448979592,49.0,2.0,1.0,0.75,0.5853658536585366,41.0,32.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
10120,31.0,2003-05-30,141,1.0,0.0,2.0,1.0,0.6,0.5306122448979592,49.0,2.0,1.0,0.75,0.5853658536585366,41.0,32.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,0.0
10087,31.0,2003-05-28,141,1.0,0.0,2.0,1.0,0.75,0.5853658536585366,41.0,32.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0
10051,31.0,2003-05-26,141,1.0,0.0,32.0,0.0,0.0,0.38095238095238093,21.0,3.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,30.0,34.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
9791,25.0,2003-04-24,133,1.0,0.0,3.0,1.0,1.0,0.7058823529411765,17.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,30.0,34.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.4,20.0,1.0,0.0
9772,25.0,2003-04-21,133,1.0,0.0,11.0,0.0,0.0,0.29411764705882354,17.0,2.0,1.0,0.6666666666666666,0.5,30.0,34.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,0.0,1.0
9614,21.0,2003-04-10,107,1.0,0.0,2.0,1.0,0.6666666666666666,0.5,30.0,34.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,8.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
9606,21.0,2003-04-08,107,1.0,0.0,34.0,0.0,0.0,0.3684210526315789,19.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,8.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
9385,17.0,2003-03-05,99,1.0,3.0,6.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,8.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.0,0.36666666666666664,30.0,0.0,0.0
9363,16.0,2003-02-27,102,1.0,3.0,2.0,1.0,0.6666666666666666,0.5142857142857142,35.0,8.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.0,0.36666666666666664,30.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,1.0,0.0
9352,16.0,2003-02-25,102,1.0,3.0,8.0,0.0,0.0,0.3684210526315789,19.0,7.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.0,0.36666666666666664,30.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,70.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
9188,11.0,2003-02-17,102,1.0,0.0,7.0,0.0,0.0,0.4090909090909091,22.0,28.0,0.0,0.0,0.36666666666666664,30.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,70.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.0,0.2,15.0,0.0,0.0
9159,10.0,2003-02-10,103,1.0,0.0,28.0,0.0,0.0,0.36666666666666664,30.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,70.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,0.0,0.0
8956,6.0,2003-01-13,97,1.0,3.0,14.0,0.0,0.3333333333333333,0.46153846153846156,26.0,70.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,28.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
8781,1.0,2002-12-30,95,1.0,3.0,70.0,0.0,0.0,0.29411764705882354,17.0,28.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,28.0,0.0,0.0,0.46153846153846156,26.0,7.0,0.0,0.0,0.46153846153846156,13.0,0.0,0.0
8638,62.0,2002-10-21,90,0.0,1.0,28.0,0.0,0.0,0.2,15.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,28.0,0.0,0.0,0.46153846153846156,26.0,7.0,0.0,0.0,0.46153846153846156,13.0,0.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
8419,56.0,2002-09-23,89,1.0,0.0,0.0,1.0,0.6666666666666666,0.4666666666666667,30.0,28.0,0.0,0.0,0.46153846153846156,26.0,7.0,0.0,0.0,0.46153846153846156,13.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.4375,32.0,1.0,0.0
8412,56.0,2002-09-23,89,1.0,0.0,28.0,0.0,0.0,0.46153846153846156,26.0,7.0,0.0,0.0,0.46153846153846156,13.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,0.0,1.0
8191,51.0,2002-08-26,73,1.0,3.0,7.0,0.0,0.0,0.46153846153846156,13.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,21.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
8117,50.0,2002-08-19,68,1.0,3.0,0.0,1.0,1.0,0.5909090909090909,22.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,21.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,1.0,0.0
8111,50.0,2002-08-19,68,1.0,3.0,7.0,0.0,0.3333333333333333,0.4375,32.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,21.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0
8079,49.0,2002-08-12,70,1.0,3.0,0.0,1.0,0.6666666666666666,0.5161290322580645,31.0,21.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.631578947368421,19.0,1.0,0.0
8063,49.0,2002-08-12,70,1.0,3.0,21.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,1.0
7863,45.0,2002-07-22,75,1.0,0.0,0.0,1.0,0.6666666666666666,0.5277777777777778,36.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.0,0.35,20.0,3.0,0.0
7860,45.0,2002-07-22,75,1.0,0.0,0.0,1.0,1.0,0.5652173913043478,23.0,0.0,1.0,1.0,0.631578947368421,19.0,7.0,0.0,0.3333333333333333,0.43333333333333335,30.0,7.0,0.0,0.0,0.35,20.0,0.0,1.0,0.6666666666666666,0.5333333333333333,30.0,2.0,1.0
