,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
16330,41.0,2005-07-19,202,1.0,3.0,33.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.65,20.0,28.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5384615384615384,26.0,17.0,0.0,0.3333333333333333,0.38095238095238093,21.0,0.0,0.0
16027,34.0,2005-06-16,89,1.0,2.0,2.0,1.0,1.0,0.65,20.0,28.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5384615384615384,26.0,17.0,0.0,0.3333333333333333,0.38095238095238093,21.0,2.0,1.0,1.0,0.65,20.0,1.0,0.0
16018,34.0,2005-06-14,89,1.0,2.0,28.0,0.0,0.0,0.25,16.0,2.0,1.0,0.6666666666666666,0.5384615384615384,26.0,17.0,0.0,0.3333333333333333,0.38095238095238093,21.0,2.0,1.0,1.0,0.65,20.0,68.0,0.0,0.3333333333333333,0.45161290322580644,31.0,0.0,1.0
15779,30.0,2005-05-17,92,1.0,0.0,2.0,1.0,0.6666666666666666,0.5384615384615384,26.0,17.0,0.0,0.3333333333333333,0.38095238095238093,21.0,2.0,1.0,1.0,0.65,20.0,68.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,0.0
15762,30.0,2005-05-15,92,1.0,0.0,17.0,0.0,0.3333333333333333,0.38095238095238093,21.0,2.0,1.0,1.0,0.65,20.0,68.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,0.6666666666666666,0.53125,32.0,5.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
15620,27.0,2005-04-28,85,1.0,0.0,2.0,1.0,1.0,0.65,20.0,68.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,0.6666666666666666,0.53125,32.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
15613,27.0,2005-04-26,85,1.0,0.0,68.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,0.6666666666666666,0.53125,32.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,0.0,1.0
15070,15.0,2005-02-17,70,0.0,3.0,1.0,1.0,0.6666666666666666,0.53125,32.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
15062,15.0,2005-02-16,70,0.0,3.0,5.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,0.0,1.0
14948,11.0,2005-02-11,76,0.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,16.0,0.0,0.0,0.36666666666666664,30.0,2.0,0.0
14940,11.0,2005-02-09,76,0.0,3.0,2.0,1.0,0.6666666666666666,0.5769230769230769,26.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,16.0,0.0,0.0,0.36666666666666664,30.0,6.0,0.0,0.0,0.2,15.0,1.0,1.0
14924,11.0,2005-02-07,76,0.0,3.0,4.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.75,16.0,16.0,0.0,0.0,0.36666666666666664,30.0,6.0,0.0,0.0,0.2,15.0,8.0,0.0,0.0,0.2727272727272727,11.0,0.0,1.0
14851,8.0,2005-02-03,79,0.0,1.0,1.0,1.0,1.0,0.75,16.0,16.0,0.0,0.0,0.36666666666666664,30.0,6.0,0.0,0.0,0.2,15.0,8.0,0.0,0.0,0.2727272727272727,11.0,77.0,0.0,0.0,0.4,20.0,1.0,0.0
14840,8.0,2005-02-02,79,0.0,1.0,16.0,0.0,0.0,0.36666666666666664,30.0,6.0,0.0,0.0,0.2,15.0,8.0,0.0,0.0,0.2727272727272727,11.0,77.0,0.0,0.0,0.4,20.0,63.0,0.0,0.0,0.25,8.0,0.0,1.0
14691,6.0,2005-01-17,61,1.0,3.0,6.0,0.0,0.0,0.2,15.0,8.0,0.0,0.0,0.2727272727272727,11.0,77.0,0.0,0.0,0.4,20.0,63.0,0.0,0.0,0.25,8.0,11.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
14619,4.0,2005-01-11,60,1.0,3.0,8.0,0.0,0.0,0.2727272727272727,11.0,77.0,0.0,0.0,0.4,20.0,63.0,0.0,0.0,0.25,8.0,11.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.631578947368421,19.0,0.0,0.0
14523,1.0,2005-01-03,57,1.0,3.0,77.0,0.0,0.0,0.4,20.0,63.0,0.0,0.0,0.25,8.0,11.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.38461538461538464,13.0,0.0,0.0
14319,62.0,2004-10-18,55,0.0,3.0,63.0,0.0,0.0,0.25,8.0,11.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.38461538461538464,13.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,0.0,0.0
13771,48.0,2004-08-16,25,1.0,0.0,11.0,0.0,0.0,0.3684210526315789,19.0,3.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.38461538461538464,13.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,1.0,1.0,1.0,0.6,20.0,0.0,0.0
13723,46.0,2004-08-05,25,1.0,3.0,3.0,1.0,1.0,0.631578947368421,19.0,12.0,0.0,0.0,0.38461538461538464,13.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,1.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.42857142857142855,35.0,1.0,0.0
13678,46.0,2004-08-02,25,1.0,3.0,12.0,0.0,0.0,0.38461538461538464,13.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,1.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.75,0.5945945945945946,37.0,0.0,1.0
13508,42.0,2004-07-21,21,1.0,3.0,6.0,0.0,0.3333333333333333,0.5151515151515151,33.0,1.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.75,0.5945945945945946,37.0,1.0,1.0,0.6,0.54,50.0,0.0,0.0
13430,40.0,2004-07-15,22,1.0,3.0,1.0,1.0,1.0,0.6,20.0,14.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.75,0.5945945945945946,37.0,1.0,1.0,0.6,0.54,50.0,2.0,1.0,0.75,0.6111111111111112,36.0,1.0,0.0
13422,40.0,2004-07-14,22,1.0,3.0,14.0,0.0,0.0,0.42857142857142855,35.0,2.0,1.0,0.75,0.5945945945945946,37.0,1.0,1.0,0.6,0.54,50.0,2.0,1.0,0.75,0.6111111111111112,36.0,1.0,1.0,1.0,0.75,24.0,0.0,1.0
13280,35.0,2004-06-30,23,1.0,2.0,2.0,1.0,0.75,0.5945945945945946,37.0,1.0,1.0,0.6,0.54,50.0,2.0,1.0,0.75,0.6111111111111112,36.0,1.0,1.0,1.0,0.75,24.0,9.0,0.0,0.3333333333333333,0.4074074074074074,27.0,4.0,0.0
13273,35.0,2004-06-28,23,1.0,2.0,1.0,1.0,0.6,0.54,50.0,2.0,1.0,0.75,0.6111111111111112,36.0,1.0,1.0,1.0,0.75,24.0,9.0,0.0,0.3333333333333333,0.4074074074074074,27.0,5.0,0.0,0.3333333333333333,0.45714285714285713,35.0,3.0,1.0
13264,35.0,2004-06-27,23,1.0,2.0,2.0,1.0,0.75,0.6111111111111112,36.0,1.0,1.0,1.0,0.75,24.0,9.0,0.0,0.3333333333333333,0.4074074074074074,27.0,5.0,0.0,0.3333333333333333,0.45714285714285713,35.0,2.0,1.0,1.0,0.5909090909090909,22.0,2.0,1.0
13252,35.0,2004-06-25,23,1.0,2.0,1.0,1.0,1.0,0.75,24.0,9.0,0.0,0.3333333333333333,0.4074074074074074,27.0,5.0,0.0,0.3333333333333333,0.45714285714285713,35.0,2.0,1.0,1.0,0.5909090909090909,22.0,28.0,0.0,0.0,0.16666666666666666,6.0,1.0,1.0
13207,35.0,2004-06-24,23,1.0,2.0,9.0,0.0,0.3333333333333333,0.4074074074074074,27.0,5.0,0.0,0.3333333333333333,0.45714285714285713,35.0,2.0,1.0,1.0,0.5909090909090909,22.0,28.0,0.0,0.0,0.16666666666666666,6.0,5.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
13108,33.0,2004-06-15,17,1.0,2.0,5.0,0.0,0.3333333333333333,0.45714285714285713,35.0,2.0,1.0,1.0,0.5909090909090909,22.0,28.0,0.0,0.0,0.16666666666666666,6.0,5.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.6153846153846154,26.0,0.0,0.0
13087,32.0,2004-06-10,16,1.0,2.0,2.0,1.0,1.0,0.5909090909090909,22.0,28.0,0.0,0.0,0.16666666666666666,6.0,5.0,0.0,0.0,0.29411764705882354,17.0,3.0,1.0,0.6666666666666666,0.6153846153846154,26.0,14.0,0.0,0.0,0.25,16.0,1.0,0.0
