,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
32815,36.0,2011-06-22,113,1.0,2.0,2.0,1.0,1.0,0.6129032258064516,31.0,4.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.8571428571428571,14.0,1.0,0.0
32745,36.0,2011-06-20,113,1.0,2.0,4.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.8571428571428571,14.0,13.0,0.0,0.0,0.28,25.0,0.0,1.0
32705,34.0,2011-06-16,118,1.0,2.0,2.0,1.0,1.0,0.7058823529411765,17.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.8571428571428571,14.0,13.0,0.0,0.0,0.28,25.0,28.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
32692,34.0,2011-06-14,118,1.0,2.0,7.0,0.0,0.3333333333333333,0.47058823529411764,34.0,1.0,1.0,1.0,0.8571428571428571,14.0,13.0,0.0,0.0,0.28,25.0,28.0,0.0,0.3333333333333333,0.4642857142857143,28.0,22.0,0.0,0.0,0.14285714285714285,14.0,0.0,1.0
32652,33.0,2011-06-07,101,1.0,2.0,1.0,1.0,1.0,0.8571428571428571,14.0,13.0,0.0,0.0,0.28,25.0,28.0,0.0,0.3333333333333333,0.4642857142857143,28.0,22.0,0.0,0.0,0.14285714285714285,14.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
32636,33.0,2011-06-06,101,1.0,2.0,13.0,0.0,0.0,0.28,25.0,28.0,0.0,0.3333333333333333,0.4642857142857143,28.0,22.0,0.0,0.0,0.14285714285714285,14.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.65,20.0,0.0,1.0
32513,31.0,2011-05-24,98,1.0,0.0,28.0,0.0,0.3333333333333333,0.4642857142857143,28.0,22.0,0.0,0.0,0.14285714285714285,14.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.65,20.0,12.0,0.0,0.0,0.4090909090909091,22.0,0.0,0.0
32309,27.0,2011-04-26,92,1.0,0.0,22.0,0.0,0.0,0.14285714285714285,14.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.65,20.0,12.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.56,25.0,0.0,0.0
32111,22.0,2011-04-04,87,1.0,0.0,9.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.65,20.0,12.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.56,25.0,17.0,0.0,0.3333333333333333,0.44,25.0,0.0,0.0
32045,20.0,2011-03-26,87,1.0,3.0,1.0,1.0,1.0,0.65,20.0,12.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.56,25.0,17.0,0.0,0.3333333333333333,0.44,25.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
32019,20.0,2011-03-25,87,1.0,3.0,12.0,0.0,0.0,0.4090909090909091,22.0,3.0,1.0,1.0,0.56,25.0,17.0,0.0,0.3333333333333333,0.44,25.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,13.0,0.0,0.3333333333333333,0.4827586206896552,29.0,0.0,1.0
31934,19.0,2011-03-13,83,1.0,3.0,3.0,1.0,1.0,0.56,25.0,17.0,0.0,0.3333333333333333,0.44,25.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,13.0,0.0,0.3333333333333333,0.4827586206896552,29.0,16.0,0.0,0.0,0.25,24.0,1.0,0.0
31901,19.0,2011-03-10,83,1.0,3.0,17.0,0.0,0.3333333333333333,0.44,25.0,6.0,0.0,0.3333333333333333,0.4642857142857143,28.0,13.0,0.0,0.3333333333333333,0.4827586206896552,29.0,16.0,0.0,0.0,0.25,24.0,13.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
