,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
31540,7.0,2011-02-01,127,1.0,3.0,185.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5,30.0,60.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
30384,42.0,2010-07-31,147,1.0,0.0,1.0,1.0,0.6666666666666666,0.5,30.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5,30.0,60.0,0.0,0.0,0.3333333333333333,27.0,4.0,1.0,0.75,0.5675675675675675,37.0,3.0,0.0
30380,42.0,2010-07-30,147,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5,30.0,60.0,0.0,0.0,0.3333333333333333,27.0,4.0,1.0,0.75,0.5675675675675675,37.0,209.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0
30375,42.0,2010-07-29,147,1.0,0.0,2.0,1.0,0.6666666666666666,0.5,30.0,60.0,0.0,0.0,0.3333333333333333,27.0,4.0,1.0,0.75,0.5675675675675675,37.0,209.0,0.0,0.0,0.4090909090909091,22.0,386.0,0.0,0.3333333333333333,0.48484848484848486,33.0,1.0,1.0
30367,42.0,2010-07-27,147,1.0,0.0,60.0,0.0,0.0,0.3333333333333333,27.0,4.0,1.0,0.75,0.5675675675675675,37.0,209.0,0.0,0.0,0.4090909090909091,22.0,386.0,0.0,0.3333333333333333,0.48484848484848486,33.0,84.0,0.0,0.0,0.43478260869565216,23.0,0.0,1.0
29880,31.0,2010-05-28,175,1.0,0.0,4.0,1.0,0.75,0.5675675675675675,37.0,209.0,0.0,0.0,0.4090909090909091,22.0,386.0,0.0,0.3333333333333333,0.48484848484848486,33.0,84.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3333333333333333,18.0,1.0,0.0
29835,31.0,2010-05-24,175,1.0,0.0,209.0,0.0,0.0,0.4090909090909091,22.0,386.0,0.0,0.3333333333333333,0.48484848484848486,33.0,84.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,0.0,1.0
28402,59.0,2009-10-27,218,0.0,3.0,386.0,0.0,0.3333333333333333,0.48484848484848486,33.0,84.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,69.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
25556,57.0,2008-10-06,187,0.0,1.0,84.0,0.0,0.0,0.43478260869565216,23.0,4.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,69.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
24933,42.0,2008-07-14,150,1.0,0.0,4.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,0.6666666666666666,0.5483870967741935,31.0,69.0,0.0,0.0,0.3684210526315789,19.0,2.0,1.0,1.0,0.6666666666666666,18.0,12.0,0.0,0.0,0.3333333333333333,15.0,0.0,0.0
