,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
35616,40.0,2012-07-10,139,1.0,0.0,38.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.75,0.525,40.0,2.0,1.0,1.0,0.72,25.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6190476190476191,21.0,0.0,0.0
35266,32.0,2012-06-02,192,1.0,0.0,2.0,1.0,0.75,0.525,40.0,2.0,1.0,1.0,0.72,25.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,0.0
35243,32.0,2012-05-31,192,1.0,0.0,2.0,1.0,1.0,0.72,25.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,1.0,1.0
35202,32.0,2012-05-29,192,1.0,0.0,27.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,425.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0
34951,26.0,2012-05-02,179,1.0,0.0,1.0,1.0,1.0,0.6190476190476191,21.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,425.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0,0.0,0.45,20.0,1.0,0.0
34944,26.0,2012-05-01,179,1.0,0.0,6.0,0.0,0.3333333333333333,0.4375,32.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,425.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0,0.0,0.45,20.0,6.0,0.0,0.0,0.38095238095238093,21.0,0.0,1.0
34888,24.0,2012-04-25,189,1.0,0.0,2.0,1.0,0.6666666666666666,0.5833333333333334,24.0,425.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0,0.0,0.45,20.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5652173913043478,23.0,1.0,0.0
34865,24.0,2012-04-23,189,1.0,0.0,425.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,1.0,0.0,0.45,20.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,0.0,1.0
31817,16.0,2011-02-23,104,1.0,0.0,0.0,1.0,0.0,0.45,20.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,8.0,0.0,0.0,0.4090909090909091,22.0,1.0,0.0
31811,16.0,2011-02-23,104,1.0,0.0,6.0,0.0,0.0,0.38095238095238093,21.0,2.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,8.0,0.0,0.0,0.4090909090909091,22.0,11.0,0.0,0.0,0.36666666666666664,30.0,0.0,1.0
31730,13.0,2011-02-17,111,1.0,0.0,2.0,1.0,1.0,0.5652173913043478,23.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,8.0,0.0,0.0,0.4090909090909091,22.0,11.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,1.0,0.75,24.0,1.0,0.0
31719,13.0,2011-02-15,111,1.0,0.0,7.0,0.0,0.3333333333333333,0.47368421052631576,38.0,8.0,0.0,0.0,0.4090909090909091,22.0,11.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,1.0,0.75,24.0,15.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
31627,10.0,2011-02-08,111,1.0,0.0,8.0,0.0,0.0,0.4090909090909091,22.0,11.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,1.0,0.75,24.0,15.0,0.0,0.0,0.3684210526315789,19.0,61.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
