,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46626,54.0,2016-09-19,63,0.0,3.0,20.0,0.0,0.0,0.42424242424242425,33.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.8571428571428571,14.0,56.0,0.0,0.4,0.4888888888888889,45.0,0.0,0.0
46524,52.0,2016-08-30,69,1.0,3.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.8571428571428571,14.0,56.0,0.0,0.4,0.4888888888888889,45.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
46457,51.0,2016-08-24,68,1.0,3.0,1.0,1.0,1.0,0.65,20.0,1.0,1.0,1.0,0.8571428571428571,14.0,56.0,0.0,0.4,0.4888888888888889,45.0,7.0,0.0,0.0,0.2,15.0,28.0,0.0,0.25,0.38235294117647056,34.0,2.0,0.0
46446,51.0,2016-08-23,68,1.0,3.0,1.0,1.0,1.0,0.8571428571428571,14.0,56.0,0.0,0.4,0.4888888888888889,45.0,7.0,0.0,0.0,0.2,15.0,28.0,0.0,0.25,0.38235294117647056,34.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0
46437,51.0,2016-08-22,68,1.0,3.0,56.0,0.0,0.4,0.4888888888888889,45.0,7.0,0.0,0.0,0.2,15.0,28.0,0.0,0.25,0.38235294117647056,34.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.65,20.0,0.0,1.0
45944,39.0,2016-06-27,71,1.0,2.0,7.0,0.0,0.0,0.2,15.0,28.0,0.0,0.25,0.38235294117647056,34.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.65,20.0,15.0,1.0,0.6666666666666666,0.59375,32.0,0.0,0.0
45878,38.0,2016-06-20,72,1.0,2.0,28.0,0.0,0.25,0.38235294117647056,34.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.65,20.0,15.0,1.0,0.6666666666666666,0.59375,32.0,1.0,1.0,0.6666666666666666,0.6,30.0,0.0,0.0
45647,33.0,2016-05-23,63,1.0,0.0,6.0,0.0,0.0,0.4090909090909091,22.0,1.0,1.0,1.0,0.65,20.0,15.0,1.0,0.6666666666666666,0.59375,32.0,1.0,1.0,0.6666666666666666,0.6,30.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
45615,32.0,2016-05-17,65,1.0,0.0,1.0,1.0,1.0,0.65,20.0,15.0,1.0,0.6666666666666666,0.59375,32.0,1.0,1.0,0.6666666666666666,0.6,30.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.75,16.0,1.0,0.0
45607,32.0,2016-05-16,65,1.0,0.0,15.0,1.0,0.6666666666666666,0.59375,32.0,1.0,1.0,0.6666666666666666,0.6,30.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.7058823529411765,17.0,0.0,1.0
45438,27.0,2016-05-01,87,1.0,0.0,1.0,1.0,0.6666666666666666,0.6,30.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.0,0.3684210526315789,19.0,4.0,1.0
45437,27.0,2016-04-30,87,1.0,0.0,1.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.0,12.0,3.0,1.0
45432,27.0,2016-04-29,87,1.0,0.0,1.0,1.0,1.0,0.75,16.0,3.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.0,12.0,13.0,0.0,0.3333333333333333,0.5,30.0,2.0,1.0
45429,27.0,2016-04-28,87,1.0,0.0,3.0,1.0,1.0,0.7058823529411765,17.0,6.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.0,12.0,13.0,0.0,0.3333333333333333,0.5,30.0,13.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0
45413,27.0,2016-04-25,87,1.0,0.0,6.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.0,12.0,13.0,0.0,0.3333333333333333,0.5,30.0,13.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0
45363,25.0,2016-04-19,90,1.0,0.0,14.0,0.0,0.0,0.0,12.0,13.0,0.0,0.3333333333333333,0.5,30.0,13.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,1.0,1.0,0.6666666666666666,15.0,0.0,0.0
45205,21.0,2016-04-05,88,1.0,0.0,13.0,0.0,0.3333333333333333,0.5,30.0,13.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,1.0,1.0,0.6666666666666666,15.0,6.0,0.0,0.0,0.4166666666666667,24.0,0.0,0.0
45118,20.0,2016-03-23,85,1.0,3.0,13.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,1.0,1.0,0.6666666666666666,15.0,6.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
45018,19.0,2016-03-10,84,1.0,3.0,14.0,0.0,0.3333333333333333,0.4444444444444444,27.0,2.0,1.0,1.0,0.6666666666666666,15.0,6.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,0.0,0.0
44998,18.0,2016-02-25,83,0.0,0.0,2.0,1.0,1.0,0.6666666666666666,15.0,6.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,1.0,0.0
44990,18.0,2016-02-23,83,0.0,0.0,6.0,0.0,0.0,0.4166666666666667,24.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,20.0,0.0,0.6666666666666666,0.48717948717948717,39.0,0.0,1.0
44908,15.0,2016-02-17,90,1.0,0.0,1.0,1.0,1.0,0.7058823529411765,17.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,20.0,0.0,0.6666666666666666,0.48717948717948717,39.0,139.0,0.0,0.0,0.4117647058823529,34.0,1.0,0.0
44896,15.0,2016-02-16,90,1.0,0.0,5.0,0.0,0.3333333333333333,0.38461538461538464,26.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,20.0,0.0,0.6666666666666666,0.48717948717948717,39.0,139.0,0.0,0.0,0.4117647058823529,34.0,2.0,1.0,1.0,0.72,25.0,0.0,1.0
44767,10.0,2016-02-11,89,1.0,0.0,3.0,1.0,0.6666666666666666,0.5483870967741935,31.0,20.0,0.0,0.6666666666666666,0.48717948717948717,39.0,139.0,0.0,0.0,0.4117647058823529,34.0,2.0,1.0,1.0,0.72,25.0,5.0,0.0,0.0,0.2,15.0,1.0,0.0
44751,10.0,2016-02-08,89,1.0,0.0,20.0,0.0,0.6666666666666666,0.48717948717948717,39.0,139.0,0.0,0.0,0.4117647058823529,34.0,2.0,1.0,1.0,0.72,25.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,1.0
44575,6.0,2016-01-19,89,1.0,3.0,139.0,0.0,0.0,0.4117647058823529,34.0,2.0,1.0,1.0,0.72,25.0,5.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5294117647058824,34.0,2.0,1.0,1.0,0.5652173913043478,23.0,0.0,0.0
