,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46492,52.0,2016-08-29,80,1.0,3.0,35.0,0.0,0.3333333333333333,0.4074074074074074,27.0,6.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
46269,47.0,2016-07-25,60,1.0,3.0,6.0,0.0,0.0,0.3684210526315789,19.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.18181818181818182,22.0,0.0,0.0
46219,46.0,2016-07-19,62,1.0,3.0,5.0,0.0,0.0,0.35,20.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.18181818181818182,22.0,4.0,0.0,0.3333333333333333,0.46875,32.0,0.0,0.0
46125,42.0,2016-07-14,65,1.0,2.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.18181818181818182,22.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,2.0,0.0
46122,42.0,2016-07-13,65,1.0,2.0,2.0,1.0,1.0,0.7058823529411765,17.0,14.0,0.0,0.0,0.18181818181818182,22.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0
46105,42.0,2016-07-11,65,1.0,2.0,14.0,0.0,0.0,0.18181818181818182,22.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,0.0,1.0
45932,39.0,2016-06-27,63,1.0,2.0,4.0,0.0,0.3333333333333333,0.46875,32.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,11.0,0.0,0.0,0.4,20.0,0.0,0.0
45915,38.0,2016-06-23,71,1.0,2.0,1.0,1.0,0.6666666666666666,0.5185185185185185,27.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5263157894736842,38.0,3.0,0.0
45907,38.0,2016-06-22,71,1.0,2.0,1.0,1.0,1.0,0.5909090909090909,22.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5263157894736842,38.0,15.0,0.0,0.4,0.48214285714285715,56.0,2.0,1.0
45890,38.0,2016-06-21,71,1.0,2.0,1.0,1.0,0.6666666666666666,0.5925925925925926,27.0,11.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5263157894736842,38.0,15.0,0.0,0.4,0.48214285714285715,56.0,8.0,0.0,0.0,0.25,16.0,1.0,1.0
