,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46605,53.0,2016-09-21,92,0.0,3.0,20.0,0.0,0.0,0.24,25.0,3.0,1.0,0.75,0.5833333333333334,36.0,8.0,0.0,0.0,0.29411764705882354,17.0,33.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.3870967741935484,31.0,0.0,0.0
46550,52.0,2016-09-01,87,1.0,3.0,3.0,1.0,0.75,0.5833333333333334,36.0,8.0,0.0,0.0,0.29411764705882354,17.0,33.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,1.0,0.75,24.0,1.0,0.0
46481,52.0,2016-08-29,87,1.0,3.0,8.0,0.0,0.0,0.29411764705882354,17.0,33.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,1.0,0.75,24.0,3.0,0.0,0.0,0.4,20.0,0.0,1.0
46426,51.0,2016-08-21,88,1.0,3.0,33.0,0.0,0.0,0.4,20.0,19.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,1.0,0.75,24.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,0.0
46197,45.0,2016-07-19,52,1.0,0.0,19.0,0.0,0.0,0.3870967741935484,31.0,3.0,1.0,1.0,0.75,24.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,0.0,0.0
45997,39.0,2016-06-30,45,1.0,2.0,3.0,1.0,1.0,0.75,24.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,1.0,0.0
45937,39.0,2016-06-27,45,1.0,2.0,3.0,0.0,0.0,0.4,20.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
45918,38.0,2016-06-24,57,1.0,2.0,1.0,1.0,0.6666666666666666,0.53125,32.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.8,15.0,3.0,0.0
45915,38.0,2016-06-23,57,1.0,2.0,1.0,1.0,1.0,0.7058823529411765,17.0,1.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0
45905,38.0,2016-06-22,57,1.0,2.0,1.0,1.0,1.0,0.6190476190476191,21.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.4,20.0,1.0,1.0
45898,38.0,2016-06-21,57,1.0,2.0,4.0,0.0,0.0,0.4090909090909091,22.0,2.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0
45838,36.0,2016-06-17,40,1.0,2.0,2.0,1.0,1.0,0.8,15.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.3870967741935484,31.0,5.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
45828,36.0,2016-06-15,40,1.0,2.0,2.0,1.0,1.0,0.631578947368421,19.0,6.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.3870967741935484,31.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0
45815,36.0,2016-06-13,40,1.0,2.0,6.0,0.0,0.0,0.4,20.0,14.0,0.0,0.0,0.3870967741935484,31.0,5.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,1.0,1.0,0.6666666666666666,0.5428571428571428,35.0,0.0,1.0
