,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46322,48.0,2016-08-02,114,1.0,3.0,13.0,0.0,0.3333333333333333,0.42857142857142855,28.0,2.0,1.0,1.0,0.65,20.0,6.0,0.0,0.3333333333333333,0.5,26.0,13.0,0.0,0.0,0.3870967741935484,31.0,20.0,0.0,0.0,0.46153846153846156,26.0,0.0,0.0
46171,44.0,2016-07-20,115,1.0,0.0,2.0,1.0,1.0,0.65,20.0,6.0,0.0,0.3333333333333333,0.5,26.0,13.0,0.0,0.0,0.3870967741935484,31.0,20.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.75,16.0,1.0,0.0
46159,44.0,2016-07-18,115,1.0,0.0,6.0,0.0,0.3333333333333333,0.5,26.0,13.0,0.0,0.0,0.3870967741935484,31.0,20.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.75,16.0,13.0,0.0,0.0,0.25,24.0,0.0,1.0
46081,41.0,2016-07-12,116,1.0,0.0,13.0,0.0,0.0,0.3870967741935484,31.0,20.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.75,16.0,13.0,0.0,0.0,0.25,24.0,3.0,1.0,1.0,0.6785714285714286,28.0,0.0,0.0
45975,39.0,2016-06-29,118,1.0,2.0,20.0,0.0,0.0,0.46153846153846156,26.0,2.0,1.0,1.0,0.75,16.0,13.0,0.0,0.0,0.25,24.0,3.0,1.0,1.0,0.6785714285714286,28.0,24.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
45802,35.0,2016-06-09,118,1.0,2.0,2.0,1.0,1.0,0.75,16.0,13.0,0.0,0.0,0.25,24.0,3.0,1.0,1.0,0.6785714285714286,28.0,24.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
45790,35.0,2016-06-07,118,1.0,2.0,13.0,0.0,0.0,0.25,24.0,3.0,1.0,1.0,0.6785714285714286,28.0,24.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,302.0,0.0,0.0,0.3870967741935484,31.0,0.0,1.0
45704,33.0,2016-05-25,123,1.0,0.0,3.0,1.0,1.0,0.6785714285714286,28.0,24.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,302.0,0.0,0.0,0.3870967741935484,31.0,37.0,0.0,0.0,0.42424242424242425,33.0,1.0,0.0
45632,33.0,2016-05-22,123,1.0,0.0,24.0,0.0,0.0,0.3684210526315789,19.0,1.0,1.0,1.0,0.6666666666666666,18.0,302.0,0.0,0.0,0.3870967741935484,31.0,37.0,0.0,0.0,0.42424242424242425,33.0,69.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
45453,28.0,2016-04-28,131,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,302.0,0.0,0.0,0.3870967741935484,31.0,37.0,0.0,0.0,0.42424242424242425,33.0,69.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,0.6666666666666666,0.5555555555555556,27.0,1.0,0.0
45447,28.0,2016-04-27,131,1.0,0.0,302.0,0.0,0.0,0.3870967741935484,31.0,37.0,0.0,0.0,0.42424242424242425,33.0,69.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,0.6666666666666666,0.5555555555555556,27.0,16.0,0.0,0.0,0.4090909090909091,22.0,0.0,1.0
43337,39.0,2015-06-30,170,1.0,2.0,37.0,0.0,0.0,0.42424242424242425,33.0,69.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,0.6666666666666666,0.5555555555555556,27.0,16.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.3157894736842105,19.0,0.0,0.0
43010,33.0,2015-05-24,166,1.0,0.0,69.0,0.0,0.0,0.3333333333333333,18.0,3.0,1.0,0.6666666666666666,0.5555555555555556,27.0,16.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.3157894736842105,19.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,0.0,0.0
42443,19.0,2015-03-16,134,1.0,3.0,3.0,1.0,0.6666666666666666,0.5555555555555556,27.0,16.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.3157894736842105,19.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,4.0,0.0,0.3333333333333333,0.5,28.0,1.0,0.0
42403,19.0,2015-03-13,134,1.0,3.0,16.0,0.0,0.0,0.4090909090909091,22.0,8.0,0.0,0.0,0.3157894736842105,19.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,4.0,0.0,0.3333333333333333,0.5,28.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,0.0,1.0
42308,16.0,2015-02-25,132,1.0,3.0,8.0,0.0,0.0,0.3157894736842105,19.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,4.0,0.0,0.3333333333333333,0.5,28.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
42214,13.0,2015-02-17,133,1.0,3.0,7.0,0.0,0.3333333333333333,0.4074074074074074,27.0,4.0,0.0,0.3333333333333333,0.5,28.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,16.0,0.0,0.4,0.5,54.0,0.0,0.0
42124,10.0,2015-02-10,89,0.0,3.0,4.0,0.0,0.3333333333333333,0.5,28.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,16.0,0.0,0.4,0.5,54.0,6.0,0.0,0.0,0.2,15.0,0.0,0.0
42115,9.0,2015-02-06,100,0.0,3.0,1.0,1.0,0.6666666666666666,0.5666666666666667,30.0,1.0,1.0,1.0,0.5909090909090909,22.0,16.0,0.0,0.4,0.5,54.0,6.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,2.0,0.0
42111,9.0,2015-02-05,100,0.0,3.0,1.0,1.0,1.0,0.5909090909090909,22.0,16.0,0.0,0.4,0.5,54.0,6.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,84.0,0.0,0.3333333333333333,0.5161290322580645,31.0,1.0,1.0
42100,9.0,2015-02-04,100,0.0,3.0,16.0,0.0,0.4,0.5,54.0,6.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,84.0,0.0,0.3333333333333333,0.5161290322580645,31.0,26.0,0.0,0.3333333333333333,0.4838709677419355,31.0,0.0,1.0
41911,6.0,2015-01-19,84,1.0,3.0,6.0,0.0,0.0,0.2,15.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,84.0,0.0,0.3333333333333333,0.5161290322580645,31.0,26.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,1.0,1.0,0.9090909090909091,11.0,0.0,0.0
41889,5.0,2015-01-13,81,1.0,3.0,7.0,0.0,0.3333333333333333,0.4482758620689655,29.0,84.0,0.0,0.3333333333333333,0.5161290322580645,31.0,26.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,1.0,1.0,0.9090909090909091,11.0,21.0,0.0,0.25,0.42857142857142855,35.0,0.0,0.0
41802,2.0,2015-01-06,81,1.0,3.0,84.0,0.0,0.3333333333333333,0.5161290322580645,31.0,26.0,0.0,0.3333333333333333,0.4838709677419355,31.0,2.0,1.0,1.0,0.9090909090909091,11.0,21.0,0.0,0.25,0.42857142857142855,35.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
