,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46622,53.0,2016-09-24,28,0.0,3.0,1.0,1.0,1.0,0.6842105263157895,19.0,1.0,1.0,0.6666666666666666,0.5625,32.0,21.0,0.0,0.4,0.45098039215686275,51.0,2.0,1.0,1.0,0.6923076923076923,26.0,7.0,0.0,0.0,0.35,20.0,2.0,0.0
46618,53.0,2016-09-23,28,0.0,3.0,1.0,1.0,0.6666666666666666,0.5625,32.0,21.0,0.0,0.4,0.45098039215686275,51.0,2.0,1.0,1.0,0.6923076923076923,26.0,7.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.25,16.0,1.0,1.0
46614,53.0,2016-09-22,28,0.0,3.0,21.0,0.0,0.4,0.45098039215686275,51.0,2.0,1.0,1.0,0.6923076923076923,26.0,7.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.25,16.0,25.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
46557,52.0,2016-09-01,31,1.0,3.0,2.0,1.0,1.0,0.6923076923076923,26.0,7.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.25,16.0,25.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.25,0.4523809523809524,42.0,1.0,0.0
46529,52.0,2016-08-30,31,1.0,3.0,7.0,0.0,0.0,0.35,20.0,7.0,0.0,0.0,0.25,16.0,25.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.25,0.4523809523809524,42.0,3.0,1.0,0.75,0.5609756097560976,41.0,0.0,1.0
46446,51.0,2016-08-23,32,1.0,3.0,7.0,0.0,0.0,0.25,16.0,25.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.25,0.4523809523809524,42.0,3.0,1.0,0.75,0.5609756097560976,41.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,0.0,0.0
46376,50.0,2016-08-16,31,1.0,3.0,25.0,0.0,0.0,0.3333333333333333,18.0,22.0,0.0,0.25,0.4523809523809524,42.0,3.0,1.0,0.75,0.5609756097560976,41.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,5.0,0.0,0.3333333333333333,0.35714285714285715,28.0,0.0,0.0
46151,43.0,2016-07-22,30,1.0,0.0,22.0,0.0,0.25,0.4523809523809524,42.0,3.0,1.0,0.75,0.5609756097560976,41.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,5.0,0.0,0.3333333333333333,0.35714285714285715,28.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,0.0,0.0
45999,39.0,2016-06-30,20,1.0,2.0,3.0,1.0,0.75,0.5609756097560976,41.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,5.0,0.0,0.3333333333333333,0.35714285714285715,28.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,13.0,0.0,0.0,0.3076923076923077,26.0,1.0,0.0
45930,39.0,2016-06-27,20,1.0,2.0,12.0,0.0,0.3333333333333333,0.4230769230769231,26.0,5.0,0.0,0.3333333333333333,0.35714285714285715,28.0,1.0,1.0,0.6666666666666666,0.5714285714285714,28.0,13.0,0.0,0.0,0.3076923076923077,26.0,2.0,1.0,0.6,0.4807692307692308,52.0,0.0,1.0
