,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46344,49.0,2016-08-10,114,1.0,3.0,7.0,0.0,0.3333333333333333,0.46875,32.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,7.0,0.0,0.3333333333333333,0.36,25.0,6.0,0.0,0.0,0.3157894736842105,19.0,102.0,0.0,0.0,0.29411764705882354,17.0,0.0,0.0
46328,48.0,2016-08-03,116,1.0,3.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,7.0,0.0,0.3333333333333333,0.36,25.0,6.0,0.0,0.0,0.3157894736842105,19.0,102.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,1.0,0.0
46315,48.0,2016-08-01,116,1.0,3.0,7.0,0.0,0.3333333333333333,0.36,25.0,6.0,0.0,0.0,0.3157894736842105,19.0,102.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,0.0,1.0
46264,47.0,2016-07-25,119,1.0,3.0,6.0,0.0,0.0,0.3157894736842105,19.0,102.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,8.0,0.0,0.0,0.4,20.0,0.0,0.0
46214,46.0,2016-07-19,120,1.0,3.0,102.0,0.0,0.0,0.29411764705882354,17.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,8.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,0.0,0.0
45223,21.0,2016-04-08,125,1.0,0.0,1.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,8.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,2.0,0.0
45218,21.0,2016-04-07,125,1.0,0.0,2.0,1.0,0.6666666666666666,0.5151515151515151,33.0,8.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,13.0,0.0,0.0,0.25,16.0,1.0,1.0
45206,21.0,2016-04-05,125,1.0,0.0,8.0,0.0,0.0,0.4,20.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,13.0,0.0,0.0,0.25,16.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,0.0,1.0
45183,20.0,2016-03-28,132,1.0,3.0,2.0,1.0,0.6666666666666666,0.5172413793103449,29.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,13.0,0.0,0.0,0.25,16.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,0.6666666666666666,0.5,28.0,2.0,0.0
45167,20.0,2016-03-26,132,1.0,3.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,13.0,0.0,0.0,0.25,16.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,0.6666666666666666,0.5,28.0,2.0,1.0,1.0,0.6666666666666666,18.0,1.0,1.0
45128,20.0,2016-03-24,132,1.0,3.0,13.0,0.0,0.0,0.25,16.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,0.6666666666666666,0.5,28.0,2.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,0.0,1.0
45027,19.0,2016-03-11,116,1.0,3.0,21.0,0.0,0.3333333333333333,0.4722222222222222,36.0,1.0,1.0,0.6666666666666666,0.5,28.0,2.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,20.0,0.0,0.0,0.4444444444444444,36.0,0.0,0.0
44860,13.0,2016-02-19,129,1.0,3.0,1.0,1.0,0.6666666666666666,0.5,28.0,2.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,20.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.75,0.6363636363636364,33.0,2.0,0.0
44854,13.0,2016-02-18,129,1.0,3.0,2.0,1.0,1.0,0.6666666666666666,18.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,20.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.75,0.6363636363636364,33.0,141.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0
44848,13.0,2016-02-16,129,1.0,3.0,6.0,0.0,0.3333333333333333,0.42857142857142855,28.0,20.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.75,0.6363636363636364,33.0,141.0,0.0,0.0,0.36666666666666664,30.0,26.0,0.0,0.0,0.3333333333333333,18.0,0.0,1.0
44786,11.0,2016-02-10,128,0.0,3.0,20.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.75,0.6363636363636364,33.0,141.0,0.0,0.0,0.36666666666666664,30.0,26.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.4,20.0,0.0,0.0
44629,6.0,2016-01-21,108,1.0,3.0,2.0,1.0,0.75,0.6363636363636364,33.0,141.0,0.0,0.0,0.36666666666666664,30.0,26.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.4,20.0,15.0,0.0,0.0,0.3684210526315789,19.0,1.0,0.0
44592,6.0,2016-01-19,108,1.0,3.0,141.0,0.0,0.0,0.36666666666666664,30.0,26.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.4,20.0,15.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.3333333333333333,27.0,0.0,1.0
43858,52.0,2015-08-31,99,1.0,3.0,26.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.4,20.0,15.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.25,16.0,0.0,0.0
43655,48.0,2015-08-05,80,1.0,3.0,7.0,0.0,0.0,0.4,20.0,15.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5185185185185185,27.0,0.0,0.0
43539,44.0,2015-07-29,75,1.0,3.0,15.0,0.0,0.0,0.3684210526315789,19.0,14.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5185185185185185,27.0,28.0,0.0,0.0,0.35714285714285715,28.0,0.0,0.0
43426,40.0,2015-07-14,75,1.0,2.0,14.0,0.0,0.0,0.3333333333333333,27.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5185185185185185,27.0,28.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.2,15.0,0.0,0.0
43333,39.0,2015-06-30,77,1.0,2.0,7.0,0.0,0.0,0.25,16.0,0.0,1.0,0.6666666666666666,0.5185185185185185,27.0,28.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.2,15.0,42.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
43266,38.0,2015-06-23,72,1.0,2.0,0.0,1.0,0.6666666666666666,0.5185185185185185,27.0,28.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.2,15.0,42.0,0.0,0.0,0.3333333333333333,18.0,10.0,0.0,0.3333333333333333,0.4642857142857143,28.0,1.0,0.0
43258,38.0,2015-06-23,72,1.0,2.0,28.0,0.0,0.0,0.35714285714285715,28.0,7.0,0.0,0.0,0.2,15.0,42.0,0.0,0.0,0.3333333333333333,18.0,10.0,0.0,0.3333333333333333,0.4642857142857143,28.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,0.0,1.0
43054,33.0,2015-05-26,73,1.0,0.0,7.0,0.0,0.0,0.2,15.0,42.0,0.0,0.0,0.3333333333333333,18.0,10.0,0.0,0.3333333333333333,0.4642857142857143,28.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,11.0,0.0,0.0,0.25,16.0,0.0,0.0
42983,32.0,2015-05-19,72,1.0,0.0,42.0,0.0,0.0,0.3333333333333333,18.0,10.0,0.0,0.3333333333333333,0.4642857142857143,28.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,11.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,0.0,0.0
42604,22.0,2015-04-07,68,1.0,0.0,10.0,0.0,0.3333333333333333,0.4642857142857143,28.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,11.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.3333333333333333,18.0,0.0,0.0
42526,20.0,2015-03-28,75,1.0,3.0,3.0,1.0,0.6666666666666666,0.5517241379310345,29.0,11.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.65,20.0,1.0,0.0
42488,20.0,2015-03-25,75,1.0,3.0,11.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.65,20.0,27.0,0.0,0.4,0.45098039215686275,51.0,0.0,1.0
42415,19.0,2015-03-14,82,1.0,3.0,2.0,1.0,1.0,0.5909090909090909,22.0,21.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.65,20.0,27.0,0.0,0.4,0.45098039215686275,51.0,2.0,1.0,1.0,0.5714285714285714,35.0,1.0,0.0
42382,19.0,2015-03-12,82,1.0,3.0,21.0,0.0,0.0,0.3333333333333333,18.0,2.0,1.0,1.0,0.65,20.0,27.0,0.0,0.4,0.45098039215686275,51.0,2.0,1.0,1.0,0.5714285714285714,35.0,143.0,0.0,0.0,0.25,24.0,0.0,1.0
42225,13.0,2015-02-19,80,1.0,3.0,2.0,1.0,1.0,0.65,20.0,27.0,0.0,0.4,0.45098039215686275,51.0,2.0,1.0,1.0,0.5714285714285714,35.0,143.0,0.0,0.0,0.25,24.0,3.0,1.0,0.75,0.575,40.0,1.0,0.0
