,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46584,52.0,2016-09-04,27,1.0,3.0,2.0,1.0,1.0,0.6428571428571429,28.0,2.0,1.0,1.0,0.8181818181818182,22.0,2.0,1.0,0.6,0.47058823529411764,51.0,32.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,3.0,0.0
46569,52.0,2016-09-02,27,1.0,3.0,2.0,1.0,1.0,0.8181818181818182,22.0,2.0,1.0,0.6,0.47058823529411764,51.0,32.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.75,16.0,2.0,1.0
46546,52.0,2016-08-31,27,1.0,3.0,2.0,1.0,0.6,0.47058823529411764,51.0,32.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.75,16.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0
46496,52.0,2016-08-29,27,1.0,3.0,32.0,0.0,0.0,0.38095238095238093,21.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.75,16.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0
46302,47.0,2016-07-28,26,1.0,3.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.75,16.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0,1.0,0.5652173913043478,23.0,2.0,0.0
46296,47.0,2016-07-27,26,1.0,3.0,2.0,1.0,1.0,0.75,16.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.4444444444444444,36.0,1.0,1.0
46270,47.0,2016-07-25,26,1.0,3.0,3.0,0.0,0.0,0.46153846153846156,26.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.75,0.6153846153846154,39.0,0.0,1.0
46253,46.0,2016-07-22,26,1.0,3.0,1.0,1.0,1.0,0.6842105263157895,19.0,0.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.75,0.6153846153846154,39.0,3.0,1.0,1.0,0.6,30.0,2.0,0.0
46247,46.0,2016-07-21,26,1.0,3.0,0.0,1.0,1.0,0.5652173913043478,23.0,19.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.75,0.6153846153846154,39.0,3.0,1.0,1.0,0.6,30.0,31.0,0.0,0.4,0.4716981132075472,53.0,1.0,1.0
46242,46.0,2016-07-21,26,1.0,3.0,19.0,0.0,0.0,0.4444444444444444,36.0,2.0,1.0,0.75,0.6153846153846154,39.0,3.0,1.0,1.0,0.6,30.0,31.0,0.0,0.4,0.4716981132075472,53.0,2.0,1.0,1.0,0.6333333333333333,30.0,0.0,1.0
