,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
32928,38.0,2011-07-17,5,1.0,0.0,1.0,1.0,1.0,0.9230769230769231,13.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.9230769230769231,13.0,18.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.6,0.5185185185185185,54.0,3.0,1.0
32926,38.0,2011-07-16,5,1.0,0.0,1.0,1.0,1.0,0.631578947368421,19.0,2.0,1.0,1.0,0.9230769230769231,13.0,18.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.6,0.5185185185185185,54.0,2.0,1.0,0.75,0.5121951219512195,41.0,2.0,1.0
32923,38.0,2011-07-15,5,1.0,0.0,2.0,1.0,1.0,0.9230769230769231,13.0,18.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.6,0.5185185185185185,54.0,2.0,1.0,0.75,0.5121951219512195,41.0,20.0,0.0,0.0,0.36666666666666664,30.0,1.0,1.0
32916,38.0,2011-07-13,5,1.0,0.0,18.0,0.0,0.0,0.3448275862068966,29.0,2.0,1.0,0.6,0.5185185185185185,54.0,2.0,1.0,0.75,0.5121951219512195,41.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,1.0,0.6333333333333333,30.0,0.0,1.0
32853,36.0,2011-06-25,5,1.0,2.0,2.0,1.0,0.6,0.5185185185185185,54.0,2.0,1.0,0.75,0.5121951219512195,41.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,1.0,0.6923076923076923,26.0,2.0,0.0
32824,36.0,2011-06-23,5,1.0,2.0,2.0,1.0,0.75,0.5121951219512195,41.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,1.0,0.6923076923076923,26.0,2.0,1.0,1.0,0.6206896551724138,29.0,1.0,1.0
32795,36.0,2011-06-21,5,1.0,2.0,20.0,0.0,0.0,0.36666666666666664,30.0,2.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,1.0,0.6923076923076923,26.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,1.0,0.75,0.6097560975609756,41.0,0.0,1.0
32592,31.0,2011-06-01,5,1.0,0.0,2.0,1.0,1.0,0.6333333333333333,30.0,2.0,1.0,1.0,0.6923076923076923,26.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,1.0,0.75,0.6097560975609756,41.0,11.0,0.0,0.0,0.2,15.0,4.0,0.0
32587,31.0,2011-05-30,5,1.0,0.0,2.0,1.0,1.0,0.6923076923076923,26.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,1.0,0.75,0.6097560975609756,41.0,11.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,3.0,1.0
32580,31.0,2011-05-28,5,1.0,0.0,2.0,1.0,1.0,0.6206896551724138,29.0,2.0,1.0,0.75,0.6097560975609756,41.0,11.0,0.0,0.0,0.2,15.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,2.0,1.0,0.6666666666666666,0.5,30.0,2.0,1.0
