,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44158,59.0,2015-10-13,119,1.0,3.0,14.0,0.0,0.0,0.4,20.0,56.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.8,15.0,2.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,1.0,0.6666666666666666,18.0,0.0,0.0
44061,56.0,2015-09-29,118,1.0,3.0,56.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.8,15.0,2.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,0.0,0.0
43657,48.0,2015-08-04,102,1.0,3.0,1.0,1.0,1.0,0.8,15.0,2.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,28.0,0.0,0.0,0.42424242424242425,33.0,1.0,0.0
43646,48.0,2015-08-03,102,1.0,3.0,2.0,0.0,0.0,0.3157894736842105,19.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,28.0,0.0,0.0,0.42424242424242425,33.0,7.0,0.0,0.0,0.29411764705882354,17.0,0.0,1.0
43552,44.0,2015-08-01,114,1.0,3.0,3.0,1.0,1.0,0.6666666666666666,18.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,28.0,0.0,0.0,0.42424242424242425,33.0,7.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.14285714285714285,21.0,2.0,0.0
43543,44.0,2015-07-29,114,1.0,3.0,2.0,1.0,0.6666666666666666,0.5294117647058824,34.0,28.0,0.0,0.0,0.42424242424242425,33.0,7.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.14285714285714285,21.0,46.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
43530,44.0,2015-07-27,114,1.0,3.0,28.0,0.0,0.0,0.42424242424242425,33.0,7.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.14285714285714285,21.0,46.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.53125,32.0,0.0,1.0
43299,39.0,2015-06-29,91,1.0,2.0,7.0,0.0,0.0,0.29411764705882354,17.0,29.0,0.0,0.0,0.14285714285714285,21.0,46.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.53125,32.0,13.0,0.0,0.0,0.3684210526315789,19.0,0.0,0.0
43253,38.0,2015-06-22,90,1.0,2.0,29.0,0.0,0.0,0.14285714285714285,21.0,46.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.53125,32.0,13.0,0.0,0.0,0.3684210526315789,19.0,48.0,0.0,0.0,0.25,16.0,0.0,0.0
43002,33.0,2015-05-24,92,1.0,0.0,46.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0,0.6666666666666666,0.53125,32.0,13.0,0.0,0.0,0.3684210526315789,19.0,48.0,0.0,0.0,0.25,16.0,2.0,1.0,1.0,0.56,25.0,0.0,0.0
