,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
46646,54.0,2016-09-23,34,0.0,3.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,18.0,0.0,0.25,0.38235294117647056,34.0,2.0,1.0,0.75,0.5405405405405406,37.0,2.0,1.0,1.0,0.9,20.0,2.0,0.0
46639,54.0,2016-09-22,34,0.0,3.0,1.0,1.0,0.6666666666666666,0.5161290322580645,31.0,18.0,0.0,0.25,0.38235294117647056,34.0,2.0,1.0,0.75,0.5405405405405406,37.0,2.0,1.0,1.0,0.9,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,1.0,1.0
46633,54.0,2016-09-21,34,0.0,3.0,18.0,0.0,0.25,0.38235294117647056,34.0,2.0,1.0,0.75,0.5405405405405406,37.0,2.0,1.0,1.0,0.9,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3684210526315789,19.0,0.0,1.0
46576,52.0,2016-09-03,36,1.0,3.0,2.0,1.0,0.75,0.5405405405405406,37.0,2.0,1.0,1.0,0.9,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3333333333333333,18.0,2.0,0.0
46556,52.0,2016-09-01,36,1.0,3.0,2.0,1.0,1.0,0.9,20.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0
46519,52.0,2016-08-30,36,1.0,3.0,7.0,0.0,0.0,0.3333333333333333,18.0,7.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,1.0,0.56,25.0,0.0,1.0
46451,51.0,2016-08-23,36,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,21.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,1.0,0.56,25.0,6.0,0.0,0.0,0.25,16.0,0.0,0.0
46382,50.0,2016-08-16,36,1.0,3.0,21.0,0.0,0.0,0.3333333333333333,18.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,1.0,0.56,25.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,0.0,0.0
46279,47.0,2016-07-26,36,1.0,3.0,4.0,0.0,0.3333333333333333,0.4074074074074074,27.0,1.0,1.0,1.0,0.56,25.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,11.0,0.0,0.0,0.32142857142857145,28.0,0.0,0.0
46208,45.0,2016-07-22,32,1.0,0.0,1.0,1.0,1.0,0.56,25.0,6.0,0.0,0.0,0.25,16.0,1.0,1.0,1.0,0.75,16.0,11.0,0.0,0.0,0.32142857142857145,28.0,3.0,1.0,0.75,0.5384615384615384,39.0,1.0,0.0
