,ATP,Date,Rank,Court,Surface,DaysOffFromMatch1,1LastGame,1LastGameDiff,1LastGameGamesDiff,1LastGameNrOfGames,DaysOffFromMatch2,2LastGame,2LastGameDiff,2LastGameGamesDiff,2LastGameNrOfGames,DaysOffFromMatch3,3LastGame,3LastGameDiff,3LastGameGamesDiff,3LastGameNrOfGames,DaysOffFromMatch4,4LastGame,4LastGameDiff,4LastGameGamesDiff,4LastGameNrOfGames,DaysOffFromMatch5,5LastGame,5LastGameDiff,5LastGameGamesDiff,5LastGameNrOfGames,MatchesInTour,Result
44896,15.0,2016-02-16,168,1.0,0.0,12.0,0.0,0.3333333333333333,0.45161290322580644,31.0,1.0,1.0,1.0,0.5909090909090909,22.0,156.0,0.0,0.0,0.14285714285714285,21.0,7.0,0.0,0.0,0.3684210526315789,19.0,20.0,0.0,0.0,0.43478260869565216,23.0,0.0,0.0
44714,8.0,2016-02-04,154,1.0,0.0,1.0,1.0,1.0,0.5909090909090909,22.0,156.0,0.0,0.0,0.14285714285714285,21.0,7.0,0.0,0.0,0.3684210526315789,19.0,20.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,1.0,0.0
44706,8.0,2016-02-03,154,1.0,0.0,156.0,0.0,0.0,0.14285714285714285,21.0,7.0,0.0,0.0,0.3684210526315789,19.0,20.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.4444444444444444,27.0,0.0,1.0
43867,52.0,2015-08-31,91,1.0,3.0,7.0,0.0,0.0,0.3684210526315789,19.0,20.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.4444444444444444,27.0,21.0,0.0,0.0,0.3333333333333333,27.0,0.0,0.0
43810,51.0,2015-08-24,89,1.0,3.0,20.0,0.0,0.0,0.43478260869565216,23.0,7.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.4444444444444444,27.0,21.0,0.0,0.0,0.3333333333333333,27.0,34.0,0.0,0.0,0.42424242424242425,33.0,0.0,0.0
43625,47.0,2015-08-04,88,1.0,0.0,7.0,0.0,0.0,0.29411764705882354,17.0,8.0,0.0,0.3333333333333333,0.4444444444444444,27.0,21.0,0.0,0.0,0.3333333333333333,27.0,34.0,0.0,0.0,0.42424242424242425,33.0,8.0,0.0,0.0,0.38095238095238093,21.0,0.0,0.0
43561,45.0,2015-07-28,86,1.0,0.0,8.0,0.0,0.3333333333333333,0.4444444444444444,27.0,21.0,0.0,0.0,0.3333333333333333,27.0,34.0,0.0,0.0,0.42424242424242425,33.0,8.0,0.0,0.0,0.38095238095238093,21.0,19.0,0.0,0.0,0.4,20.0,0.0,0.0
43449,41.0,2015-07-20,88,1.0,0.0,21.0,0.0,0.0,0.3333333333333333,27.0,34.0,0.0,0.0,0.42424242424242425,33.0,8.0,0.0,0.0,0.38095238095238093,21.0,19.0,0.0,0.0,0.4,20.0,9.0,0.0,0.0,0.07692307692307693,13.0,0.0,0.0
43311,39.0,2015-06-29,81,1.0,2.0,34.0,0.0,0.0,0.42424242424242425,33.0,8.0,0.0,0.0,0.38095238095238093,21.0,19.0,0.0,0.0,0.4,20.0,9.0,0.0,0.0,0.07692307692307693,13.0,12.0,0.0,0.3333333333333333,0.43333333333333335,30.0,0.0,0.0
43046,33.0,2015-05-26,78,1.0,0.0,8.0,0.0,0.0,0.38095238095238093,21.0,19.0,0.0,0.0,0.4,20.0,9.0,0.0,0.0,0.07692307692307693,13.0,12.0,0.0,0.3333333333333333,0.43333333333333335,30.0,47.0,0.0,0.3333333333333333,0.5333333333333333,30.0,0.0,0.0
42949,31.0,2015-05-18,80,1.0,0.0,19.0,0.0,0.0,0.4,20.0,9.0,0.0,0.0,0.07692307692307693,13.0,12.0,0.0,0.3333333333333333,0.43333333333333335,30.0,47.0,0.0,0.3333333333333333,0.5333333333333333,30.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,0.0,0.0
42820,28.0,2015-04-29,78,1.0,0.0,9.0,0.0,0.0,0.07692307692307693,13.0,12.0,0.0,0.3333333333333333,0.43333333333333335,30.0,47.0,0.0,0.3333333333333333,0.5333333333333333,30.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.8,15.0,0.0,0.0
42681,24.0,2015-04-20,77,1.0,0.0,12.0,0.0,0.3333333333333333,0.43333333333333335,30.0,47.0,0.0,0.3333333333333333,0.5333333333333333,30.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.8,15.0,3.0,0.0,0.3333333333333333,0.45454545454545453,33.0,0.0,0.0
42610,22.0,2015-04-08,69,1.0,0.0,47.0,0.0,0.3333333333333333,0.5333333333333333,30.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.8,15.0,3.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,0.0
42287,15.0,2015-02-20,88,1.0,0.0,2.0,1.0,0.6666666666666666,0.5454545454545454,33.0,1.0,1.0,1.0,0.8,15.0,3.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0,0.6666666666666666,0.5769230769230769,26.0,2.0,0.0
42280,15.0,2015-02-18,88,1.0,0.0,1.0,1.0,1.0,0.8,15.0,3.0,0.0,0.3333333333333333,0.45454545454545453,33.0,1.0,1.0,0.6666666666666666,0.5357142857142857,28.0,0.0,1.0,0.6666666666666666,0.5769230769230769,26.0,3.0,1.0,1.0,0.6190476190476191,21.0,1.0,1.0
